orig,kr
!기본버튼UI
キャンセル,취소
次へ進む,다음으로 진행
送信,전송
お気に入り登録,찜하기 등록
閉じる,닫는다
プレゼントリスト,선물 리스트
購入する,구입한다
交換する,교환한다
エクストラクエスト,엑스트라 퀘스트
クエストリストへ,퀘스트 리스트로
イベントTOPへ,이벤트 TOP으로
ストーリーへ,스토리로
エピソード一覧,에피소드 목록
一覧ページへ,목록 페이지로
クエスト選択へ,퀘스트 선택으로
戻る,돌아간다
マイページ,마이페이지
パーティ解散,파티 해산
ヒント,힌트
アイテム一覧,아이템 목록
強化・上限解放,강화・상한해방
ガチャ,가챠
使用する,사용한다
セットする,세트한다
外す,제외한다
全部外す,전부 제외한다
編成,편성
獲得する,획득한다
仲間にする,동료가 된다
投票する,투표한다
移動する,이동한다
確認,확인
却下する,거절한다
承認する,승인한다
決定,결정
マイページへ,마이페이지로
騎空団サポートへ,기공단 서포트로

!기본공통UI
発動条件：,발동조건：
重要,중요
このお話のあらすじ,이 이야기의 줄거리
キャラ,캐릭터
攻撃力,공격력
属性,속성
タイプ,타입
種族,종족
得意武器,주무기
武器,무기
召喚石,소환석
人物,인물
スキン,스킨
武器種,무기종류
"<option data-id=""*"">全部</option>		<option data-id=""*"">剣</option>		<option data-id=""*"">短剣</option>		<option data-id=""*"">槍</option>		<option data-id=""*"">斧</option>		<option data-id=""*"">杖</option>		<option data-id=""*"" selected="""">銃</option>		<option data-id=""*"">格闘</option>		<option data-id=""*"">弓</option>		<option data-id=""*"">楽器</option>		<option data-id=""**"">刀</option>","<option data-id=""*"">전부</option>                <option data-id=""*"">검</option>                <option data-id=""*"">단검</option>                <option data-id=""*"">창</option>                <option data-id=""*"">도끼</option>                <option data-id=""*"">지팡이</option>                <option data-id=""*"" selected="""">총</option>                <option data-id=""*"">격투</option>                <option data-id=""*"">활</option>                <option data-id=""*"">악기</option>                <option data-id=""**"">도</option>"
全部,전부
剣,검
短剣,단검
槍,창
斧,도끼
杖,지팡이
銃,총
格闘,격투
弓,활
楽器,악기
刀,도
属性,속성
"<option data-id=""*"" selected="""">全部</option>		<option data-id=""*"">火</option>		<option data-id=""*"">水</option>		<option data-id=""*"">土</option>		<option data-id=""*"">風</option>		<option data-id=""*"">光</option>		<option data-id=""*"">闇</option>","<option data-id=""*"" selected="""">전부</option>                <option data-id=""*"">화</option>                <option data-id=""*"">수</option>                <option data-id=""*"">토</option>                <option data-id=""*"">풍</option>                <option data-id=""*"">광</option>                <option data-id=""*"">암</option>"
火,화
水,수
土,토
風,풍
光,광
闇,암
**音順,**음순
ア行,아행
カ行,카행
サ行,사행
タ行,타행
ナ行,나행
ハ行,하행
マ行,마행
ヤ行,야행
ラ行,라행
ワ行,와행
読み込み中…,읽어들이는중
最近入手,최근입수
絞り込み,정렬하기
マルチバトル,멀티배틀
イベント,이벤트,,,,,,,,,,,,,"<option data-id=""*"">水</option>",,,,,,,"<option data-id=""*"">土</option>",,,,,,,"<option data-id=""*"">風</option>",,,,,,,"<option data-id=""*"">光</option>",,,,,,,"<option data-id=""*"">闇</option>,"
ID入力,ID입력
バトル一覧,배틀 목록
"第<span id=""txt-number-value"">****</span>話<br>更新!","제<span id=""txt-number-value"">****</span>화<br>갱신!"
重要,중요
下記の騎空団サポート効果が終了しました。<br />	<br />	<ul>		</ul>,이하의 기동단 서포트효과가 종료되었습니다.<br />	<br />	<ul>		</ul>
下記のよろず屋サポート効果が終了しました。<br>	<br>	<ul>		</ul>,이하의 잡화상 서포트효과가 종료되었습니다.<br>	<br>	<ul>		</ul>
"<% if(isLastChecked) { %><a href=""javascript:void(*);"" class=""btn-help-close"">閉じる</a><% } else { %><a href=""javascript:void(*);"" class=""btn-help-next btn-silent-se"">次へ</a><% } %>","<% if(isLastChecked) { %><a href=""javascript:void(*);"" class=""btn-help-close"">닫기</a><% } else { %><a href=""javascript:void(*);"" class=""btn-help-next btn-silent-se"">다음으로</a><% } %>"
*分 *秒,*분 *초
*分 **秒,*분 **초
**分 *秒,**분 *초
**分 **秒,**분 **초
絞り込み,간추리기
読み込み中,로딩중
リサイクル状況,리사이클 상황
精錬完了まで,정련완료까지
"ルピ <span class=""txt-reward-plus"">+*</span>","루피 <span class=""txt-reward-plus"">+*</span>"
"ルピ <span class=""txt-reward-plus"">+**</span>","루피 <span class=""txt-reward-plus"">+**</span>"
"ルピ <span class=""txt-reward-plus"">+***</span>","루피 <span class=""txt-reward-plus"">+***</span>"
