orig,kr

!고전장
決戦！星の古戦場,결전！별의 고전장

魔物さんもお休み中みたいです～,마물 씨들도 쉬는 중인거 같아요～

当日貢献度,당일 공헌도
*日目,*일째
バトル解放期間 / **:** ～ **:**,배틀 해방시간 / **:** ～ **:**
「決戦！星の古戦場」へ,「결전！별의 고전장」으로

!로그인보너스
イベントログインボーナス,이벤트 로그인 보너스
イベントログイン*日目の報酬,이벤트 로그인 *일차의 보상
次回イベントログイン時に<br>下記アイテムをプレゼントします。,다음 이벤트 로그인시<br>이하의 아이템을 선물합니다
戦貨,전화

※「決戦！星の古戦場」開催期間中は<br>ルピの付与を停止しています,※「결전！별의 고전장」개최기간중에는<br>루피 부여를 정지하고 있습니다

!기본UI
トレジャーが不足しているため、<br>クエストに挑戦できません。,트레저가 부족하기 때문에、<br>퀘스트에 도전할 수 없습니다.
未確認バトルへ,미확인 배틀로
続けて挑戦,계속해서 도전
イベントアイテム獲得,이벤트 아이템 획득

貢献度を*獲得した!,공헌도를 * 획득했다 !
貢献度を**獲得した!,공헌도를 ** 획득했다 !
貢献度を***獲得した!,공헌도를 *** 획득했다 !
貢献度を****獲得した!,공헌도를 **** 획득했다 !
貢献度を*****獲得した!,공헌도를 ***** 획득했다 !
貢献度を******獲得した!,공헌도를 ****** 획득했다 !
貢献度を*******獲得した!,공헌도를 ******* 획득했다 !
貢献度を*獲得！,공헌도를 * 획득 !
貢献度を**獲得！,공헌도를 ** 획득 !
貢献度を***獲得！,공헌도를 *** 획득 !
貢献度を****獲得！,공헌도를 **** 획득 !
貢献度を*****獲得！,공헌도를 ***** 획득 !
貢献度を******獲得！,공헌도를 ****** 획득 !
貢献度を*******獲得！,공헌도를 ******* 획득 !

発見者報酬で<br>戦貨:古戦場を*枚獲得した!,발견자 보상으로<br>전화 : 고전장을 *장 획득했다 !
発見者報酬で<br>戦貨:古戦場を**枚獲得した!,발견자 보상으로<br>전화 : 고전장을 **장 획득했다 !
討伐成功報酬で<br>戦貨:古戦場を*枚獲得した!,토벌 성공보상으로<br>전화 : 고전장을 *장 획득했다 !
討伐成功報酬で<br>戦貨:古戦場を**枚獲得した!,토벌 성공보상으로<br>전화 : 고전장을 **장 획득했다 !
討伐成功報酬で<br>戦貨:古戦場を***枚獲得した!,토벌 성공보상으로<br>전화 : 고전장을 ***장 획득했다 !
MVP報酬で<br>戦貨:古戦場を*枚獲得した!,MVP 보상으로<br>전화 : 고전장을 *장 획득했다 !
MVP報酬で<br>戦貨:古戦場を**枚獲得した!,MVP 보상으로<br>전화 : 고전장을 **장 획득했다 !
MVP報酬で<br>戦貨:古戦場を***枚獲得した!,MVP 보상으로<br>전화 : 고전장을 ***장 획득했다 !

!고전장 메인페이지
予選バトル期間,예선 배틀기간
イベントインターバル,이벤트 인터벌
本戦開催期間,본선 개최기간
<span>*</span>位,<span>*</span>위
<span>**</span>位,<span>**</span>위
<span>***</span>位,<span>***</span>위
"<span>*,***</span>位","<span>*,***</span>위"
"<span>**,***</span>位","<span>**,***</span>위"
"<span>***,***</span>位","<span>***,***</span>위"
"<span>*,***,***</span>位","<span>*,***,***</span>위"
騎空団獲得貢献度,기공단 누적 공헌도
個人戦績,개인전적
騎空団戦績,기공단 전적
作戦板,작전판
名前,이름
所持戦貨,전화 소지량
<em>*</em>枚,<em>*</em>장
<em>**</em>枚,<em>**</em>장
<em>***</em>枚,<em>***</em>장
<em>****</em>枚,<em>****</em>장
<em>*****</em>枚,<em>*****</em>장
<em>******</em>枚,<em>******</em>장
<em>*******</em>枚,<em>*******</em>장
<em>********</em>枚,<em>********</em>장
<em>*</em>個,<em>*</em>개
<em>**</em>個,<em>**</em>개
<em>***</em>個,<em>***</em>개
<em>****</em>個,<em>****</em>개
<em>*****</em>個,<em>*****</em>개
累計貢献度,누적 공헌도
古戦場作戦板,고전장 작전판
古戦場専用アイテム,고전장 전용 아이템
支給品ポーション、クリアハーブは*個、蘇生薬は*個までバトルに持ち込むことが可能です。,"지급품 포션, 클리어 허브는 *개, 소생약은 *개까지 배틀에 들고 갈 수 있습니다"
