orig,kr

!기공단 UI
"<span class=""ico-people""></span>所属人数","<span class=""ico-people""></span>소속인원수"
平均Rank,평균 Rank
直近*時間のログイン人数,최근*시간 이내에 로그인한 인원 수
騎空艇,기공정
団員,단원
"<span class=""txt-guild-name"">				<span class=""txt-name"">				</span>			</span>からスカウトされています。","""<span class=""""txt-guild-name"""">				<span class=""""txt-name"""">				</span>			</span>으로부터 스카우트받았습니다."""
断る,거절한다
入団する,입단한다
他騎空団に申請するか、自分で騎空団を立ち上げると<br>スカウトは自動的に断ります。,다른 기공단에 신청하거나、스스로 기공단은 설립하면<br>스카우트는 자동으로 거절됩니다.
騎空団を探す,기공단을 찾는다
騎空団を結成する,기공단을 결성한다
[ <%= guildName %> ]<br>に入団申請を出しますか？<br>	<br />	募集条件<br>	<%= rank %><br>	<%= style %>,"""[ <%= guildName %> ]<br>에 입단신청을 할까요?<br>	<br />	모집조건<br>	<%= rank %><br>	<%= style %>"""
騎空団TOP,기공단 TOP
ドラブンスピリット号 Lv*,드레이븐 스피릿호 Lv*
再入団について,재입단에 대해
"騎空団に一度所属し、<br>なんらかの理由で退団すると、<br><span style=""color:#ffa***"">**時間</span><br>新たな騎空団へ所属できなくなります。","기공단에 한번 소속된 상태로、<br>어떠한 이유로든 퇴단하게되면、<br><span style=""color:#ffa***"">**시간</span><br>새로운 기공단에 가입할 수 없게 됩니다."
**時間,**시간
時間帯*,시간대*
※時間帯は団長、副団長のみ変更できます。,"※시간대는 단장, 부단장만 변경할 수 있습니다"
役職,직책
合計寄付ルピ,총 기부 루피
騎空団NEWS,기공단 NEWS



アサルトタイム,어설트 타임

アサルトタイムについて,어설트 타임에 대해서




ヘルプへ,도움말로
騎空団 団員リスト,기공단 단원 리스트
騎空団TOPに戻る,기공단 TOP으로 돌아간다


入団待ちの人はいません。,입단 대기중인 인원이 없습니다
スカウト中の人はいません。,스카우트 중인 인원이 없습니다





!기공단 서포트
発動中のサポート,발동중인 서포트
クエスト開始からキュアポーション*個追加<br>						残り時間: **時間 **分,퀘스트 시작부터 큐어 포션 *개 추가<br>                                                남은시간 : **시간 **분
クエスト開始からキュアポーション*個追加<br>						残り時間: **時間 *分,퀘스트 시작부터 큐어 포션 *개 추가<br>                                                남은시간 : **시간 *분
クエスト開始からキュアポーション*個追加<br>						残り時間: *時間 **分,퀘스트 시작부터 큐어 포션 *개 추가<br>                                                남은시간 : *시간 **분
クエスト開始からキュアポーション*個追加<br>						残り時間: *時間 *分,퀘스트 시작부터 큐어 포션 *개 추가<br>                                                남은시간 : *시간 *분
クエスト開始からキュアポーション*個追加<br>						残り時間: **分,퀘스트 시작부터 큐어 포션 *개 추가<br>                                                남은시간 : **분
クエスト開始からキュアポーション*個追加<br>						残り時間: *分,퀘스트 시작부터 큐어 포션 *개 추가<br>                                                남은시간 : *분
バトルのアイテムドロップ率が**%UP<br>						残り時間: **時間 **分,배틀의 아이템 드롭률 **% UP<br>                                                남은시간 : **시간 **분
バトルのアイテムドロップ率が**%UP<br>						残り時間: **時間 *分,배틀의 아이템 드롭률 **% UP<br>                                                남은시간 : **시간 *분
バトルのアイテムドロップ率が**%UP<br>						残り時間: *時間 **分,배틀의 아이템 드롭률 **% UP<br>                                                남은시간 : *시간 **분
バトルのアイテムドロップ率が**%UP<br>						残り時間: *時間 *分,배틀의 아이템 드롭률 **% UP<br>                                                남은시간 : *시간 *분
バトルのアイテムドロップ率が**%UP<br>						残り時間: **分,배틀의 아이템 드롭률 **% UP<br>                                                남은시간 : **분
バトルのアイテムドロップ率が**%UP<br>						残り時間: *分,배틀의 아이템 드롭률 **% UP<br>                                                남은시간 : *분
奥義ゲージがバトル開始時に**%UP<br>                                                残り時間: **時間 **分,시작부터 오의 게이지가 **% UP<br>                                                남은시간 : **시간 **분
奥義ゲージがバトル開始時に**%UP<br>						残り時間: **時間 *分,배틀 시작부터 오의 게이지 **%UP<br>                                                남은시간 : **시간 *분
奥義ゲージがバトル開始時に**%UP<br>						残り時間: *時間 **分,배틀 시작부터 오의 게이지 **% UP<br>                                                남은시간 : *시간 **분
奥義ゲージがバトル開始時に**%UP<br>						残り時間: *時間 *分,배틀 시작부터 오의 게이지 **% UP<br>                                                남은시간 : *시간 *분
奥義ゲージがバトル開始時に**%UP<br>						残り時間: **分,배틀 시작부터 오의 게이지 **% UP<br>                                                남은시간 : **분
奥義ゲージがバトル開始時に**%UP<br>						残り時間: *分,배틀 시작부터 오의 게이지 **% UP<br>                                                남은시간 : *분
獲得Rankポイントが**%UP<br>						残り時間: **時間 **分,획득Rank 포인트가 **% UP<br>                                                남은시간 : **시간 **분
獲得Rankポイントが**%UP<br>						残り時間: **時間 *分,획득Rank 포인트가 **% UP<br>                                                남은시간 : **시간 *분
獲得Rankポイントが**%UP<br>						残り時間: *時間 **分,획득Rank 포인트가 **% UP<br>                                                남은시간 : *시간 **분
獲得Rankポイントが**%UP<br>						残り時間: *時間 *分,획득Rank 포인트가 **% UP<br>                                                남은시간 : *시간 *분
獲得Rankポイントが**%UP<br>						残り時間: **分,획득Rank 포인트가 **% UP<br>                                                남은시간 : **분
獲得Rankポイントが**%UP<br>						残り時間: *分,획득Rank 포인트가 **% UP<br>                                                남은시간 : *분
