orig,kr
参加できるマルチバトルは<br>				一覧で表示されるぜ！<br>,참가할 수 있는 배틀을<br>                                한번에 표시해준다구!<br>
参加できるイベントマルチバトルはありません。,참가할 수 있는 이벤트 멀티 배틀이 없습니다.
・イベントマルチバトルは、イベントクエストを進めていくと発生します。,・이벤트 멀티 배틀은 이벤트 퀘스트를 진행하면서 발생합니다.
・参加条件を満たしていない場合、この一覧には表示されません。,"・참가 조건이 충족되지 않은 경우, 리스트에 표시되지 않습니다."
クエストへ,퀘스트로

!각종 멀티 퀘스트 이름들
ティアマト,티아마트
コロッサス,콜로서스
リヴァイアサン,리바이어선
ユグドラシル,유그드라실
アドウェルサ,애드벌사
セレスト,셀레스트
ティアマト討伐戦,티아마트 토벌전
コロッサス討伐戦,콜로서스 토벌전
リヴァイアサン討伐戦,리바이어선 토벌전
ユグドラシル討伐戦,유그드라실 토벌전
アドウェルサ討伐戦,애드벌사 토벌전
セレスト討伐戦,셀레스트 토벌전

ティアマト・マグナ討伐戦,티아마트・마그나 토벌전

コロッサス・マグナ討伐戦,콜로서스・마그나 토벌전

リヴァイアサン・マグナ討伐戦,리바이어선・마그나 토벌전

ユグドラシル・マグナ討伐戦,유그드라실・마그나 토벌전

シュヴァリエ・マグナ討伐戦,슈발리에・마그나 토벌전

セレスト・マグナ討伐戦,셀레스트・마그나 토벌전


ナタク討伐戦,나타쿠 토벌전
フラム＝グラス討伐戦,프람＝그라스 토벌전
マキュラ・マリウス討伐戦,마큐라 마리우스 토벌전
メドゥーサ討伐戦,메두사 토벌전
アポロン討伐戦,아폴론 토벌전
オリヴィエ討伐戦,올리비에 토벌전

アテナ討伐戦,아테나 토벌전
グラニ討伐戦,그라니 토벌전
バアル討伐戦,바알 토벌전
ガルーダ討伐戦,가루다 토벌전
オーディン討伐戦,오딘 토벌전
リッチ討伐戦,리치 토벌전

降臨、調停の翼,강림・조정의 날개
邂逅、黒銀の翼,해후・흑은의 날개
震天の境界、黄昏の最果,진천의 경계・황혼의 끝
靂天の境界、紫電の黎明,벽력의 경계・자전의 여명

ミカエルへの挑戦,미카엘에게 도전
ガブリエルへの挑戦,가브리엘에게 도전
ウリエルへの挑戦,우리엘에게 도전
ラファエルへの挑戦,라파엘에게 도전
神撃、究極の竜,신격・궁극의 용

ティアマト・マグナＨＬ,티아마트・마그나 HL
Lv*** ティアマト・マグナ,Lv*** 티아마트・마그나
コロッサス・マグナＨＬ,콜로서스・마그나 HL
Lv*** コロッサス・マグナ,Lv*** 콜로서스・마그나
リヴァイアサン・マグナＨＬ,리바이어선・마그나 HL
Lv*** リヴァイアサン・マグナ,Lv*** 리바이어선・마그나
Lv*** 青輪,Lv*** 청륜
ユグドラシル・マグナＨＬ,유그드라실・마그나 HL
Lv*** ユグドラシル・マグナ,Lv*** 유그드라실・마그나
シュヴァリエ・マグナＨＬ,슈발리에・마그나 HL
Lv*** シュヴァリエ・マグナ,Lv*** 슈발리에・마그나
Lv*** プライマルビット,Lv*** 프라이멀비트
セレスト・マグナＨＬ,셀레스트・마그나 HL
Lv*** セレスト・マグナ,Lv*** 셀레스트・마그나

ナタクＨＬ,나타쿠 HL
フラム＝グラスＨＬ,프람=그라스 HL
マキュラ・マリウスＨＬ,마큐라・마리우스 HL
メドゥーサＨＬ,메두사 HL
アポロンＨＬ,아폴론 HL
Dエンジェル・オリヴィエＨＬ,D엔젤・올리비에 HL
ローズクイーン討伐戦ＨＬ,로즈퀸 토벌전 HL

シヴァＨＬ,시바 HL
エウロペＨＬ,에우로페 HL
ブローディアＨＬ,브로디아 HL
グリームニルＨＬ,그림니르 HL
メタトロンＨＬ,메타트론 HL
アバターＨＬ,아바타 HL
黄龍・黒麒麟ＨＬ,황룡・흑기린 HL

プロメテウスＨＬ,프로메테우스 HL
カー・オンＨＬ,카・옹 HL
ギルガメッシュＨＬ,길가메쉬 HL
バイヴカハＨＬ,바이브카하HL
ヘクトルＨＬ,헥토르 HL
アヌビスＨＬ,아누비스 HL

ティアマト・マリスＨＬ,티아마트・마리스 HL
リヴァイアサン・マリスＨＬ,리바이어선・마리스  HL
ダーク・ラプチャー,다크・랩쳐
リンドヴルムＨＬ,린드블룸 HL

イベントマルチバトル,이벤트 멀티배틀




邂逅、黒銀の翼ＨＬ,"해후, 흑은의 날개 HL"
崩天、虚空の兆,붕천・허공의 조짐
四大天司ＨＬ,사대천사 HL
降臨、調停の翼ＨＬ,"강림, 조정의날개 HL"

神撃、究極の竜ＨＬ,신격・궁극의 용 HL
ダーク・ラプチャー(HARD),다크・랩쳐(HARD)
バース・オブ・ニューキング,버스・오브・뉴 킹


ウィルナス,위루나스
ワムデュス,웜듀스
ガレヲン,갈레온
イーウィヤ,이위야
ル・オー,루・오
フェディエル,페디엘



!사상강림 사상서신
南方継承,남방계승
「灼熱」を命中させると解除,「작열」을 명중시키면 해제
北方継承,북방계승
天之四霊,천지사령
「恐怖」を命中させると解除,「공포」를 명중시키면 해제
万象崩壊,만상붕괴
螺旋牙突,나선아돌
攻撃を**回命中...,공격을**회 명중...
"*,***,***ダメージを与える...","*,***,***데미지를 가해..."
"***,***ダメージを与える...","***,***데미지를 가해..."
"**,***,***ダメージを与える...","**,***,***데미지를 가해.."
"アビリティで*,***,***ダメ...","어빌리티로 *,***,***데미..."


Lv** ゼピュロス,Lv** 제퓨로스
