orig,kr

Lv* ドゥルガ漁団員,Lv* 두르가 어업단원
Lv* シルトレイ,Lv* 실트레이
Lv** シルトレイ,Lv** 실트레이
Lv* ランページシェル,Lv* 램페이지 셸
Lv* ウィンドラビット,Lv* 윈드 래빗
Lv** ウィンドラビット,Lv** 윈드 래빗
Lv* スライム,Lv* 슬라임
Lv** スライム,Lv** 슬라임
Lv* エアグレイブ,Lv* 에어 그레이브
Lv** エアグレイブ,Lv** 에어 그레이브
Lv* ゴブリン突撃兵,Lv* 고블린 돌격병
Lv** ゴブリン突撃兵,Lv** 고블린 돌격병
Lv** ゴブリン斥候兵,Lv** 고블린 척후병
Lv** ゴブリン重装兵,Lv** 고블린 중장병
Lv** ゴブリン呪術兵,Lv** 고블린 주술병
Lv** ゴブリン格闘兵,Lv** 고블린 격투병
Lv** ゴブリンソルジャー,Lv** 고블린 솔저
Lv** ゴブリンプリンセス,Lv** 고블린 프린세스
Lv*** ゴブリンプリンセス,Lv*** 고블린 프린세스
Lv* 剣鮫,Lv* 검상어
Lv** 剣鮫,Lv** 검상어
Lv* ジェリー,Lv* 젤리






Lv** クスキ,Lv** 쿠스키




Lv** マンドラゴラ,Lv** 만드라고라
Lv** フォーマンティス,Lv** 포 맨티스
Lv** マーマンティス,Lv** 마 맨티스
Lv** グリフォン,Lv** 그리폰
Lv** ゴーレム,Lv** 골렘
Lv** ストーンゴーレム,Lv** 스톤 골렘
Lv** ラーヴァゴーレム,Lv** 라바 골렘




Lv* 水のエレメンタル,Lv* 물의 엘리멘탈
Lv** 水のエレメンタル,Lv** 물의 엘리멘탈
Lv* 土のエレメンタル,Lv* 흙의 엘리멘탈
Lv** 土のエレメンタル,Lv** 흙의 엘리멜탈



Lv** 闇のエレメンタル,Lv** 어둠의 엘리멘탈


Lv** コブラ,Lv** 코브라
Lv** 虹翅蜻蜓,Lv** 무지개 날개 잠자리
Lv** ピクシー,Lv** 픽시
Lv* マイトフィッシュ,Lv* 마이트 피시
Lv** マイトフィッシュ,Lv** 마이트 피시
Lv* ミートミキサー,Lv* 미트 믹서
Lv** ミートミキサー,Lv** 미트 믹서
Lv* ウラザナ,Lv* 우라자나
Lv** ウラザナ,Lv** 우라자나
Lv** ケイブバット,Lv** 케이브 배트
Lv** カスケードジェリー,Lv** 캐스케이드 젤리
Lv** スケルトン,Lv** 스켈레톤
Lv** ジルケ,Lv** 지르케
Lv** ガーゴイル,Lv** 가고일
Lv** ルインガーゴイル,Lv** 루인 가고일
Lv** アルゼンタム,Lv** 아르젠텀
Lv** 軍艦蟹,Lv** 군함게
Lv** クラーケン,Lv** 크라켄
Lv** ゴースト,Lv** 고스트
ゾンビ,좀비
Lv** ゾンビ,Lv** 좀비
Lv** インプ,Lv** 임프
Lv** バジリスク,Lv** 바실리스크
Lv** 水霊エイリーン,Lv** 물의 정령 에일린
Lv** イービルアイ,Lv** 이블아이
Lv** アルバコア,Lv** 알바코어
Lv** スニッパー,Lv** 스니퍼
Lv** 超巨大アルバコア,Lv** 초거대 알바코어
Lv** カツウォヌス,Lv** 카츠오누스
Lv** ウオノタユウ,Lv** 우오노타유
Lv** 灼弩火罹,Lv** 쏘라게
Lv*** 灼弩火罹,Lv*** 쏘라게
Lv* 土塊の魔物,Lv* 흙덩어리 마물
Lv* ならず者,Lv* 불량배
Lv?? ルナ,Lv?? 루나
Lv?? モルディカイ,Lv?? 모르데카이
Lv** モルディカイ,Lv** 모르데카이
Lv* キラービー,Lv* 킬러비
Lv** キラービー,Lv** 킬러비
Lv** キラーキャメル,Lv** 킬러 카멜
Lv* フレイムバタフライ,Lv* 플레임 버터플라이
Lv* ラヴァード,Lv* 라바 버드
Lv** ラヴァード,Lv** 라바 버드
Lv* トワイライトフライ,Lv* 트와일라잇 플라이
Lv** トワイライトフライ,Lv** 트와일라잇 플라이
Lv** カクターマン,Lv** 카쿠타맨
Lv** 焔牙狼,Lv** 염아랑
Lv** トロール,Lv** 트롤
Lv?? トロール,Lv?? 트롤


Lv** ランニングトーチ,Lv** 런닝 토치



Lv** ブレードヴァイス,Lv** 블레이드 바이스
Lv** ビートル,Lv** 비틀
Lv** スパイキー,Lv** 스파이키
Lv** イエティ,Lv** 예티

Lv** ロック鳥,Lv** 로크
突風,돌풍
グライドストライク,글라이드 스트라이크

Lv** サイコラット,Lv** 사이코 래트
Lv** ペンギン,Lv** 펭귄
Lv** リトルホーク,Lv** 리틀 호크
Lv** 巨岩顎砕ギラファノドン,Lv** 거암악쇄 기라파노돈

Lv** ディコトムス,Lv** 디코토무스
ディフェンシン,디펜신
命を刈り取る角,생명을 거두는 뿔

Lv** ワイルドアスリート,Lv** 와일드 애슬리트
フレイムシード,플레임 시드
Lv** フレイムシード,Lv** 플레임 시드


Lv** チップマンクアーミー,Lv** 다람쥐 병사
Lv** クロウラー,Lv** 크롤러


Lv** ハイラック,Lv** 하이럭
Lv** アニシダ,Lv** 아니시다









Lv** ワイバーン,Lv** 와이번
Lv** ファフニール,Lv** 파프니르
Lv?? ジークフリート,Lv?? 지크프리트
Lv* 警備兵,Lv* 경비병
Lv** 警備兵,Lv** 경비병
Lv** 近衛兵,Lv** 근위병
Lv** シルフ,Lv** 실프
Lv** 組織兵,Lv** 조직의 병사
Lv** 機神ヤチマ,Lv** 기신 야치마
Lv** 機星獣・風雷,Lv** 기성수・풍뢰
Lv?? カシウス？,Lv?? 카시우스？
Lv?? 多脚型防衛戦闘機,Lv?? 다각형 방위 전투기
充チル月
裁キノ雷
Lv** ファナ＆エルド,Lv** 파나＆엘드
ここかなぁ……？,여긴가……？
いただきまぁす……！,잘먹겠습니다……！
いくよぉ……！！,간다……！！
Lv*** デアン,Lv*** 데안
Lv*** ネイキッド・ディアスポラ,Lv*** 네이키드・디아스포라


Lv?? セスラカ,Lv?? 세스라카




Lv** リヴァイアサン・マリス,Lv** 리바이어선・마리스
Lv** ミスラ・マリス,Lv** 미스라・마리스
Lv** 守護結界,Lv** 수호결계

Lv** フリーシア,Lv** 프리시아
魔晶糸・縛滅,마정실・박멸
タッチダウン,터치 다운

Lv** フロスト・クォーツ,Lv** 프로스트 쿼츠
Lv** マウンテンベア,Lv** 마운틴 베어
Lv** ヘイルプリンセス,Lv** 헤일 프린세스




Lv** ディアボロス,Lv** 디아볼로스
Lv** イフリート,Lv** 이프리트
Lv** コキュートス,Lv** 코퀴토스
Lv** ウォフマナフ,Lv** 보후 마나흐
Lv** サジタリウス,Lv** 사지타리우스
Lv** コロゥ,Lv** 코로우

Lv** 帝国兵,Lv** 제국병
Lv** 帝国エリート槍兵,Lv** 제국 엘리트 창병
