orig,kr
!기타
火属性ダメージ(中),화속성 데미지(중)
水属性ダメージ(中),수속성 데미지(중)
風属性ダメージ(中),풍속성 데미지(중)
土属性ダメージ(中),토속성 데미지(중)
光属性ダメージ(中),광속성 데미지(중)
闇属性ダメージ(中),암속성 데미지(중)
ワイドブレード,와이드 블레이드
クロススラッシュ,크로스 슬래시
ファストスライサー,패스트 슬라이서
芽摘,아적 (芽摘)
トゥルースラスト,트루 스러스트
スウィング,스윙
パワースウィング,파워 스윙
!검
クレイモア,클레이모어
筋骨隆々としたその戦士は、大きな剣を軽々と振り回し、怪物たちは次々と地に斃れた。,"우람한 근육을 가진 그 전사는 거대한 검을 가볍게 휘둘렀고, 괴물들은 차례차례 쓰러졌다。"

ミスリルレイピア,미스릴 레이피어
奇跡の金属で創られた剣は、決して折れず、羽毛のように軽く、冬の寒さのように鋭い。,"기적의 금속으로 만들어진 검은 결코 부러지지 않고, 깃털처럼 가볍고 겨울의 추위처럼 예리했다。"

アネラス,아넬라스
幅の広い刀身は厚みのある獲物も一刀のもとに両断する。その豪快な戦いぶりは戦友達を鼓舞させた。,폭이 넓은 도신은 몸집이 큰 사냥감을 한번에 양단했다。그 호쾌한 싸움방식을 본 전우들은 사기를 북돋았다。

ファルシオン,펄션
貫けない殻も、切り裂けない鱗も、叩き潰してしまえばいい。この剣ならそれができる。,"뚫리지 않는 껍질도, 베이지 않는 비늘도, 때려잡으면 그만이다。이 검은 그것이 가능하다。"

サンダーレイピア,썬더 레이피어
とある一族に代々継がれる武器らしいが……剣の放つ光には、美しさの中に、どこか物悲しさを感じる。,어떤 가문에서 대대로 계승되는 무기 인 것 같다…… 검이 발하는 빛은 아름다우나 어쩐지 서글픔이 느껴진다。

ミスリルソード,미스릴 소드
神代の鍛冶師が造り上げたこの剣は、幾星霜を経ても錆びず欠けず光り輝き続けている。

ミスリルスパタ,미스릴 스파타
至高の刃は戦場を焦がれ、使い手と共に戦禍に酔う。そうして神なる刃金はその輝きを失っていった。

ミスリルサーベル,미스릴 사벨
刃毀れのしないこの不思議な剣は、鉄や鋼ではなくもっと神秘的な何かで作られている。

ファイアソード,파이어 소드
烈火のごとく燃ゆるは緋色の刀身だけではない。炎の決意はあらゆる道理をはねのけ、己が望みへと猛進していく。

インペリアルショテル,임페리얼 쇼텔
大きくしなる刀身は、防御の隙を突くのに効果的。普通の剣と重心が大きく異なり、使いこなすのは容易ではない。

アースカトラス,어스 커틀러스
琥珀色の晶石を刀身に埋め込んだ曲刀。刀身が短く扱いやすい形状から、狭い場所での戦闘に重宝された。

氷釘,빙정 (氷釘)
冷気を放つ刀身は氷の魔力を帯びている。一振りごとに細氷を生み、凍てつく幻想の中に敵を眠らせる。

ライトブリンガー,라이트 브링거
スタンの愛用する両刃の大剣。見栄えがして格好いい割に軽く扱いやすいので、本人曰く重宝しているようだ。

フレイムレイピア,플레임 레이피어
高熱を帯びる刀身はゆらめく陽炎をまとい、夢幻に惑う獲物を死角から容赦なく刺し貫く。

アイスソード,아이스 소드
痺れるほどに冷たい剣は己を握る者の意識を覚醒させる。澄み渡る視界の中にただ一つ、剣士は憐れな獲物を見る。

サイフォス,사이포스
ボレミアが愛用する片手剣。手入れの行き届いたその剣には、一人の少女を守るという決意が秘められている。

トゥハンドソード,투 핸드 소드
ヘリヤと共に数々の鍛錬を積んできた長剣。派手な装飾はないが、衰えることのない澄んだ切れ味を持っている。

ダークソード,다크 소드
呪術的な装飾を施された祭礼用の剣。その刃は剣以上の意味を持ち、そのため、実際に戦闘で使われることは少ない。

シュリンプルアー,슈림프 루어
エビを模した疑似餌を取り付けた簡素な釣竿。熟練した剣の腕があれば、大物を釣り上げること以外にも、敵を牽制することができる良い武器になる。

オールドソード,올드 소드
簡単な素材で製作された極めて簡素な剣。使い古された革の持ち手は良く手になじみ、剣を初めて持つ者を優しく支える。時がいくつ過ぎようとも使い心地は衰えない、素晴らしい一品。

ハリセン,하리센
紙を蛇腹状に折って制作される、伝統的な道具。威力よりも叩きつけた時に発する音の大きさを重要視されたこの道具は、不可解な行動を取る者に打ち付けることによって、小気味よい音と共に笑いを生むことができる。

ホワイトソード,화이트 소드
とある国で用いられる、美しい装飾の施された儀礼用の剣。刀身を彩る白亜の紋様は騎士の抱く高潔な精神の象徴とされ、数々の試練を乗り越えた者だけが、これを肩に受け騎士と認められる。

グラスティアー,글라스티어
刹那に過ぎ行く光を留めたレイピア。封じられた光の力が発揮するは、光速に舞う剣技。敵の急所を的確に貫き、一撃で仕留める光速剣となる。

木剣,목검
伝説の勇者を夢見る純朴な少年の夢が詰まった一本。今はまだなんの変哲のない木剣であっても、いつの日か勇者が修業時代に愛用した剣だとこの剣が知れ渡る時は、そう遠くないかもしれない。

焼鏝,인두
お煎餅のこうばしい香りが染みついた、年季の入った焼きごて。煎餅を焼くために使われてきたこの焼きごては、常に子供たちの笑い声に包まれ、長年を共にして来た老婆の手にしっくり落ち着くのである。

ハイメタルコーム,하이메탈 콤
不要なものを取り除くために使用されるコーム。軽金属製で手に扱いやすく、実用性の高いシンプルなデザインが庭師の間で評判を呼んでいる。

ブルークレスト,블루 크레스트
リュミエール聖騎士団の中でも心・技・体が揃いし、一流の剣士しか持つことの許されない蒼き剣。一振りすれば、その刀身から蒼白き火花が散り、己の心を静かに奮い立たせるだろう。

エンジェルソード,엔젤 소드
聖なる力が宿る剣。その輝きは時を経ても潰えることなく、数多の武器へと受け継がれ、新たな力となる。

ミスリルナイフ,미스릴 나이프
神が授けたと言われる金属は驚くほど軽く、手にしたナイフを忘れてしまうほどである。

クリス,크리스
一見無駄に見えるこの波打った刀身が、敵を眩惑し、攻撃を受け止め、酷い傷を与える。

ミスリルククリ,미스릴 쿠크리
古代の遺跡から発見されたはずのこの刃は、新品のどんな武器よりも多くを切り裂いた。

キーラ,킬러
この刃は命を奪うものではない。悪しき心を貫くのだ。暗殺者の師は弟子に位を譲った。

アサシンダガー,어새신 대거
特徴的な柄は、至近距離での小回りを重視したもの。敵の懐に飛び込み、確実にとどめを刺せ。

マンダウ,만다우
魔を封じる力を持つという短剣。刃から突き出した爪は、刺された者に耐え難い苦痛を与える。

マインゴーシュ,망고슈
