orig,kr

!화속성 공용
火の攻刃,불의 공인
火属性キャラの攻撃力上昇(小),화속성 캐릭터의 공격력 상승(소)
火の守護,불의 수호
火属性キャラの最大HP上昇(小),화속성 캐릭터의 최대 HP 상승(소)
火の技巧,불의 기교
火属性キャラのクリティカル確率上昇(小),화속성 캐릭터의 크리티컬 확률 상승(소)
火の二手,불의 이수

火の三手,불의 삼수

火の渾身,불의 혼신
火の背水,불의 배수
火属性キャラのHPが少ないほど攻撃力が上昇(小),화속성 캐릭터의 HP가 적을수록 공격력이 상승(소)
火の治癒,불의 치유

火の見切,불의 간파
火属性キャラが稀に回避カウンター(ダメージ小),화속성 캐릭터가 드물게 회피 카운터(데미지 소)
火の神威,불의 신위

火の秘奥,불의 비오
火属性キャラの奥義ダメージUP(小),화속성 캐릭터의 오의 데미지 UP(소)

業火の攻刃,업화의 공인
火属性キャラの攻撃力上昇(中),화속성 캐릭터의 공격력 상승(중)
業火の守護,업화의 수호
火属性キャラの最大HP上昇(中),화속성 캐릭터의 최대 HP 상승(중)
業火の技巧,업화의 기교
火属性キャラのクリティカル確率上昇(中),화속성 캐릭터의 크리티컬 확률 상승(중)
業火の二手,업화의 이수
火属性キャラのダブルアタック確率上昇(中),화속성 캐릭터의 더블어택 확률 상승(중)
業火の背水,업화의 배수

業火の治癒,업화의 치유

業火の見切,업화의 간파
火属性キャラが稀に回避カウンター(ダメージ中),화속성 캐릭터가 드물게 회피 카운터(데미지 중)

業火の羅刹,업화의 나찰

業火の克己,업화의 극기
"<span class=""text-small"">火属性キャラのダブルアタック確率上昇(中)/クリティカル確率上昇(中)</span>","<span class=""text-small"">화속성 캐릭터의 더블어택 확률 상승(중) / 크리티컬 확률 상승(중)</span>"

業火の無双,업화의 무쌍

業火の進境,업화의 진경
業火の神威,업화의 신위
業火の刹那,업화의 찰나
火属性キャラの攻撃力上昇(中)/クリティカル確率上昇(中),화속성 캐릭터의 공격력 상승(중) / 크리티컬 확률 상승(중)

紅蓮の攻刃,홍련의 공인
紅蓮の攻刃II,홍련의 공인II
紅蓮の攻刃III,홍련의 공인III

紅蓮の守護,홍련의 수호
火属性キャラの最大HP上昇(大),화속성 캐릭터의 최대 HP 상승(대)
紅蓮の技巧,홍련의 기교
火属性キャラのクリティカル確率上昇(大),화속성 캐릭터의 크리티컬 확률 상승(대)
紅蓮の背水,홍련의 배수
紅蓮の堅守,홍련의 견수
紅蓮の暴君,홍련의 폭군
紅蓮の括目,홍련의 괄목
紅蓮の二手,홍련의 이수
紅蓮の三手,홍련의 삼수
紅蓮の必殺,홍련의 필살
火属性キャラの奥義ダメージUP(大)/奥義ダメージ上限上昇(大),화속성 캐릭터의 오의 데미지 UP(대) / 오의 데미지 상한상승(대)
紅蓮の神威,홍련의 신위
紅蓮の刹那,홍련의 찰나
紅蓮の呪印,홍련의 주인
紅蓮の呪印・弐,홍련의 주인・이식

紅蓮の修羅,홍련의 수라
火属性キャラの攻撃力上昇(大)/バトル開始時に最大HPの**%のダメージ,화속성 캐릭터의 공격력 상승(대) / 배틀 시작시 최대 HP의 **%의 데미지


機炎方陣・攻刃II,기염방진・공인 II
機炎方陣・守護,기염방진・수호
機炎方陣・守護II,기염방진・수호 II
機炎方陣・見切,기염방진・간파
機炎方陣・必殺,기염방진・필살
機炎方陣・見切II,기염방진・간파 II
機炎方陣・背水,기염방진・배수
機炎方陣・背水II,기염방진・배수 II
機炎方陣・刹那II,기염방진・찰나 II
機炎方陣・無双,기염방진・무쌍
機炎方陣・破壊,기염방진・파괴
機炎方陣・拳武,기염방진・권무
機炎方陣・神威III,기염방진・신위 III


霧氷の攻刃,무빙의 공인
霧氷の攻刃II,무빙의 공인 II
霧氷の攻刃III,무빙의 공인 III
霧氷の守護,무빙의 수호
霧氷の守護II,무빙의 수호 II
霧氷の二手,무빙의 이수
霧氷の見切,무빙의 간파
霧氷の堅守,무빙의 견수
霧氷の暴君,무빙의 폭군

霧氷の括目,무빙의 괄목
"<span class=""text-small"">水属性キャラが稀に回避カウンター(ダメージ大)/ダブルアタック確率上昇(小)</span>","<span class=""text-small"">수속성 캐릭터가 드물게 회피 카운터(데미지 대)/더블어택 확률 상승(소)</span>"

霧氷の技巧,무빙의 기교
霧氷の渾身,무빙의 혼신
霧氷の神威,무빙의 신위

霧氷の秘奥,무빙의 비오

海神方陣・攻刃,해신방진・공인
海神方陣・攻刃II,해신방진・공인 II
海神方陣・守護II,해신방진・수호 II
海神方陣・技巧II,해신방진・기교 II
海神方陣・治癒II,해신방진・치유 II
海神方陣・神威,해신방진・신위
海神方陣・神威III,해신방진・신위 III
海神方陣・克己,해신방진・극기
海神方陣・杖術,해신방진・장술
海神方陣・乱舞,해신방진・난무
海神方陣・必殺,해신방진・필살
海神方陣・刹那II,해신방진・찰나 II
海神方陣・背水,해신방진・배수
海神方陣・進境II,해신방진・진보 II









霧氷の追牙・肆,무빙의 추아・사

水の技巧,물의 기교
水属性キャラのクリティカル確率上昇(小),수속성 캐릭터의 크리티컬 확률 상승(소)
水の治癒,물의 치유
水の秘奥,물의 비오
水の堅守,물의 견수
水の恩寵,물의 은총
水の見切,물의 간파
水属性キャラが稀に回避カウンター(ダメージ小),수속성 캐릭터가 드물게 회피 카운터(데미지 소)

地裂の攻刃,지열의 공인
地裂の攻刃II,지열의 공인 II
地裂の守護,지열의 수호
地裂の守護II,지열의 수호 II
地裂の治癒,지열의 치유
地裂の背水,지열의 배수
地裂の堅守,지열의 견수
地裂の暴君,지열의 폭군
地裂の括目,지열의 괄목
地裂の秘奥,지열의 비오
地裂の無双II,지열의 무쌍 II
地裂の神威,지열의 신위
地裂の技錬,지열의 기연
土属性キャラのアビリティダメージ上限UP(大)/アビリティの与ダメージ上昇(大),토속성 캐릭터의 어빌리티 데미지 상한 UP(대) / 어빌리티 데미지 상승(대)
地裂の技巧II,지열의 기교 II














創樹方陣・攻刃,창수방진・공인
創樹方陣・攻刃II,창수방진・공인 II
土属性キャラの攻撃力上昇(大),토속성 캐릭터의 공격력 상승(대)
創樹方陣・背水,창수방진・배수
創樹方陣・背水II,창수방진・배수 II
創樹方陣・守護II,창수방진・수호 II
創樹方陣・神威,창수방진・신위
創樹方陣・神威III,창수방진・신위 III
創樹方陣・羅刹,창수방진・나찰

創樹方陣・渾身,창수방진・혼신
創樹方陣・技巧II,창수방진・기교 II
創樹方陣・不可侵,창수방진・불가시
創樹方陣・克己,창수방진・극기
地裂の煽惑・参,지열의 선혹・삼



!풍속성 공용
乱気の攻刃,난기의 공인
乱気の攻刃II,난기의 공인 II
乱気の攻刃III,난기의 공인 III

乱気の守護,난기의 수호
乱気の技巧,난기의 기교
乱気の背水,난기의 배수
乱気の堅守,난기의 견수
乱気の暴君,난기의 폭군
乱気の括目,난기의 괄목
乱気の二手,난기의 이수
乱気の三手,난기의 삼수
乱気の神威,난기의 신위
乱気の渾身,난기의 혼신
乱気の必殺,난기의 필살
乱気の疾駆・壱,난기의 질주・일
*番目に配置された風属性キャラのトリプルアタック確率上昇(大)/攻撃力**%減少,*번째에 배치된 풍속성 캐릭터의 트리플 어택 확률 상승(대) / 공격력 **% 감소


嵐竜方陣・攻刃,람용방진・공인
嵐竜方陣・攻刃II,람용방진・공인 II

嵐竜方陣・背水,람용방진・배수


嵐竜方陣・守護II,람용방진・수호 II
嵐竜方陣・楚歌,람용방진・초가
嵐竜方陣・暴君,람용방진・폭군

嵐竜方陣・暴風,람용방진・폭풍
嵐竜方陣・渾身,람용방진・혼신
嵐竜方陣・技巧II,람용방진・기교 II
嵐竜方陣・軍神,람용방진・군신
嵐竜方陣・軍神II,람용방진・군신 II
嵐竜方陣・星晶,람용방진・성정
嵐竜方陣・神威III,람용방진・신위 III

嵐竜方陣・進境II,람용방진・진경 II
経過ターンに応じて風属性キャラの風属性攻撃力が上昇(中),경과 턴에 따라 풍속성 캐릭터의 풍속성 공격력이 상승(중)



竜巻の無双,용권의 무쌍
竜巻の秘奥,용권의 비오
竜巻の背水,용권의 배수
竜巻の見切,용권의 간파
竜巻の恩寵,용권의 은총
竜巻の三手,용권의 삼수


天光の攻刃,천광의 공인
天光の攻刃II,천광의 공인 II
天光の攻刃III,천광의 공인 III
天光の守護,천광의 수호
光属性キャラの最大HP上昇(大),광속성 캐릭터의 최대 HP 상승(대)
天光の治癒,천광의 치유
天光の括目,천광의 괄목
天光の堅守,천광의 견수
天光の暴君,천광의 폭군
天光の三手,천광의 삼수
天光の秘奥,천광의 비오
天光の神威,천광의 신위
天光の刹那,천광의 찰나
天光の渾身,천광의 혼신
天光の背水,천광의 배수
騎解方陣・攻刃II,기해방진・공인 II
騎解方陣・守護II,기해방진・수호 II
騎解方陣・守護,기해방진・수호
騎解方陣・神威,기해방진・신위
光属性キャラの攻撃力と最大HPが上昇(小),광속성 캐릭터의 공격력과 최대 HP가 상승(소)
騎解方陣・神威III,기해방진・신위 III
騎解方陣・括目,기해방진・괄목
騎解方陣・刹那,기해방진・찰나
騎解方陣・背水,기해방진・배수
騎解方陣・見切,기해방진・간파
騎解方陣・渾身,기해방진・혼신
騎解方陣・意志,기해방진・의지
先制の白の結界,선제의 백의 결계
雷電の渾身,뇌전의 혼신
雷電の必殺,뇌전의 필살

奈落の攻刃,나락의 공인
奈落の攻刃II,나락의 공인 II
闇属性キャラの攻撃力上昇(大),암속성 캐릭터의 공격력 상승(대)
奈落の攻刃III,나락의 공인 III
奈落の守護,나락의 수호
奈落の技巧,나락의 기교
奈落の技巧II,나락의 기교 II
闇属性キャラのクリティカル確率上昇(大),암속성 캐릭터의 크리티컬 확률 상승(대)
奈落の背水,나락의 배수
奈落の三手,나락의 삼수
奈落の堅守,나락의 견수
奈落の暴君,나락의 폭군
奈落の括目,나락의 괄목
奈落の治癒,나락의 치유
奈落の必殺,나락의 필살
奈落の神威,나락의 신위
奈落の秘奥,나락의 비오
奈落の進境,나락의 진경
黒霧方陣・攻刃,흑무방진・공인
黒霧方陣・攻刃II,흑무방진・공인 II
黒霧方陣・守護,흑무방진・수호
黒霧方陣・守護II,흑무방진・수호 II
黒霧方陣・背水,흑무방진・배수
黒霧方陣・暴君,흑무방진・폭군
黒霧方陣・三手,흑무방진・삼수
黒霧方陣・括目,흑무방진・괄목
黒霧方陣・克己,흑무방진・극기
黒霧方陣・神威II,흑무방진・신위 II
黒霧方陣・神威III,흑무방진・신위 III




黒霧方陣・三手III,흑무방진・삼수 III


先制の氷刃,선제의 빙인
バトル開始時から*ターンの間水属性キャラの攻撃力上昇,배틀 시작시부터 *턴동안 수속성 캐릭터의 공격력 상승
先制の地刃,선제의 지인
バトル開始時から*ターンの間土属性キャラの攻撃力上昇,배틀 시작시부터 *턴동안 토속성 캐릭터의 공격력 상승


機炎方陣・攻刃,기염방진・공인
渦潮の攻刃,조수의 공인

渦潮の守護,조수의 수호
水属性キャラの最大HP上昇(中),수속성 캐릭터의 최대 HP 상승(중)
渦潮の技巧,조수의 기교
水属性キャラのクリティカル確率上昇(中),수속성 캐릭터의 크리티컬 확률 상승(중)

渦潮の見切,조수의 간파
渦潮の二手,조수의 이수
渦潮の三手,조수의 삼수
渦潮の治癒,조수의 치유
渦潮の無双,조수의 무쌍
渦潮の刹那,조수의 찰나
渦潮の進境,조수의 진경
渦潮の背水,조수의 배수
渦潮の刹那,조수의 찰나
渦潮の羅刹,조수의 나찰
渦潮の克己,조수의 극기
渦潮の星晶,조수의 성정
渦潮の恩寵,조수의 은총


大地の攻刃,대지의 공인
土属性キャラの攻撃力上昇(中),토속성 캐릭터의 공격력 상승(중)

大地の守護,대지의 수호

大地の技巧,대지의 기교
土属性キャラのクリティカル確率上昇(中),토속성 캐릭터의 크리티컬 확률 상승(중)

大地の見切,대지의 간파
土属性キャラが稀に回避カウンター(ダメージ中),토속성 캐릭터가 드물게 회피 카운터(데미지 중)

大地の背水,대지의 배수

大地の刹那,대지의 찰나
