orig,kr

!보상 아이템 목록

"<span class=""txt-reward-count"">*</span>件","<span class=""txt-reward-count"">*</span>건"
"<span class=""txt-reward-count"">**</span>件","<span class=""txt-reward-count"">**</span>건"

"**,***ルピ","**,*** 루피"
ルピ ×******,루피 ×******
"ルピ × **,***","루피 × **,***"

宝晶石 ×***,보정석 ×***
宝晶石 ×****,보정석 ×****
"宝晶石 ×*,***","보정석 ×*,***"

ソウルシード ×*,소울시드 ×*
ソウルシード ×**,소울시드 ×**
ソウルシード ×***,소울시드 ×***
ソウルパウダー ×*,소울파우더 ×*

エリクシール ×*,엘릭실 ×*

エリクシールハーフ ×*,엘릭실 하프 ×*
エリクシールハーフ ×**,엘릭실 하프 ×**
エリクシールハーフ(*個),엘릭실 하프(*개)

スキルシャード ×*,스킬 샤드 ×*
スキルジュエル ×*,스킬 쥬얼 ×*

ジェム ×**,젬 ×**
ジェム ×***,젬 x***
勲章 ×**,훈장 ×**

ラジエルの書・銅 ×*,라지엘의 서・동 ×*
ラジエルの書・銀 ×*,라지엘의 서・은 ×*
ラジエルの書・金 ×*,라지엘의 서・금 ×*

ブロンズムーン ×*,브론즈문 ×*
シルバームーン ×*,실버문 ×*
ゴールドムーン ×*,골드문 ×*

玉鋼 ×*,옥강 ×*
月光晶 ×*,월광정 ×*
ダマスカス骸晶 ×*,다마스쿠스 해정 ×*


覇者の証 ×*,패자의 증서 ×*
栄光の証 ×*,영광의 증서 ×*
栄光の証 ×**,영광의 증서 ×**



水の戦貨,물의 전화
水の戦貨 ×**,물의 전화 ×**
水の戦貨 ×***,물의 전화 ×***

土の戦貨 ×**,흙의 전화 ×**


光の戦貨,빛의 전화
光の戦貨 ×**,빛의 전화 ×**
光の戦貨を***個獲得！,빛의 전화를 ***장 획득！
討伐成功報酬で<br>光の戦貨を*枚獲得した!,토벌 성공 보상으로<br>빛의 전화를 *장 획득했다！
討伐成功報酬で<br>光の戦貨を**枚獲得した!,토벌 성공 보상으로<br>빛의 전화를 **장 획득했다！
討伐成功報酬で<br>光の戦貨を***枚獲得した!,토벌 성공 보상으로<br>빛의 전화를 ***장 획득했다！
発見者報酬で<br>光の戦貨を*枚獲得した!,발견자 보상으로<br>빛의 전화를 *장 획득했다!
MVP報酬で<br>光の戦貨を*枚獲得した!,MVP 보상으로<br>빛의 전화를 *장 획득했다!


闇の戦貨 ×**,어둠의 전화 ×**
闇の戦貨を*個獲得！,어둠의 전화를 *장 획득！
闇の戦貨を**個獲得！,어둠의 전화를 **장 획득！
闇の戦貨を***個獲得！,어둠의 전화를 ***장 획득！
闇の戦貨を****個獲得！,어둠의 전화를 ****장 획득！
討伐成功報酬で<br>闇の戦貨を*枚獲得した!,토벌 성공 보상으로<br>어둠의 전화를 *장 획득했다！
討伐成功報酬で<br>闇の戦貨を**枚獲得した!,토벌 성공 보상으로<br>어둠의 전화를 **장 획득했다！
討伐成功報酬で<br>闇の戦貨を***枚獲得した!,토벌 성공 보상으로<br>어둠의 전화를 ***장 획득했다！
発見者報酬で<br>闇の戦貨を*枚獲得した!,발견자 보상으로<br>어둠의 전화를 *장 획득했다！
発見者報酬で<br>闇の戦貨を**枚獲得した!,발견자 보상으로<br>어둠의 전화를 **장 획득했다！
発見者報酬で<br>闇の戦貨を***枚獲得した!,발견자 보상으로<br>어둠의 전화를 ***장 획득했다！
MVP報酬で<br>闇の戦貨を*枚獲得した!,MVP 보상으로<br>어둠의 전화를 *장 획득했다！
MVP報酬で<br>闇の戦貨を**枚獲得した!,MVP 보상으로<br>어둠의 전화를 **장 획득했다！
MVP報酬で<br>闇の戦貨を***枚獲得した!,MVP 보상으로<br>어둠의 전화를 ***장 획득했다！






ティアマトのアニマ ×*,티아마트의 아니마 ×*
コロッサスのアニマ ×*,콜로서스의 아니마 ×*
リヴァイアサンのアニマ ×*,리바이어선의 아니마 ×*
ユグドラシルのアニマ ×*,유그드라실의 아니마 ×*
シュヴァリエのアニマ ×*,슈발리에의 아니마 ×*
セレストのアニマ ×*,셀레스트의 아니마 ×*

ティアマトのマグナアニマ ×*,티아마트의 마그나 아니마 ×*
コロッサスのマグナアニマ ×*,콜로서스의 마그나 아니마 ×*
リヴァイアサンのマグナアニマ ×*,리바이어선의 마그나 아니마 ×*
ユグドラシルのマグナアニマ ×*,유그드라실의 마그나 아니마 ×*
シュヴァリエのマグナアニマ ×*,슈발리에의 마그나 아니마 ×*
セレストのマグナアニマ ×*,셀레스트의 마그나 아니마 ×*





"カジノメダル ×**,***","카지노 메달 ×**,***"





討伐手形 ×*,토벌 증서 ×*
流水の耳飾り ×*,유수의 귀걸이 ×*
水晶のエレメント ×**,수정의 엘리먼트 ×**

ガブリエルのアニマ ×*,가브리엘의 아니마 ×*
マキュラ・マリウスのアニマ ×*,마큐라・마리우스의 아니마 ×*
エウロペのアニマ ×*,에우로페의 아니마 ×*
エウロペのマグナアニマ ×*,에우로페의 마그나 아니마 ×*
グラニのアニマ ×*,그라니의 아니마 ×*

水のクリスタル ×*,물의 크리스탈 ×*


碧瑠璃の杯 ×*,푸른 성배 ×*
碧瑠璃の杯 ×**,푸른 성배 ×**
緋紅の杯 ×*,붉은 성배 ×*
緋紅の杯 ×**,붉은 성배 ×**























カジノメダル ×*****,카지노 메달 ×*****
レジェンドガチャチケット ×*,레전드 가챠 티켓 ×*


栄冠の指輪 ×*,영관의 반지 ×*

エンジェルボウ ×*,엔젤보우 ×*


エンジェルアックス ×*,엔젤 액스 ×*
セフィラストーン ×*,세피라 스톤 ×*
識者の秘薬 ×*,식자의 비약 ×*



















至極の指輪 ×*,지극의 반지 ×*
覇業の指輪 ×*,패업의 반지 ×*

ダマスカス磁性粒子 ×*,다마스쿠스 자성입자 ×*

土のプシュケー ×*,흙의 프시케 ×*

光のプシュケー ×*,빛의 프시케 ×*



究竟の証 ×*,궁극의 증서 ×*



アークエンジェルボウ,아크엔젤 보우

碧空の結晶 ×*,벽공의 결정 ×*


火の光輪 ×**,불의 광륜 ×**
水の光輪 ×**,물의 광륜 ×**
土の光輪 ×**,땅의 광륜 ×**
風の光輪 ×**,바람의 광륜 ×**


蒼翠の結晶 ×*,창취의 결정 ×*
銀綬の贈り物 ×*,은색끈 선물상자 ×*
金綬の贈り物 ×*,금색끈 선물상자 ×*
****年**月イベントSSレア確定ガチャチケット ×*,****년 **월 이벤트 SSR 확정 가챠 티켓 ×*
たけのこの里アールグレイミルクティー ×**,죽순마을 얼그레이 밀크티 ×**
きのこの山いちご＆ショコラ ×**,버섯산 딸기＆쇼콜라 ×**
銀天の輝き ×*,은천의 광채 ×*

黄金のきのこの山＆たけのこの里 ×*,황금 버섯산＆죽순마을 ×*
セレストクロー・マグナ ×*,셀레스트 클로・마그나 ×*





****アーカルムポイント,**** 아카룸 포인트
ソウルシード(*個),소울시드(*개)









!OLD BOND 아이템 관련
煌めく燐光 ×*,빛나는 인광 ×*
宝晶石 ✕ **<br>											光の戦貨 ✕ ***<br>											煌めく燐光 ✕ *<br>,보정석 ✕ **<br>                                                                                        빛의 전화 ✕ ***<br>                                                                                        빛나는 인광 ✕ *<br>
