orig,kr
降焔祭,강염제
臆病勇者と囚われの姫君,겁쟁이 용사와 사로잡힌 공주
蒼海を征く暗黒巨大魚,창해를 정복한 암흑거대어
薫風、白波を蹴立てる,"훈풍, 흰 물결을 일으키다"
若き義勇の振るう剣,젊은 의용이 휘두르는 검
Duelist of Eternity,영원의 결투사
亡国の四騎士,망국의 네 기사
氷炎牆に鬩ぐ,얼음과 불꽃의 대립
過日の痕、明日への扉,"과거의 상처, 내일을 향한 문"
魔ガ散ルトキ、彼ハ,"마가 흩어질 때, 그는"
神境にて辿る跡,신의 경지에 도달한 흔적
自由をその手に,자유를 그 손에
プラチナ・スカイ,플라티나 스카이
砂神の巫女,모래신의 무녀
名探偵バロワ,명탐정 바로와
粧して臨めよ花戦,꾸미고 맞이하라 꽃의 전장
フォール・オブ・ドラゴン,폴 오브 드래곤
ロボミ外伝,로보미 외전
届かないほど、近くのあなたへ,닿지 않을만큼 가까운 당신에게
恋の応援団,사랑의 응원단
この想いを、何に喩えようか,이 마음을 무엇에 비유할 것인가
昏き島に眠る光の巨人,어둑한 섬에 잠든 빛의 거인
リペイント・ザ・メモリー,리페인트 더 메모리
舞い歌う五花,춤추며 노래하는 다섯송이의 꽃
蛇神の島に響く歌,뱀신의 섬에서 울리는 노래
神立、笠雲の合間に閃きて,"뇌명, 삿갓구름 사이에서 번쩍이고"
砂縛の涙、ひとしずく,사박의 눈물 한 방울
俺達のレンジャーサイン！,우리들의 레인저 사인！
英雄再起,영웅재기
孤独の竜姫,고독한 용공주
ポーチャーズ・デイ,포쳐즈 데이
どうして空は蒼いのか,어째서 하늘은 푸른걸까
失楽園,실락원
Aqours スカイハイ！,Aqours 스카이하이！
蒼空の食卓をともに,창공의 식탁에서 함께
サイコー！FANTASY,최고！FANTASY
交差する運命の物語,교차하는 운명의 이야기
空で繋ぐ絆の物語,하늘에서 이어지는 인연의 이야기
蒼穹に散るゼロ,창공에 떨어진 제로
カイオラ,카이오라
とりまトッポブで。,일단은 펍으로
サウザンド・バウンド,사우전드 바운드

(達成済),(달성)
サイドストーリー<br>「救国の忠騎士」を<br>クリアすると解放されます。,사이드 스토리<br>「구국의 충기사」를<br>클리어하면 해방됩니다
サイドストーリー<br>「亡国の四騎士」を<br>クリアすると解放されます。,사이드 스토리<br>「망국의 네 기사」를<br>클리어하면 해방됩니다
以下の条件を達成すると解放されます。,이하의 조건을 달성하면 해방됩니다
・サイドストーリー「神境にて辿る跡」のクリア,・사이드 스토리 「신의 경지에 도달한 흔적」을<br>　클리어
・メインクエスト第**章のクリア,・메인 퀘스트 제**장을 클리어
サイドストーリー<br>「自由をその手に」を<br>クリアすると解放されます。,사이드 스토리<br>「자유를 그 손에」를<br>클리어하면 해방됩니다
サイドストーリー<br>「プラチナ・スカイ」を<br>クリアすると解放されます。,사이드 스토리<br>「플라티나 스카이」를<br>클리어하면 해방됩니다
サイドストーリー<br>「Right Behind You」を<br>クリアすると解放されます。,사이드 스토리<br>「Right Behind You」를<br>클리어하면 해방됩니다
・サイドストーリー「とりまトッポブで。」のクリア,・사이드 스토리 「일단은 펍으로」를 클리어
サイドストーリー<br>「ロボミ」を<br>クリアすると解放されます。,사이드 스토리<br>「로보미」를<br>클리어하면 해방됩니다
・サイドストーリー「届かないほど、近くのあなたへ」のクリア,・사이드 스토리 「닿지 않을만큼 가까운 당신에게」<br>　를 클리어
・サイドストーリー「砂神の巫女」のクリア,・사이드 스토리 「모래신의 무녀」를 클리어
・サイドストーリー「降焔祭」のクリア,・사이드 스토리 「강염제」를 클리어
・サイドストーリー「臆病勇者と囚われの姫君」のクリア,・사이드 스토리 「겁쟁이 용사와 사로잡힌 공주」<br>　를 클리어
・サイドストーリー「若き義勇の振るう剣」のクリア,・사이드 스토리 「젊은 의용이 휘두르는 검」을<br>　클리어
サイドストーリー<br>「どうして空は蒼いのか」を<br>クリアすると解放されます。,사이드 스토리<br>「어째서 하늘은 푸른걸까」를<br>클리어하면 해방됩니다
サイドストーリー<br>「Aqours スカイハイ！」を<br>クリアすると解放されます。,사이드 스토리<br>「Aqours 스카이하이！」를<br>클리어하면 해방됩니다
サイドストーリー「交差する運命の物語」を<br>クリアすると解放されます。,사이드 스토리<br>「교차하는 운명의 이야기」를<br>클리어하면 해방됩니다

次のクエストに<br>挑むことが出来ます！<br><br>連続でプレイしますか？,다음 퀘스트에<br>도전할 수 있습니다！<br><br>이어서 플레이 하시겠습니까？
ストーリー称号,스토리 칭호
ストーリーをプレイしますか？,스토리를 플레이 하시겠습니까？
クエストをプレイしますか？,퀘스트를 플레이 하시겠습니까？
新たなクエスト<br>「エンディング」<br>が解放されました！,새로운 퀘스트<br>「엔딩」이<br>해방되었습니다！
サイドストーリーへ,사이드 스토리로
ワールドへ,월드로
エンディングへ,엔딩을 본다
エンディングクリアで<br>SSレア武器を獲得！,엔딩을 보고<br>SSR 무기를 획득하자！
ストーリーを進め新たな仲間<br>とSSレア武器を獲得しよう！,스토리를 진행해 새로운 동료와<br>SSR 무기를 획득하자！
トレジャーを集めて<br>報酬と交換しよう！,트레저를 모아<br>보상과 교환하자！
*回上限解放された状態で<br>獲得できます！,*회 상한해방된 상태로<br>획득할 수 있습니다！
*回上限解放されたLv***の状態で<br>獲得できます！,*회 상한해방된 Lv *** 상태로<br>획득할 수 있습니다！
フリークエストクリアで<br>SSレア召喚石を獲得！,프리 퀘스트를 클리어하고<br>SSR 소환석을 획득하자！

台詞集解放,대사집 개방
"「台詞集」が解放されました。                <div class=""txt-orange txt-caution"">台詞集では、過去の同名イベント開催時に<br>イベントTOPで表示されていたキャラクター、<br>台詞、音声を確認することができます。</div>","「대사집」이 개방되었습니다                <div class=""txt-orange txt-caution"">대사집에서는 이벤트 화면에 표시되었었던<br>캐릭터의 대사와 음성을 확인할 수 있습니다</div>"





「降焔祭」へ,「강염제」로
降焔祭──祭に沸くポート・ブリーズで、偶然に出会い言葉を交わすリチャードとテレーズ。不穏な気配を纏うスツルムとドランク。それぞれの思いが、祭の夜に交差する──,강염제……축제에 열광하는 포트・브리즈에서 우연히 만나 대화를 나누는 리처드와 테레즈. 불온한 낌새를 느낀 슈트름과 드랑. 각각의 생각이 축제의 밤에 교차한다
サイドストーリー「降焔祭」で手に入ります,사이드 스토리 「강염제」에서 획득할 수 있습니다
「フェニックス討伐戦」<br>クエストに挑戦可能となりました。,「피닉스 토벌전」<br>퀘스트에 도전 가능하게 되었습니다
つ、つつつ……付き合って下さい！,"사, 사사사…… 사귀어주세요！"
獲得条件：「降焔祭」ストーリーを*話までクリア,획득조건：「강염제」 스토리 *화를 클리어
お前を消し炭にしてやろうか,널 숯덩이로 만들어줄까
不死鳥のように何度でも,불사조 처럼 몇번이라도
