orig,kr
"!소환석 관련 번역 안되던 버그 해결했음. 원인은 글자 좌우측 끝에 쌍따옴표를 붙인 채로 가져와서 그런건데, csv파일 원본을 보면 ""이렇게""글자가 쌓여있어도 그걸 액셀이나 구글시트에서 가져와서 보면 없거든, 그러니 csv 상태에서 바로 복붙하면안됨.",!기본 틀 메모로 적음 필요하면 수정
!안특이한 가호 효과

火属性攻撃力が***%UP,화속성 공격력 ***% UP
火属性攻撃力が**%UP,화속성 공격력 **%UP
火属性攻撃力が*%UP,화속성 공격력 *%UP
水属性攻撃力が***%UP,수속성 공격력 ***%UP
水属性攻撃力が**%UP,수속성 공격력 **%UP
水属性攻撃力が*%UP,수속성 공격력 *%UP
土属性攻撃力が***%UP,토속성 공격력 ***%UP
土属性攻撃力が**%UP,토속성 공격력 **%UP
土属性攻撃力が*%UP,토속성 공격력 *%UP
風属性攻撃力が***%UP,풍속성 공격력 ***%UP
風属性攻撃力が**%UP,풍속성 공격력 **%UP
風属性攻撃力が*%UP,풍속성 공격력 *%UP
光属性攻撃力が***%UP,광속성 공격력 ***%UP
光属性攻撃力が**%UP,광속성 공격력 **%UP
光属性攻撃力が*%UP,광속성 공격력 *%UP
闇属性攻撃力が***%UP,암속성 공격력 ***%UP
闇属性攻撃力が**%UP,암속성 공격력 **%UP
闇属性攻撃力が*%UP,암속성 공격력 *%UP
全属性攻撃力が***%UP,모든 속성 공격력 ***%UP
全属性攻撃力が**%UP,모든 속성 공격력 **%UP
全属性攻撃力が*%UP,모든 속성 공격력 *%UP

火属性キャラのHPが***%UP,화속성 캐릭터의 HP ***% UP
火属性キャラのHPが**%UP,화속성 캐릭터의 HP **% UP
火属性キャラのHPが*%UP,화속성 캐릭터의 HP *% UP
水属性キャラのHPが***%UP,수속성 캐릭터의 HP ***% UP
水属性キャラのHPが**%UP,수속성 캐릭터의 HP **% UP
水属性キャラのHPが*%UP,수속성 캐릭터의 HP *% UP
土属性キャラのHPが***%UP,토속성 캐릭터의 HP ***%UP
土属性キャラのHPが**%UP,토속성 캐릭터의 HP **%UP
土属性キャラのHPが*%UP,토속성 캐릭터의 HP *%UP
風属性キャラのHPが***%UP,풍속성 캐릭터의 HP ***%UP
風属性キャラのHPが**%UP,풍속성 캐릭터의 HP **%UP
風属性キャラのHPが*%UP,풍속성 캐릭터의 HP *%UP
光属性キャラのHPが***%UP,광속성 캐릭터의 HP ***%UP
光属性キャラのHPが**%UP,광속성 캐릭터의 HP **%UP
光属性キャラのHPが*%UP,광속성 캐릭터의 HP *%UP
闇属性キャラのHPが***%UP,암속성 캐릭터의 HP ***%UP
闇属性キャラのHPが**%UP,암속성 캐릭터의 HP **%UP
闇属性キャラのHPが*%UP,암속성 캐릭터의 HP *%UP

火属性攻撃力が***%UP/火属性キャラのHPが**%UP,화속성 공격력 ***% UP / 화속성 캐릭터의 HP **% UP
火属性攻撃力が**%UP/火属性キャラのHPが**%UP,화속성 공격력 **%UP/화속성 캐릭터의 HP **%UP
水属性攻撃力が***%UP/水属性キャラのHPが**%UP,수속성 공격력 ***%UP/수속성 캐릭터의 HP **%UP
水属性攻撃力が**%UP/水属性キャラのHPが**%UP,수속성 공격력 **%UP/수속성 캐릭터의 HP **%UP
土属性攻撃力が***%UP/土属性キャラのHPが**%UP,토속성 공격력 ***%UP/토속성 캐릭터의 HP **%UP
土属性攻撃力が**%UP/土属性キャラのHPが**%UP,토속성 공격력 **%UP/토속성 캐릭터의 HP **%UP
風属性攻撃力が***%UP/風属性キャラのHPが**%UP,풍속성 공격력 ***%UP/풍속성 캐릭터의 HP **%UP
風属性攻撃力が**%UP/風属性キャラのHPが**%UP,풍속성 공격력 **%UP/풍속성 캐릭터의 HP **%UP
光属性攻撃力が***%UP/光属性キャラのHPが**%UP,광속성 공격력 ***%UP/광속성 캐릭터의 HP **%UP
光属性攻撃力が**%UP/光属性キャラのHPが**%UP,광속성 공격력 **%UP/광속성 캐릭터의 HP **%UP
闇属性攻撃力が***%UP/闇属性キャラのHPが**%UP,암속성 공격력 ***%UP/암속성 캐릭터의 HP **%UP
闇属性攻撃力が**%UP/闇属性キャラのHPが**%UP,암속성 공격력 **%UP/암속성 캐릭터의 HP **%UP
全属性攻撃力が***%UP/全属性キャラのHPが**%UP,모든 속성 공격력 ***%UP/모든 속성 캐릭터의 HP **%UP
全属性攻撃力が**%UP/全属性キャラのHPが**%UP,모든 속성 공격력 **%UP/모든 속성 캐릭터의 HP **%UP

火属性攻撃力が**%UP/火属性キャラのHPが**%UP/防御力**%UP,화속성 공격력 **%UP/화속성 캐릭터의 HP **%UP/방어력 **%UP
水属性攻撃力が**%UP/水属性キャラのHPが**%UP/防御力**%UP,수속성 공격력 **%UP/수속성 캐릭터의 HP **%UP/방어력 **%UP
土属性攻撃力が**%UP/土属性キャラのHPが**%UP/防御力**%UP,토속성 공격력 **%UP/토속성 캐릭터의 HP **%UP/방어력 **%UP
風属性攻撃力が**%UP/風属性キャラのHPが**%UP/防御力**%UP,풍속성 공격력 **%UP/풍속성 캐릭터의 HP **%UP/방어력 **%UP
光属性攻撃力が**%UP/光属性キャラのHPが**%UP/防御力**%UP,광속성 공격력 **%UP/광속성 캐릭터의 HP **%UP/방어력 **%UP
闇属性攻撃力が**%UP/闇属性キャラのHPが**%UP/防御力**%UP,암속성 공격력 **%UP/암속성 캐릭터의 HP **%UP/방어력 **%UP


メイン装備時,메인 장비시
サブ装備時,서브 장비시
参戦者が合体召喚不可,참전자가 합체소환 불가
!SSR

!마그나
[マグナシリーズ],[마그나 시리즈]

コロッサス・マグナ,콜로서스・마그나
"<span class=""txt-summon-level"">Lv ***</span> コロッサス・マグナ","<span class=""txt-summon-level"">Lv ***</span> 콜로서스・마그나"
"<span class=""txt-summon-level"">Lv **</span> コロッサス・マグナ","<span class=""txt-summon-level"">Lv **</span> 콜로서스・마그나"
"<span class=""txt-summon-level"">Lv *</span> コロッサス・マグナ","<span class=""txt-summon-level"">Lv *</span> 콜로서스・마그나"
プロミネンス・リアクター,프로미넌스・리액터
敵全体に火属性ダメージ(特大)/防御DOWN(中),적 전체에게 화속성 데미지(특대) / 방어 DOWN(중)
コロッサス・マグナの加護,콜로서스・마그나의 가호
スキル「機炎方陣」の効果が***%UP,스킬 「기염방진」의 효과 ***%UP
スキル「機炎方陣」の効果が**%UP,스킬 「기염방진」의 효과 **%UP
大いなる鋼の巨人は更なる巨躯を得て覚醒へと至る。怨嗟も憧憬も、あらゆる全てを焼き焦がし、その身を動かす炎熱と成す。,거대한 강철의 거인은 그 이상의 거구를 얻어 각성에 도달한다. 원망도 동경도、모든것을 모조리 불태우며、그 몸을 움직이는 염열로 바꾼다.

リヴァイアサン・マグナ,리바이어선・마그나
"<span class=""txt-summon-level"">Lv ***</span> リヴァイアサン・マグナ","<span class=""txt-summon-level"">Lv ***</span> 리바이어선・마그나"
"<span class=""txt-summon-level"">Lv **</span> リヴァイアサン・マグナ","<span class=""txt-summon-level"">Lv **</span> 리바이어선・마그나"
"<span class=""txt-summon-level"">Lv *</span> リヴァイアサン・マグナ","<span class=""txt-summon-level"">Lv *</span> 리바이어선・마그나"
潰崩のタイダルフォール,궤붕의 타이달 폴
敵全体に水属性ダメージ(特大)/防御DOWN(中),적 전체에게 수속성 데미지(특대) / 방어 DOWN(중)
リヴァイアサン・マグナの加護,리바이어선・마그나의 가호
スキル「海神方陣」の効果が***%UP,스킬 「해신방진」의 효과 ***%UP
スキル「海神方陣」の効果が**%UP,스킬 「해신방진」의 효과 **%UP
覚醒せし大海の化身は咆哮を轟かせる。荒れ狂う海波が全てを砕き、安寧の祈りすらも光無き海底へと沈む。,각성한 대해의 화신은 포효를 지른다. 미쳐날뛰는 파도가 모든 것을 부수고、안녕의 기도마저 빛이 들지 않는 해저로 가라앉는다.

ユグドラシル・マグナ,유그드라실・마그나
"<span class=""txt-summon-level"">Lv ***</span> ユグドラシル・マグナ","<span class=""txt-summon-level"">Lv ***</span> 유그드라실・마그나"
"<span class=""txt-summon-level"">Lv **</span> ユグドラシル・マグナ","<span class=""txt-summon-level"">Lv **</span> 유그드라실・마그나"
"<span class=""txt-summon-level"">Lv *</span> ユグドラシル・マグナ","<span class=""txt-summon-level"">Lv *</span> 유그드라실・마그나"
創世のルミノックス,창세의 루미녹스
敵全体に土属性ダメージ(特大)/回復効果UP/回復上限UP,적 전체에게 토속성 데미지(특대) / 회복효과 UP / 회복상한 UP
ユグドラシル・マグナの加護,유그드라실・마그나의 가호
スキル「創樹方陣」の効果が***%UP,스킬 「창수방진」의 효과 ***%UP
スキル「創樹方陣」の効果が**%UP,스킬 「창수방진」의 효과 **%UP
目覚めし世界樹は大地を己が色に染め上げる。摂理すらも掌握し、翠緑に飲まれし園へと舞い降りた。,눈 뜬 세계수는 대지를 자신의 색으로 물들인다. 섭리마저 장악하여、취록에 삼켜진 동산으로 내려앉았다.

ティアマト・マグナ,티아마트・마그나
"<span class=""txt-summon-level"">Lv ***</span> ティアマト・マグナ","<span class=""txt-summon-level"">Lv ***</span> 티아마트・마그나"
"<span class=""txt-summon-level"">Lv **</span> ティアマト・マグナ","<span class=""txt-summon-level"">Lv **</span> 티아마트・마그나"
"<span class=""txt-summon-level"">Lv *</span> ティアマト・マグナ","<span class=""txt-summon-level"">Lv *</span> 티아마트・마그나"
トルネードディザスター,토네이도 디재스터
敵全体に風属性ダメージ(特大)/攻撃DOWN(中),적 전체에게 풍속성 데미지(특대) / 공격 DOWN(중)
ティアマト・マグナの加護,티아마트・마그나의 가호
スキル「嵐竜方陣」の効果が***%UP,스킬 「람룡방진」의 효과 ***%UP
スキル「嵐竜方陣」の効果が**%UP,스킬 「람룡방진」의 효과 **%UP
