orig,kr

!아카룸
探索,탐색
探索に戻る,탐색으로 돌아간다
ポイント交換,포인트 교환
アーカルムの転世,아카룸의 전세
出発確認,출발확인
アーカルムパスポートを消費して<br>探索を開始します。,아카룸 패스포트를 소비하여<br>탐색을 개시합니다.
"所持数　** → <span class=""txt-red-color"">**</span>","소지수　** → <span class=""txt-red-color"">**</span>"
"所持数　** → <span class=""txt-red-color"">*</span>","소지수　** → <span class=""txt-red-color"">*</span>"
"所持数　* → <span class=""txt-red-color"">*</span>","소지수　* → <span class=""txt-red-color"">*</span>"
探索開始,탐색개시
再開確認,재개확인
アーカルムの転世TOPへ,아카룸의 전세 TOP으로
探索を再開します。,탐색을 재개합니다.
残りTP：***,남은TP : ***
残りTP：**,남은TP : **
残りTP：*,남은TP : *
探索再開,탐색재개
ポイント・アクイラ,포인트・아퀼라
星望の丘 *-*,별맞이 언덕 *-*
ポイント・ケルサス,포인트・켈수스
セフィラ大平原 *-*,세피라 대평원 *-*
ポイント・ベラトール,포인트・벨라토르
朝焼けの木立 *-*,아침햇살에 물든 숲 *-*
黒耀砦跡 *-*,흑요성의 흔적 *-*
落命の崖 *-*,낙명의 벼랑 *-*
神宿の祭壇 *-*,신이 잠든 제단 *-*
輪廻峡 *-*,윤회의 골짜기 *-*
白雲回廊 *-*,백운회랑 *-*
祈祷師の石窟 *-*,무녀의 석굴 *-*
ナルク廃坑 *-*,나루크 폐갱 *-*
不語の祠 *-*,묵언의 사당 *-*

ステージクリア,스테이지 클리어
次のステージに進みますか？,다음 스테이지로 진행합니까？
進む,진행한다
アーカルム専用アイテム,아카룸 전용 아이템


!아카룸 아이템
アイテムの効果は探索終了まで持続します,아이템 효과는 탐색종료까지 지속됩니다
強化アイテム,강화 아이템
回復アイテム,회복 아이템

所持数が少ないアイテムがあります,소지수가 적은 아이템이 있습니다
探索用ポーション,탐색용 포션
快気の薬草,활기의 약초
味方単体の弱体効果を*つ回復
星導の天球儀,성도의 천구의
豪胆の霊薬,대담의 영약
味方全体のHP全回復・奥義ゲージ***%・弱体効果回復
勇敢の秘薬,용감의 피약
TPを**回復
力のドロップ,힘의 구슬
攻撃力**%UP,공격력 **% UP
守りのドロップ,방어의 구슬
防御力**%UP
持久のドロップ,내구의 구슬
颯のドロップ,질풍의 구슬
ダブルアタック確率**%UP<br>トリプルアタック確率**%UP,더블어택 확률 **% UP<br>트리플 어택 확률 **% UP
魔力のドロップ,마력의 구슬
弱体耐性**%UP,약화 내성 **% UP
神秘のドロップ,신비의 구슬
攻撃力**%UP<br>防御力**%UP<br>HP****UP<br>ダブルアタック確率**%UP<br>トリプルアタック確率**%UP<br>弱体耐性**%UP,공격력 **% UP<br>방어력 **% UP<br>HP **** UP<br>더블어택 확률 **% UP<br>트리플 어택 확률 **% UP<br>약화 내성 **% UP
"アイテムは*度の探索につき、各アイテムに指定されている<br><span class=""txt-yellow-color"">「持ち込み可能数」</span>まで持ち込むことができます。","아이템은 *번의 탐색에, 각 아이템에 지정된<br><span class=""txt-yellow-color"">「지참가능수」</span>까지 가지고 가는 것이 가능합니다"
必要アーカルムポイント,필요 아카룸 포인트
所持数：*,소지수 : *
所持数：**,소지수 : **
所持数：***,소지수 : ***
所持数：****,소지수 : ****
所持数：*****,소지수 : *****
所持数　*個,소지수　*개
所持数　**個,소지수　**개
制限なし,제한없음
本日あと*個,금일 재고 *개
本日あと**個,금일 재고 **개
在庫: *,재고 : *
在庫: **,재고 : **
在庫: ***,재고 : ***
在庫: ****,재고 : ****
