orig,kr

!로보미Z
ロボミZ,로보미Z

守れ！ヒトよ、壊獣よ,"지켜라！인간이여, 괴수여"
激闘！壊獣軍団現る！,격전！괴수군단 나타나다！
恐怖！壊獣軍団の猛攻！,공포！괴수군단의 맹공！
死闘！壊人デスロウの最期！,사투！괴인 데스로우의 최후！
決戦！壊人デスロウ！,결전！괴인 데스로우！
最終決戦！覇壊大帝デスロウ！,최종결전！패괴대제 데스로우！

変わり果てたジータたちの姿を見て、<br>恐怖で立ちすくんでしまうハレゼナ。<br>だが、そんな彼女に追い撃ちをかける<br>かのように壊獣が襲いかかる──<br>君は、少女の笑顔を取り戻せるか。,"변해버린 지타 일행의 모습을 보고、<br>공포에 사로잡힌 하레제나.<br>눈 앞까지 쫓아온<br>괴수들이 그녀를 덮친다.<br>너는, 소녀의 웃음을 되찾을 수 있을 것인가."

敗北条件,패배조건
ハレゼナの戦闘不能<br>全滅,하레제나의 전투불능<br>전멸

デストロイ光線,디스트로이 광선
マスティケーション,마스티케이션
光属性ダメージ(大),광속성 데미지(대)
硬針,경침
ベリナイ・ディス・アセンブリ,베리나이 디스어셈블리
"土属性ダメージ(特大)<br><span class=""text-blue"">◆壊天刃Lvに応じて奥義性能UP</span>","토속성 데미지(특대)<br><span class=""text-blue"">◆괴천인의 Lv에 따라 오의 성능 UP</span>"

ゲルゴゴゴミゴモ……！,게르고고고미고모……！
ひっ……！？　うぅ、ぐすっ。<br>ジータ……みんな……,"히익……！？ 으, 으.<br>지타……다들……"
──………！？<br>………………！！<br>(壊獣の前に立ちはだかる),──………！？<br>………………！！<br>(괴수들을 막아선다)
ぇ……なんで……？<br>ジータ……<br>ジータ……なの？,엣……어째서……？<br>지타……<br>지타……맞지？
────！！<br>(コクリと頷き戦闘態勢に入る),────！！<br>(고개를 끄덕이며 전투태세에 들어간다)

細胞修復膜,세포복원막
暴食欲求,폭식욕구
自分の攻撃UP(大),자신의 공격 UP(대)

スーパーソニック,슈퍼소닉


にらみつける,째려보기
自分にかばう効果/防御大幅UP,자신에게 감싸기 효과 / 방어 대폭 UP
蓄光,축광
自分の奥義ダメージUP(*回),자신의 오의 데미지 UP(*회)
防護被膜,보호피막

電磁スパーク,전자 스파크
やっぱり、カリオストロは<br>とんでもねーな。,역시 칼리오스트로는 <br>대단하군.

獲得アイテムはありません,획득 아이템이 없습니다
・**/* **:**以降に確認した未確認バトル、終了した「アルケミスト・デザイア」専用バトルからは「貢献度」を入手できなくなります。,"*/* **:** 이후에 확인한 미확인 배틀, 종료된 ""알케미스트 디자이어"" 전용 배틀에서는 ""공헌도""를 획득할 수 없습니다."
獲得したアイテムやルピの所持数が上限に達している場合、<br>自動で期限ありプレゼントに送られます。,획득한 아이템이나 루피 소지 수가 상한에 달할 경우 <br> 자동으로 기한 내 선물로 보내집니다.
"+*** <span class=""txt-bonus"">(ボーナス +***)</span>"," +*** <span class=""txt-bonus"">(보너스 +***)</span>"
"貢献度***,***以上で獲得","공헌도 ***,*** 이상으로 획득"
クエストコンプリート報酬,퀘스트 컴플리트 보상
碧空の結晶を*個獲得！,벽공의 결정을 *개 획득!
称号獲得,칭호획득
称号を獲得しました。,칭호를 획득했습니다.




"!로미오와 줄리엣3 (수천의 밤을 지나, 당신에게 전해진다면)"
幾千の夜を越えて、あなたに届くのなら,"수천의 밤을 지나, 당신에게 전해진다면"
第*話 今、この国に生きる人々,제*화 지금 이 나라에서 살아가는 사람들 
第*話 想いは消えず,제*화 마음은 사라지지 않고
第*話 夜にまぎれて,제*화 밤의 장막 속에서
第*話 明かされたもの,제*화 밝혀진 진실
第*話 惑い、重なる,제*화 망설임은 겹쳐지고
第*話 触れ合う熱,제*화 맞닿은 체온
いつか、この街の外に<br>行ってみたいわね……,언젠가 이 마을 밖으로<br>가 보고 싶어……
