orig,kr
!기타
スキップ確認,스킵 확인
このイベントは以前クリアしたことがあるため、<br>ストーリーをスキップすることができます。,이 이벤트는 이전에 클리어했었기 때문에 <br> 스토리를 스킵할 수 있습니다.
※スキップしてもクリア報酬を獲得することができます<br>		※進行中のメインクエストがある場合は自動的に<br>撤退されますのでご注意ください,※스킵해도 클리어 보상을 획득 할 수 있습니다<br>                ※진행중인 메인 퀘스트가 있는 경우엔 자동적으로<br>후퇴하게되므로 주의해주세요
エピソードを選択してください。,에피소드를 선택해주세요.
イベントスキップ設定,이벤트 건너뛰기 설정
イベントだけ見る,이벤트만 본다
イベントマルチバトルを<br>*人以上で*回クリアしよう！,이벤트 멀티 배틀을<br>*명 이상에서 *회 클리어 하자！
デイリーミッションを達成！,데일리 미션 달성！
ミッション達成！報酬を獲得しました。,미션 달성！보상을 획득했습니다
イベントクエスト解放,이벤트 퀘스트 해방
イベントクエストをプレイしますか？,이벤트 퀘스트를 플레이 하시겠습니까？
次のイベントクエストに<br>挑むことが出来ます！<br><br>連続でプレイしますか？,다음 이벤트 퀘스트에<br>도전할 수 있습니다！<br>이어서 플레이 하시겠습니까?
イベント図鑑,이벤트 도감
ストーリーを全てクリアすると<br>確認できるようになります。,스토리를 모두 클리어하면<br>확인할 수 있습니다

ストーリーのネタバレを避けるため、一部の<br>イベントマルチバトルの救援が表示されません,스토리의 스포일러의 방지를 위해 일부<br>이벤트 멀티배틀 구원이 표시되지 않습니다
・イベントでマルチバトルを出現させることで<br>救援依頼が表示されるようになります。,・이벤트 멀티배틀을 출현시키면<br>구원요청이 표시됩니다
イベントTOPにて、<br>「台詞集」が解放されました。,이벤트 TOP의<br>「대사집」이 해방되었습니다
台詞集では、過去の同名イベント開催時に<br>イベントTOPで表示されていたキャラクター、<br>台詞、音声を確認することができます。,대사집에서는 이벤트 화면에 표시되었었던<br>캐릭터의 대사와 음성을 확인할 수 있습니다
エクストラストーリー解放,엑스트라 스토리 해방
レジェンドガチャチケット ✕ *<br>											闇の戦貨 ✕ ***<br>,레전드 가챠 티켓 ✕ *<br>                                                                                        어둠의 전화 ✕ ***<br>
*/* 回,*/* 회
残り,나머지
RP・EXP*倍キャンペーン,RP・EXP *배 캠페인
「HAPPY WHITE DAY!」キャンペーン開催！,「HAPPY WHITE DAY!」 캠페인 개최！
エクストラストーリー,엑스트라 스토리,,,, 
スキップ完了！,스킵 완료!
ストーリーをエンディングまでスキップしました。,스토리를 엔딩까지 스킵했습니다.
イベントストーリーはルリアノートから<br>いつでもお楽しみいただくことができます。,이벤트 스토리는 루리아 노트에서<br>언제든지 즐길 수 있습니다.
イベントマルチバトルを<br>*回クリアしよう！,이벤트 멀티배틀을<br>*회 클리어하자！
"<span class=""txt-progress-num"">*</span> / *回","<span class=""txt-progress-num"">*</span> / *회"
難度EXTREMEでは<br>トレジャーを消費してボスに挑戦します,난이도 EXTREME은<br>트레저를 소비하여 보스에게 도전합니다
イベントTOP,이벤트 TOP


***pt以上で獲得,***pt이상이면 획득
"*,***pt以上で獲得","*,***pt이상이면 획득"
"**,***pt以上で獲得","**,***pt이상이면 획득"
"**,***,***pt以上で獲得","**,***,***pt이상이면 획득"
"***,***,***pt以上で獲得","***,***,***pt이상이면 획득"
"*,***,***,***pt以上で獲得","*,***,***,***pt이상이면 획득"
"**,***,***,***pt以上で獲得","**,***,***,***pt이상이면 획득"




!프롤로그
プレイヤー名設定,플레이어명 설정
あなたの名前を入力してください。,당신의 이름을 입력해주세요
・名前は*文字まで入力できます。,・이름은 *글자까지 입력할 수 있습니다
・本名やメールアドレス、電話番号など個人情報や個人の特定につながる情報の入力はお控えください。,"・본명이나 메일주소, 전화번호등 개인정보나 개인을 특정할 수 있는 정보의 입력은 삼가해주세요"
「アビリティと連携について」,「어빌리티와 연계에 대해서」
回復を行えるアビリティや<br>二人以上で奥義を放った時に発動する<br>「チェインバースト」を駆使して敵を倒しましょう！,회복 어빌리티나 <br> 둘 이상에서 오의를 썼을 때 발동하는 <br> 「체인버스트」 를 사용하여 적을 쓰러뜨립시다！
ヒール,힐
アイシクルネイル,아이시클 네일
"プロトバハムート <span class=""txt-summon-level"">Lv *</span>","프로토 바하무트 <span class=""txt-summon-level"">Lv *</span>"
王城を頂く草原。肥沃な大地には豊かな緑の絨毯が広がる。,왕성을 이고 있는 초원. 비옥한 땅에는 풍부한 녹색의 융단이 펼쳐진다.
マップ上のアイコンをタッチしてください。,맵 위의 아이콘을 터치해주세요
マップをタッチすると、そのエリアに存在するクエストが下に表示されます。,지도를 터치하면 해당 지역에 존재하는 퀘스트가 아래에 표시됩니다
メインクエストではグランブルーファンタジーのストーリーを進めることができます。,메인 퀘스트에서는 그랑블루 판타지 스토리를 진행할 수 있습니다
ストーリーを進めることで様々な仲間や、新たなクエスト、エリアを解放することができます。,"스토리를 진행하면 다양한 동료나, 새로운 퀘스트, 에리어를 해방할 수 있습니다"
下のメニューをタッチしてください。,아래 메뉴를 터치해 주세요
特別な召喚の力を借りられるぜぇ！<br>どの星晶獣にするか選んでくれ！<br>,특별한 소환석의 힘을 빌릴 수 있어！<br>어느 성정수로 할지 선택해줘！<br>
名もなき騎空士,이름없는 기공사
巡礼の癒し手,순례의 치유사
放浪の魔術師,방랑의 마술사
クエストに挑戦する際、他のプレイヤーが所持する召喚石の力を借りることができます。,"퀘스트 도전 할 때, 다른 플레이어가 소지한 소환석을 빌릴 수 있습니다."
サポーターとして選ばれたプレイヤーにはルピが送られます。強力な召喚石を手に入れ、多くの仲間と助け合いましょう！,서포터로 선발된 플레이어에게는 루피가 전달됩니다. 강력한 소환석을 구해 많은 동료들과 함께 도우며 진행합시다!
美しい剣だろう？<br>ルカルサと言うんだ,아름다운 검이지? <br>루카루사라고해
モフモフとはいえ<br>魔物は斬らねば…！,푹신푹신해보여도<br>마물은 베야만해….！
悪く思うな…<br>私も譲れないんだ,나쁘게 생각하지마..<br> 나도 양보할 수 없어
ヒッ！！<br>む、虫が…！！,"으악!!<br>버, 벌레가...!!"
喜ぶルリアを見ると<br>幸せな気持ちになるよ,기뻐하는 루리아를 보면<br>행복한 기분이 들어
ルリアは必ず<br>守ってみせる！,루리아는 꼭<br>지켜내겠어！
道に迷っては…<br>ないよな、うん,"길을 잃어버린건...<br> 아니지, 그래"
困ったな…この地図は<br>どう読むんだ？,곤란한데...이 지도는<br>어떻게 읽는거야?
[플레이어]、<br>ルリアを頼むよ,"[플레이어],<br>루리아를 부탁해"
[플레이어]は<br>ルリアと仲が良いな,[플레이어]은<br>루리아랑 사이가 좋구나
邪魔する奴は<br>蹴散らしてやれ！,방해하는 놈은<br>날려버려！
のんびりしてる<br>場合じゃねーな！,느긋하게 여유부릴<br>때가 아냐！
敵がわんさか<br>わいてきやがるな…,적이 우르르<br>몰려나오는군…
よそ見してる<br>場合じゃねーぞ！,한눈팔고 있을<br>때가 아냐!
これくらい、<br>余裕だろ？,이정도는<br>여유롭지？
まだ、なぁんも<br>見えねーな,"아직, 아무것도<br>보이지 않는군"
なぁなぁ、まだかよ？,"있잖아, 아직 멀었어？"
サクサク行くぞ！,쑥쑥 나아가자！ 
ぐぬぬぬぬ…<br>バテてるって時に！,으으으...<br>하필 지쳐있을 때!
[플레이어]<br>どんどん行こうぜ！,[플레이어] <br>쭉쭉 가자！ 
とりあえず街を目指そう。,일단 마을을 목표로 삼자
この高原には魔物がいるようだな…気を付けて進もう。,이 고원에는 마물이 있는 것 같군… 조심해서 나아가자
魔物を倒した者は、次のバトルで奥義を早く使用できるため有利になるぞ。,마물을 쓰러뜨린 사람은 다음 배틀에서 오의를 빨리 사용할 수 있기 때문에 유리해질 거야
オールポーションを１個手に入れた！,올 포션을 1개 입수했다！ 
宝箱を１個手に入れた！,보물상자 1개 입수했다！ 
お宝を手に入れたな！あとで確認してみよう！,보물을 획득했구나！ 나중에 확인해보자！
わぁ～！楽しみですね！,와～기대되요！
またまたお宝ゲットだなぁ！幸先いいぜ！,또 보물 획득얻었네！운이 좋은걸！
街が見えてきた！もう少しだな。,마을이 보인다！ 얼마 안 남았어

「回復薬の使用について」,「회복약 사용에 대해서」
