orig,kr
攻撃力DOWN,공격력DOWN
防御力DOWN,방어력DOWN
ダブルアタック確率UP,더블어택 확률UP
トリプルアタック確率UP,트리플어택 확률UP
ストレングス,스트랭스
奥義ゲージ＋***%,오의 게이지＋***%
奥義ゲージ－***%,오의 게이지－***%
奥義ゲージ＋**%,오의 게이지＋**%
奥義ゲージ－**%,오의 게이지－**%
奥義ゲージ＋*%,오의 게이지＋*%
奥義ゲージ－*%,오의 게이지－*%
攻撃力UP,공격력UP
防御力UP,방어력UP

追撃,추격
ブロック,블록
敵対心UP,적대심UP
攻撃DOWN(累積),공격DOWN(누적)
防御DOWN(累積),방어DOWN(누적)
完全回避,완전회피
ダメージ上限UP,데미지상한UP
アビリティ使用可能ターン短縮,어빌리티 사용가능턴 단축
攻撃UP(*回),공격UP(*회)
バリア,배리어
活性,활성

再攻撃,재공격
奥義バースト,오의 버스트
光属性追撃,광속성추격
闇変転,암속성 변환
攻撃大幅UP,공격대폭UP







魔封杖,마봉장
天来,천래
暁,아카츠키

バトルログ,배틀 로그


カウンターブレード,카운터 블레이드

神罰の槍,천벌의 창
聖旗,성스러운 깃발

アークデトネーション
