orig,kr

"!강화효과(아군에게 부여, 범용)"
再生,재생
回復力UP,회복력UP
回復上限UP,회복상한UP
吸収,흡수
攻撃力UP,공격력UP
攻撃UP(累積),공격UP(누적)
通常攻撃全体化,통상공격전체화
アビリティダメージUP,어빌리티 데미지UP
アビリティダメージUP(累積),어빌리티 데미지UP(누적)
逆境,역경
ストレングス,스트랭스
クリティカル確率UP,크리티컬 확률UP
追い撃ち,추격
反骨,반골
奥義ダメージUP,오의 데미지UP
奥義ダメージUP(累積),오의 데미지UP(누적)
チェインバーストダメージアップ,체인버스트 데미지업
CBダメージアップ(累積),CB데미지 업(누적)
ダブルアタック確率UP,더블어택 확률UP
トリプルアタック確率UP,트리플어택 확률UP
防御力UP,방어력UP
防御UP(累積),방어UP(누적)
被ダメージカット(**%),받는 데미지 컷(**%)
分身,분신
カウンター,카운터
リフレクト,리플렉트
無敵,무적
かばう,감싸기
奥義ゲージ上昇量UP,오의게이지 상승량UP
オーバードライブ抑制,오버드라이브 억제
モード抑制,모드억제
モードゲージ減少量UP,모드게이지 감소량UP
弱体効果成功確率UP,약체효과성공확률UP
弱体無効,약체내성
弱体耐性UP,약체내성UP
バリア,배리어
幻影,환영
自動復活,자동부활
即死回避,즉사회피
火属性攻撃力UP,화속성공격력UP
火属性ダメージカット(**%),화속성데미지 컷(**%)
火属性ダメージ変換,화속성데미지 변환
水属性攻撃力UP,수속성공격력UP
水属性ダメージカット(**％),수속성데미지 컷(**%)
水属性ダメージ変換,수속성데미지 변환
土属性攻撃力UP,토속성공격력UP
土属性ダメージカット(**％),토속성데미지 컷(**%)
土属性ダメージ変換,토속성데미지 변환
風属性攻撃力UP,풍속성공격력UP
風属性ダメージカット(**％),풍속성데미지 컷(**%)
風属性ダメージ変換,풍속성데미지 변환
光属性攻撃力UP,광속성공격력UP
光属性ダメージカット(**％),광속성데미지 컷(**%)
光属性ダメージ変換,광속성데미지 변환
闇属性攻撃力UP,암속성공격력UP
闇属性ダメージカット(**％),암속성데미지 컷(**%)
闇属性ダメージ変換,암속성데미지 변환
敵対心UP,적대심UP


"!강화효과(아군에게부여, 한정)"
虎眼,호안
狸退,이퇴
画竜点睛,화룡점정
かくれる,숨기
剣光Lv*,검광 Lv*
剣光Lv2,검광Lv2
剣光Lv3,검광 Lv3
禁呪の代償,금주의 대상
胡蝶刃,코쵸칼날
一点集中,일점 집중
三幕,삼막
三幕,삼막
三幕,삼막
