orig,kr
!직업이름/설명
ベルセルク,베르세르크
理屈を超えた戦いの本能から繰り出される猛撃は、立ちふさがる全ての敵をなぎ払う。攻撃タイプのジョブ。,이론을 초월한 싸움의 본능으로부터 뿜어져 나오는 맹격은 막아서는 모든 적을 베어넘긴다. 공격 타입의 직업
スパルタ,스파르타
卓越した身体能力を持ち、攻守一体の戦闘技術を駆使して勝利を掴む。防御タイプのジョブ。,탁월한 신체능력을 가졌으며 공방일체의 전투술을 구사하여 승리를 쟁취한다. 방어 타입의 직업
セージ,세이지
ウォーロック,워록
義賊,의적
カオスルーダー,카오스루더
レスラー,레슬러
ハウンドドッグ,하운드독
エリュシオン,엘리시온
アプサラス,아프사라스
クリュサオル,크리사오르
ランバージャック,럼버잭
キャバルリー,캐벌리

ファイター,파이터
剣や斧の扱いに長け、高い攻撃力を生かした戦いが得意な攻撃タイプのジョブ。,검과 도끼를 잘 다루며 높은 공격력을 살린 싸움이 특기인 공격 타입의 직업
ナイト,나이트
甲冑に身を包み、堅固な守りで仲間を助けるパーティの守護神。防御タイプのジョブ。,갑옷을 두르고 견고한 수비로 동료를 돕는 파티의 수호신. 방어 타입의 직업
プリースト,프리스트
ウィザード,위자드
シーフ,시프
エンハンサー,인핸서
グラップラー,그래플러
レンジャー,레인저
ハーピスト,하피스트
ランサー,랜서

ウォーリア,워리어
味方を強化しつつ敵の守りを削ぎ、超ヘビー級の一撃を見舞う。攻撃タイプのジョブ。,아군을 강화하고 적의 방어를 깎아내어 초헤비급 일격을 가한다. 공격 타입의 직업
フォートレス,포트리스
巨大な盾で要塞の如く守りを固め、反撃のチャンスを作る。防御タイプのジョブ。,거대한 방패로 요새와 같은 방어력으로 반격의 기회를 만든다. 방어 타입의 직업
クレリック,클레릭
ソーサラー,소서러
レイダー,레이더
アルカナソード,아르카나소드
クンフー,쿵푸
マークスマン,명사수
ミンストレル,민스트럴
ドラグーン,드라군

ウェポンマスター,웨폰마스터
攻め入ることに徹底して特化し、怒濤の斬撃で敵を圧倒する。攻撃タイプのジョブ。,공격하는 것에 철저히 특화된 노도의 참격으로 적을 압도한다. 공격 타입의 직업
ホーリーセイバー,홀리세이버
ビショップ,비숍
ハーミット,허밋
ホークアイ,호크아이
ダークフェンサー,다크펜서
オーガ,오거
サイドワインダー,사이드와인더
スーパースター,슈퍼스타
ヴァルキュリア,발큐리아
グラディエーター,글래디에이터

アルケミスト,알케미스트
忍者,닌자
侍,사무라이
剣聖,검성
ガンスリンガー,건슬링어
賢者,현자
アサシン,어새신
ドラムマスター,드럼마스터
ダンサー,댄서
メカニック,메카닉

ドクター,닥터
魔法戦士,마법전사
剣豪,검호
ザ・グローリー,더・글로리
ソルジャー,솔저
黒猫道士,흑묘도사
トーメンター,토멘터
ライジングフォース,라이징포스






!기타
ジョブ変更確認,직업변경 확인
ウィザードのアビリティ,위자드의 어빌리티
習得 Lv*,습득 Lv*
習得 Lv**,습득 Lv**
Lvアップボーナス合計,Lv업 보너스 합계
弱体成功率+**％

アビリティ詳細,어빌리티 상세


!파이터 스킬
ファイターのアビリティ,파이터의 어빌리티
ウェポンマスターのアビリティ,웨폰마스터의 어빌리티
ベルセルクのアビリティ,베르세르크의 어빌리티
ウェポンバースト,웨폰 버스트
レイジ,레이지
参戦者の攻撃UP(小),참전자의 공격 UP(소)
アサルトステップ,어설트 스텝
ダブルアタック確率UP,더블어택 확률 UP
攻撃力+****,공격력+****
"レイジ<div class=""btn-ability-effect-info"" data-ability-index=""*""></div>","레이지<div class=""btn-ability-effect-info"" data-ability-index=""*""></div>"


