orig,kr
!직업이름/설명
!클래스 1
ファイター,파이터
剣や斧の扱いに長け、高い攻撃力を生かした戦いが得意な攻撃タイプのジョブ。,검과 도끼를 잘 다루며 높은 공격력을 살린 싸움이 특기인 공격 타입의 직업
ナイト,나이트
甲冑に身を包み、堅固な守りで仲間を助けるパーティの守護神。防御タイプのジョブ。,갑옷을 두르고 견고한 수비로 동료를 돕는 파티의 수호신. 방어 타입의 직업
プリースト,프리스트
癒しの力を使い、戦いをサポートするアビリティを得意とする回復タイプのジョブ。,치유의 힘을 사용해 전투를 서포트하는 회복 타입의 직업
ウィザード,위자드
大自然の精霊と契約し、属性攻撃を得意とする魔導士。攻撃タイプのジョブ。,대자연의 정령과 계약해 속성공격을 사용하는 마도사. 공격 타입 직업
シーフ,시프
トリッキーなアビリティと独自の戦法で敵を追い詰める。バランスタイプのジョブ。,트리키한 어빌리티와 독자적인 전법으로 적을 몰아붙이는 밸런스 타입의 직업
エンハンサー,인핸서
アビリティで敵や味方の状態を操り、戦闘を有利に進める。特殊タイプのジョブ。,어빌리티로 적과 아군의 상태를 조종하여 전투를 유리하게 만드는 특수 타입의 직업
グラップラー,그래플러
己が拳に全てを込め、防御を犠牲にしようとも攻め続ける。攻撃タイプのジョブ。,자신의 주먹에 모든 것을 담아 방어를 포기하고 공격을 이어가는 공격 타입의 직업
レンジャー,레인저
俊敏な動きで攻撃を掻い潜り、敵集団を的確に射抜く。バランスタイプのジョブ。,민첩한 움직임으로 공격을 회피하고 적들을 정확히 꿰뚫는 밸런스 타입의 직업
ハーピスト,하피스트
さまざまな詩曲で味方を支援し、その美しい歌声には敵すらも聞き惚れてしまう。特殊タイプのジョブ。,다양한 시곡으로 아군을 지원하며 아름다운 목소리로 적을 사로잡는다. 특수 타입의 직업
ランサー,랜서
槍と斧を巧みに振るい、修練を重ねた技で戦場を変幻自在に駆ける。攻撃タイプのジョブ。,창과 도끼를 능숙하게 휘두르며 수련을 거듭해 익힌 기술로 전장을 달린다. 공격 타입의 직업

!클래스 2
ウォーリア,워리어
