orig,kr

つ、つつつ……付き合って下さい！,"사, 사사사…… 사귀어주세요！"
獲得条件：揺らめく灯籠を累計で***個入手,획득조건：흔들리는 등롱을 누계 ***개 획득

おとといおいで！,다음에 또와요！
獲得条件：荒ぶる大灯籠を累計で***個入手,획득조건：거칠게 흔들리는 대등롱을 누계 ***개<br>획득

恋の応援団,사랑의 응원단
獲得条件：「降焔祭」ストーリーを*話までクリア,획득조건：「강염제」 스토리 *화를 클리어

お前を消し炭にしてやろうか,널 숯덩이로 만들어줄까

不死鳥のように何度でも,불사조 처럼 몇번이라도

俺の勇姿を伝えなければ！,나의 용감한 모습을 보여 주겠어！
降焔祭,강염제

臆病勇者と囚われの姫君,겁쟁이 용사와 사로잡힌 공주
蒼海を征く暗黒巨大魚,창해를 정복한 암흑의 거대어
薫風、白波を蹴立てる,"훈풍, 흰 물결을 일으키다"
若き義勇の振るう剣,젊은 의용이 휘두르는 검
Duelist of Eternity
亡国の四騎士,망국의 네 기사
氷炎牆に鬩ぐ,얼음과 불꽃의 대립
過日の痕、明日への扉,"과거의 상처, 내일을 향한 문"
魔ガ散ルトキ、彼ハ,"마가 흩어질 때, 그는"
神境にて辿る跡,신의 경지로 가는 길
自由をその手に,자유를 그 손에
プラチナ・スカイ,플라티나 스카이
砂神の巫女,모래신의 무녀
名探偵バロワ,명탐정 바로와
とりまトッポブで。
粧して臨めよ花戦,꾸미고 맞이하라 꽃의 전장
フォール・オブ・ドラゴン,폴 오브 드래곤
ロボミ外伝,로보미 외전
届かないほど、近くのあなたへ,닿지 않을만큼 가까운 당신에게
この想いを、何に喩えようか,이 마음을 무엇에 비유할 것인가
昏き島に眠る光の巨人,어둑한 섬에 잠든 빛의 거인
リペイント・ザ・メモリー,리페인트 더 메모리
舞い歌う五花,춤추며 노래하는 다섯송이의 꽃
蛇神の島に響く歌,뱀신의 섬에서 울려 퍼지는 노래
神立、笠雲の合間に閃きて,"뇌명, 삿갓구름 사이에서 번쩍이고"
砂縛の涙、ひとしずく,사박의 눈물 한 방울
俺達のレンジャーサイン！,우리들의 레인저 사인！
英雄再起,영웅재기
孤独の竜姫,고독한 용공주
ポーチャーズ・デイ,포쳐즈 데이
どうして空は蒼いのか,어째서 하늘은 푸른걸까
失楽園,실락원
Aqours スカイハイ！,Aqours 스카이하이！
蒼空の食卓をともに,창공의 식탁에서 다 같이
サイコー！FANTASY,최고！FANTASY
交差する運命の物語,교차하는 운명의 이야기
空で繋ぐ絆の物語,하늘에서 이어지는 인연의 이야기
蒼穹に散るゼロ,창공에 떨어진 제로
獲得条件<br>揺らめく灯籠を累計で***個入手,획득조건<br>흔들리는 등롱을 누계 ***개 획득
獲得条件<br>荒ぶる大灯籠を累計で***個入手,획득조건<br>거칠게 흔들리는 대등롱을 누계 ***개 획득
獲得条件<br>「降焔祭」ストーリーを*話までクリア,획득조건<br>「강염제」 스토리 *화를 클리어
