orig,kr
!기본 칭호 UI
名前変更,이름 변경
称号・名前変更,칭호・이름 변경
称号を変更する,칭호를 변경한다
入力された日付は存在しません。<br>正しい日付を入力してください。</ul>,입력된 날자가 존재하지 않습니다. <br> 올바른 날자를 입력해주세요. <ul>
誕生日を設定しました。,생일을 설정했습니다.
プロフィールに戻る,프로필로 돌아간다
誕生日,생일
*月*日,*월 *일
*月**日,*월 **일
**月*日,**월 *일
**月**日,**월 **일
オリジナルネームに変更,오리지널 네임으로 변경
入力した名前に変更する,입력한 이름으로 변경한다
詳細,상세
称号確認,칭호 확인
設定する称号を選択してください。,설정할 칭호를 선택해주세요.
獲得条件<br>メインクエスト第*章クリア,획득조건<br>메인 퀘스트 제*장 클리어
獲得条件<br>メインクエスト第**章クリア,획득조건<br>메인 퀘스트 제**장 클리어
獲得条件<br>メインクエスト第***章クリア,획득조건<br>메인 퀘스트 제***장 클리어



部分一致で称号を検索します,부분적으로 일치하는 칭호를 검색합니다
検索,검색
全ての称号を表示,모든 칭호를 본다

大いなる翼を授かりし者,위대한 날개를 받은 자
獲得条件：メインクエスト第*章クリア,획득조건：메인 퀘스트 제*장 클리어

太古の因縁を断ち切りし者,고대의 인연을 끊은 자

堕ちゆく水都を救いし者,부패한 물의 도시의 구원자
獲得条件：メインクエスト第**章クリア,획득조건：메인 퀘스트 제**장 클리어
獲得条件：メインクエスト第***章クリア,획득조건：메인 퀘스트 제***장 클리어

因果交わる地を訪れし者,인과가 교차하는 곳을 방문한 자

忠騎の闇を祓いし者,충기(忠騎)의 어둠을 물리친 자

名無しの幽霊を導きし者,이름 없는 유령을 인도하는 자

空駆ける旧約を叶えし者,하늘을 달리는 구약을 실현한 자

鎖を断ち切り真実を求む者,사슬을 끊고 진실을 찾는 자

野望の真相に迫る者,야망의 진상에 다가간 자

再訪と解放を誓いし者,재방문과 해방을 맹세한 자 

秩序と規律を救いし者,질서와 규율의 구원자
メインクエスト,메인 퀘스트
"<option data-category-id=""*"" value=""*"" selected="""">メインクエスト</option>                                                                <option data-category-id=""*"" value=""*"">フリークエスト</option>                                                                <option data-category-id=""*"" value=""*"">イベント</option>                                                                <option data-category-id=""*"" value=""*"">コラボイベント</option>                                                                <option data-category-id=""*"" value=""*"">サイドストーリー</option>","<option data-category-id=""*"" value=""*"" selected="""">메인퀘스트</option>                                                                <option data-category-id=""*"" value=""*"">프리퀘스트</option>                                                                <option data-category-id=""*"" value=""*"">이벤트</option>                                                                <option data-category-id=""*"" value=""*"">콜라보 이벤트</option>                                                                <option data-category-id=""*"" value=""*"">사이드 스토리</option>"
フリークエスト,프리 퀘스트
コラボイベント,콜라보 이벤트
サイドストーリー,사이드 스토리

暴虐より故郷を守りし者,포학으로부터 고향을 지키는 자

悪意より創樹を解放せし者,악의로부터 창수(創樹)를 해방한 자 

漆黒の帝都に光当てし者,칠흑의 제도에서 빛난 자

蒼の少女と旅する者,푸른 소녀와 여행하는 자

幾重もの縁を結ぶ者,인연을 쌓아가는 자

瘴流域を越え進みし者,독기의 유역을 넘어간 자

争いの火種を鎮めし者,분쟁의 불씨를 가라앉힌 자

千里眼の賢者に認められし者,천리안을 가진 현자에게 인정받은 자

星の獣と憩いし者,별의 짐승과 휴식한 자

緋色と黄金を越えし者,비색과 황금의 초월자
獲得条件：メインクエスト第***章クリア,획득조건：메인퀘스트 제***장 클리어

現世と幽世を断ち切りし者,현세와 유세를 차단한 자

暁の空を巡りし者,새벽의 하늘을 순환한 자

福音の星晶獣に祝福されし者,복음의 성정수에게 축복받은 자

理想郷の教育課程を修了せし者,이상향의 교육과정을 수료한 자


初勝ち星,첫 승리
獲得条件：「決戦！星の古戦場」同一開催回において本戦で*勝、もしくはスペシャルバトル討伐成功(本戦進出騎空団対象),획득조건：「결전！별의 고전장」동일개최 본선에서*승리 혹은 스페셜 배틀 토벌 성공(본선진출 기공단 대상)

古戦場の英雄,고전장의 영웅
"獲得条件：古戦場イベントにおいて、個人ランキング*,***位入賞","획득조건：고전장 이벤트에서 개인 랭킹 *,***위 입상"

古戦場の豪傑,고전장의 호걸
"獲得条件：古戦場イベントにおいて、個人ランキング**,***位入賞","획득조건：고전장 이벤트에서  개인 랭킹 **,***위 입상"

古戦場の麒麟児,고전장의 기린아
"獲得条件：古戦場イベントにおいて、個人ランキング***,***位入賞","획득조건：고전장 이벤트에서 개인 랭킹 ***,***위 입상"

古戦場の新鋭,고전장의 신예

戦貨を集めてみませんか？,전화를 모아볼까요？
"獲得条件：古戦場イベントにおいて、戦貨を累計**,***枚獲得","획득조건：고전장 이벤트에서 전화를 누계 **,***매 획득"
古戦場,고전장
"<option data-category-id=""*"" value=""*"" selected="""">古戦場</option>                                                                <option data-category-id=""*"" value=""*"">敵の討伐</option>                                                                <option data-category-id=""*"" value=""*"">討滅戦</option>                                                                <option data-category-id=""*"" value=""*"">四象降臨</option>                                                                <option data-category-id=""*"" value=""*"">エクストラクエスト</option>                                                                <option data-category-id=""*"" value=""*"">トレハン</option>                                                                <option data-category-id=""*"" value=""*"">カニ</option>                                                                <option data-category-id=""*"" value=""*"">ブレイブグラウンド</option>                                                                <option data-category-id=""*"" value=""*"">スライム</option>                                                                <option data-category-id=""*"" value=""**"">その他</option>"
敵の討伐,적의 토벌
討滅戦,토멸전
トレハン,트레저 헌트
カニ,게
ブレイブグラウンド,브레이브 그라운드
スライム,슬라임


アニママニア,아니마 마니아
獲得条件：アニマ、マグナアニマと名がつくアイテムを累計で*****個入手,"획득조건：아니마, 마그나 아니마 라고 이름붙은 아이템을 누계 *****개 획득"
"<option data-category-id=""*"" value=""*"" selected="""">トレジャー</option>",,,,,,,,"<option data-category-id=""*"" value=""*"">ルピ</option>",,,,,,,,"<option data-category-id=""*"" value=""*"">カジノ</option>",,,,,,,,"<option data-category-id=""*"" value=""*"">セラフィックウェポン</option>,"
カジノ,카지노
セラフィックウェポン,세라픽 웨폰

大富豪,대부호
獲得条件：*******ルピ所持,획득조건：*******루피 소지
"<option data-category-id=""*"" value=""*"">トレジャー</option>",,,,,,,,"<option data-category-id=""*"" value=""*"" selected="""">ルピ</option>",,,,,,,,"<option data-category-id=""*"" value=""*"">カジノ</option>",,,,,,,,"<option data-category-id=""*"" value=""*"">セラフィックウェポン</option>,"

駆け出し勝負師,신출내기 승부사
獲得条件：カジノでメダルを累計*万枚獲得する,획득조건：카지노에서 메달을 누계 *만개 획득한다

カジノ・ミリオネラ,키지노・밀리어네어
獲得条件：カジノでメダルを累計***万枚獲得する,획득조건：카지노에서 메달을 누계 ***만개 획득한다

天の至宝に最も近い者,하늘의 보물에 가장 근접한 자
獲得条件：カジノでメダルを累計****万枚獲得する,획득조건：카지노에서 메달을 누계 ****만개 획득한다

塵も積もれば…,티끌 모아 태산
獲得条件：カジノでメダルを累計****枚拾う,획득조건：카지노에서 메달을 누계 ****개 줍는다

スロッター,슬로터
獲得条件：BAR当選,획득조건：BAR 당첨

☆★☆７７７☆★☆
