orig,kr
"!노아(SSR,리미티드)"
[空艇の導き手],[공정의 인도자]
ノア,노아

セイクリッド・グローブ,세이크리드・글로브
セイクリッド・グローブ＋,세이크리드・글로브＋
光属性ダメージ(特大)/味方全体のダブルアタック確率UP/奥義ゲージ上昇量UP,광속성 데미지(특대)/아군 전체의 더블어택 확률 UP/오의 게이지 상승량 UP
ラジェーションボルトII,라디에이션 볼트II
ラジェーションボルトII＋,라디에이션 볼트II＋
敵の強化効果を*つ無効化/安寧の渡鳥を付与,적의 강화효과를 *개 무효화 / 안녕의 철새를 부여
セイクリッド・シルド,세이크리드・실드
セイクリッド・シルド＋,세이크리드・실드＋
"<div class=""prt-text-small"">敵全体に光属性ダメージ/味方全体に被ダメージ無効(*回)/ディスペルガード効果(*回)</div>","<div class=""prt-text-small"">적 전체에게 광속성 데미지/아군 전체에 피 데미지 무효(*회)/디스펠 가드 효과(*회)</div>"
オラシオン・イーリス,오라시온・이리스
"<div class=""prt-text-small"">自分以外の光属性キャラ単体が即座に奥義発動可能/祝福の門出効果　<span class=""text-blue"">◆経過ターンが**ターン目以降の時、奥義再発動(*回)効果追加</span></div>","<div class=""prt-text-small"">자신 이외의 광속성 캐릭터 한 체가 즉시 오의 발동 가능/축복의 출발 효과　<span class=""text-blue"">◆경과 턴이 **턴 이후일 때, 오의 재발동 (*회)효과 추가</span></div>"
虹の彼方に,무지개의 저편에
祝福の門出効果中の味方が奥義発動時、オラシオン・イーリスの再使用間隔が*ターン短縮,"축복의 출발 효과 아군의 오의 발동 시, 오라시온・이리스의 재사용간격이 *턴 단축"
艇造りの星晶獣,정조의 성정수
光属性キャラが安寧の渡鳥状態の敵に対して奥義性能UP,광속성 캐릭터가 안녕의 철새 상태인 적을 상대로 오의 성능 UP


"!노이슈(SSR,수영복)"
[燦夏騎士],[찬란한 여름의 기사]
ノイシュ,노이슈

アラドヴァル,아라드발
アラドヴァル＋,아라드발＋
光属性ダメージ(特大)/自分に聖槍効果,광속성 데미지(특대)/자신에게 성창 효과
リッターシルトII,리타 실드II
リッターシルトII＋,리타 실드II＋
味方全体の全属性ダメージカット(**%)/闇属性ダメージカット(**%),아군 전체에게 모든 속성 데미지 컷(**%)/암속성 데미지 컷(**%)
ルーセントドライヴ,루센트 드라이브
ルーセントドライヴ＋,루센트 드라이브＋
"<div class=""prt-text-small"">敵に光属性ダメージ/光属性防御DOWN<span class=""text-blue""><br>◆聖槍を消費して*回攻撃/弱体効果命中率UP</span></div>","<div class=""prt-text-small"">적에게 광속성 데미지/광속성 방어 DOWN<span class=""text-blue""><br>◆성창을 소모해 *회 공격/약체효과 명중률 UP</span></div>"
オーリエイトスタンス,오리엔트 스탠스
"<div class=""prt-text-small"">自分の奥義性能UP(*回)/クリティカル確率UP<span class=""text-blue""><br>◆聖槍を消費して効果を全体化</span></div>","<div class=""prt-text-small"">자신의 오의성능 UP(*회)/크리티컬 확률 UP<span class=""text-blue""><br>◆성창을 소모해 효과 전체화</span></div>"
アイルスト王国の騎士,아일스트 왕국의 기사
オーバードライブ時の敵からの被ダメージ減少/弱体効果を受けていない時連続攻撃確率UP、弱体効果時防御UP,"오버드라이브 상태의 적에게서 받는 데미지 경감/약체효과가 없을 경우 연속 공격 확률UP, 약체효과시 방어 UP"
常在の槍,상재의 창
バトル開始時に聖槍効果,배틀 개시시 성창 효과


"!뉴제네(SSR,신데콜라보)"
[ニュージェネレーションズ],[뉴 제네레이션]
渋谷凛&島村卯月&本田未央,시부야 린&시마무라 우즈키&혼다 미오

ミラクル・レボリューション,미라클・레볼루션
ミラクル・レボリューション＋,미라클・레볼루션＋
光属性ダメージ(特大)/自分のリンクアビリティが即時使用可能,광속성 데미지(특대)/자신의 링크어빌리티 즉시 사용가능
ピースフルスマイル,피스풀 스마일
ピースフルスマイル＋,피스풀 스마일＋
味方全体の奥義ゲージUP(**%)/奥義ゲージ上昇量UP,아군 전체의 오의 게이지UP(**%)/오의 게이지 상승률UP
アイオライトブルーム,아이올라이트 블룸＋
アイオライトブルーム＋,아이올라이트 블룸＋
敵全体に光属性ダメージ/氷牢効果,적 전체에게 광속성 데미지/빙뢰효과
ハピネススター,해피니스 스타
味方全体のHPを回復/弱体効果を*つ回復,아군 전체의 HP를 회복/약화효과를 *개 회복
流れ星キセキ,별똥별 기적
自分に魔法のキズナ効果,자신에게 마법의 인연 효과
ワンダフルマジック,원더풀 매직
必ずトリプルアタックするが奥義ゲージが溜まりにくい,반드시 트리플 어택 하지만 오의 게이지를 모으기 어렵다


!도로시&클라우디아(SSR)
[ご主人様＆],[주인님＆]
サーヴァンツ ドロシー＆クラウディア,서번트 도로시＆클라우디아

グリム・フレイム,그림・플레임
グリム・フレイム＋,그림・플레임＋
光属性ダメージ(特大)/ダブルアタック確率DOWN,광속성 데미지(특대)/더블어택 확률 DOWN
ヴァリアブル・メイド,배리어블・메이드
ヴァリアブル・メイド＋,배리어블・메이드＋
"<div class=""prt-text-small"">敵に光属性ダメージ/ドロシーとクラウディアが交代/自分にサーヴァント・オウス付与</div>","<div class=""prt-text-small"">적에게 광속성 데미지/도로시와 클라우디아가 교대/자신에게 서번트・오스 부여</div>"
もっとご奉仕！,좀 더 봉사를！
もっとご奉仕！＋,좀 더 봉사를！＋
"<div class=""prt-text-small"">ご主人様の攻撃性能UP<br><span class=""text-blue"">クラウディア：自分に与ダメージ上昇効果/クリティカル確率UP</span></div>","<div class=""prt-text-small"">주인님의 공격성능 UP<br><span class=""text-blue"">클라우디아：자신에게 가하는 데미지 상승 효과/크리티컬 확률 UP</span></div>"
まとめて消毒！,전부다 소독！
"<div class=""prt-text-small"">敵全体に光属性ダメージ/強化効果を*つ無効化<br><span class=""text-blue"">クラウディア：敵に*倍光属性ダメージ/敵の最大CT増加</span></div>","<div class=""prt-text-small"">적 전체에게 광속성 데미지/강화효과를 *개 무효화<br><span class=""text-blue"">클라우디아：적에게 *배 광속성 데미지/적의 최대 CT추가</span></div>"
サーヴァンツ・シュテルメン,서번트・슈테르멘
奥義ゲージ***%UP,오의 게이지 ***% UP
忠節の侍女たち,충절의 시녀들
"<div class=""prt-text-small"">ドロシー：敵全体に通常攻撃<br><span class=""text-blue"">クラウディア：通常攻撃時に確率で敵の防御DOWN(累積)</span></div>","<div class=""prt-text-small"">도로시：적 전체에게 일반공격<br><span class=""text-blue"">클라우디아：일반공격시 확률로 적의 방어 DOWN(누적)</span></div>"
阿吽の呼吸,아첨의 호흡
