orig,kr
"!글레어(SSR,수영복)"
[真夏の竜姫],[한여름의 용공주]
グレア,글레어

マッドネスクリーヴ＋,매드니스 클리브＋
水属性ダメージ(特大)/対象がドラグフォース状態時に性能UP/自分の奥義ゲージUP(**%),수속성 데미지 (특대)/대상이 드래그포스 시 성능 UP/자신의 오의 게이지 UP (**%)
マナ・ドラグアグニ＋,마나・드라그아그니＋
敵に水属性ダメージ/ドラグフォースを付与,적에게 수속성 데미지/드래그포스를 부여
ブレイズデュオ＋,블레이즈 듀오＋
"味方単体と自分にデュオ効果　<span class=""text-blue"">◆デュオ効果は味方一人にのみ付与可能</span>","아군 단체와 자신에게 듀오 효과　<span class=""text-blue"">◆듀오 효과는 아군 1명에게만 부여 가능</span>"
ドラグハート,드래그 하트
"<div class=""prt-text-small"">効果中必ずトリプルアタック/クリティカル確率UP　<span class=""text-blue"">◆自分の奥義ゲージ**%消費/デュオ効果中の味方にも効果を付与</span></div>","<div class=""prt-text-small"">효과 중 반드시 트리플 어택/크리티컬 확률 UP　<span class=""text-blue"">◆자신의 오의 게이지 **% 소비/듀오 효과 중인 아군에게도 부여</span></div>"
炎術式,염술식
ドラグフォース状態の敵に対してダメージUP/追撃効果,드래그포스 상태인 적에게 입히는 데미지 UP/추격 효과
ひとときの連弾,한때의 연탄
デュオ効果中の自分と味方に奥義ダメージUP/奥義ダメージ上限UP/再生/高揚効果,듀오 효과 중의 자신과 아군의 오의 데미지 UP/오의 데미지 상한 UP/재생/고양 효과


"!나루메아(SSR,수영복)"
[爽涼の斬姫],[상쾌한 검희]
ナルメア,나루메아

無為自然＋,무위자연+
水属性ダメージ(特大)/自分に幻影効果(*回),수속성 데미지(특대)/자신에게 환영효과(*회)
胡蝶刃＋,호접인+
"<div class=""prt-text-small"">自分に弱点属性追撃効果/防御DOWN　<span class=""text-blue"">◆胡蝶刃の使用回数に応じて性能UP</span></div>","<div class=""prt-text-small"">자신에게 약점 속성 추격 효과/ 방어DOWN <span class=""text-blue"">◆호접인 사용 횟수에 따라 성능UP</span></div>"
臥薪嘗胆＋,와신상담+
"<div class=""prt-text-small"">敵の強化効果を*つ無効化/自分の連続攻撃確率UP　<span class=""text-blue"">◆臥薪嘗胆の使用回数に応じて性能UP</span></div>","<div class=""prt-text-small"">적의 강화 효과를 *개 무효화/자신의 연속 공격 확률UP <span class=""text-blue"">◆ 와신상담의 사용 횟수에 따라 성능UP</span></div>"
精神一到,정신일도
"<div class=""prt-text-small"">自分の攻撃大幅UP(敵ブレイク時のみ/*回)/クリティカル確率UP　<span class=""text-blue"">◆精神一到の使用回数に応じて性能UP</span></div>","<div class=""prt-text-small"">자신의 공격력을 매우 크게UP(적이 브레이크 상태일 시/*회) <span class=""text-blue"">◆ 크리티컬 확률UP 정신일도의 사용 횟수에 따라 성능UP</span></div>"
源氏舞・泡沫謡,겐지의 춤·포말요
奥義発動時攻撃UP(累積/最大*回),오의 발동 시 공격력UP(누적/최대*회)
神楽舞・夢幻謡,카구라의 춤·몽환요
アビリティ使用時回避率UP(累積/最大**回),어빌리티 사용 시 회피률UP(누적/최대**회)


"!드랑(SSR,리미티드)"
[深藍の遊兵],[심람의 유병]
ドランク,드랑

ナインス・アワー＋,나인스・아워＋
水属性ダメージ(特大)/火属性攻撃DOWN/水属性防御DOWN,수속성 데미지 (특대)/화속성 공격 DOWN/화속성 방어DOWN
フェアトリックレイド＋,페어 트릭 레이드＋
"<div class=""prt-text-small"">敵全体に水属性ダメージ<br><span class=""text-blue"">策謀の術：敵全体に弱体耐性DOWN/スロウ<br>煙濤の術：味方全体のHP回復/奥義ゲージUP</span></div>","<div class=""prt-text-small"">적 전체에 수속성 데미지<br><span class=""text-blue"">책모의 술：적 전체의 약체효과 내성DOWN/슬로우<br>연도의 술：아군 전체의 HP 회복/오의 게이지 UP</span></div>"
マヌーバ・スイッチ＋,매뉴버・스위치＋
煙濤の術を披露する,연도의 술을 선보인다
策謀の術を披露する,책략의 술을 선보인다
インタラプト・トラップ,인터럽트・트랩
敵の強化効果を*つ無効化/攻撃DOWN/防御DOWN,적의 강화 효과를 *개 무효화/공격 DOWN/방어 DOWN
策謀の閃き,책략의 번뜩임
