orig,kr
"!나루메아(SSR,암속통상)"
[揺らぎの斬姫],[동요하는 참희]
ナルメア,나루메아
狂気的なまでにひた向きに、ただ真っ直ぐに。異常な鍛錬を平然と積み続けた剣豪は、最強への階を駆けあがる。されど、遥か先を歩む天を統べし強者は、未だ振り返らず。,"광기적일 정도로 한결같이, 그저 올곧은. 비정상적인 단련을 계속해온 검호는 최강의 층을 뛰어오른다. 하지만, 아득히 앞을 걷는 하늘을 통솔하는 강자는 아직 돌아보지 않는다."

揺らぎの斬姫,동요하는 참희
揺らぐは心思,동요하는 것은 마음
大好きなお姉さん,너무 좋아하는 누나
たったそれだけのこと,겨우 그뿐인 일

胡蝶刃・源氏舞,호접인・겐지의 춤
胡蝶刃改・源氏舞,호접인改・겐지의 춤
闇属性ダメージ(特大)/胡蝶刃による攻撃UPを強化/自分の闇属性攻撃力UP,암속성 데미지(특대)/호접인에 의한 공격UP 강화/자신의 암속성 공격력UP
胡蝶刃・神楽舞,호접인・카구라의 춤
胡蝶刃改・神楽舞,호접인改・카구라의 춤
闇属性ダメージ(特大)/胡蝶刃による防御DOWNを解除/幻影効果(*回),암속성 데미지(특대) / 호접인에 의한 방어 DOWN을 해제 / 환영 효과(*회)
胡蝶刃,호접인
胡蝶刃＋,호접인＋
"構えを変更/自分に弱点属性追撃効果<br><span class=""text-blue"">◆構えを変更するたび攻撃UP/防御DOWN/*ターンの間アビリティ使用不可</span>","자세를 변경/자신에게 약점속성 추격 효과<br><span class=""text-blue"">◆태세를 변경할 때마다 공격UP/방어DOWN/*턴 동안 어빌리티 사용 불가</span>"
"構えを変更/自分に弱点属性追撃効果<br><span class=""text-blue"">◆構えを変更するたび攻撃UP/防御DOWN</span>","자세를 변경/자신에게 약점속성 추격 효과<br><span class=""text-blue"">◆태세를 변경할 때마다 공격UP/방어DOWN</span>"
泡沫夢幻,포말몽환
泡沫夢幻＋,포말몽환＋
泡沫夢幻＋＋,포말몽환＋＋
"敵に闇属性ダメージ<br>源氏の構え：効果中必ず連続攻撃<br><span class=""text-blue"">神楽の構え：敵の防御DOWN</span>","적에게 암속성 데미지<br>겐지의 자세：효과 중 반드시 연속공격<br><span class=""text-blue"">카구라의 자세：적의 방어DOWN</span>"
"敵に闇属性ダメージ/胡蝶相剋効果<br>源氏の構え：効果中必ずトリプルアタック<br><span class=""text-blue"">神楽の構え：敵の防御DOWN</span>","적에게 암속성 데미지/호접상극 효과<br>겐지의 자세：효과중 반드시 트리플어택<br><span class=""text-blue"">카구라의 자세：적의 방어DOWN</span>"
鏡花水月,경화수월
"源氏の構え：敵のモードゲージ上昇/スロウ効果<br><span class=""text-blue"">神楽の構え：自分の攻撃大幅UP(敵オーバードライブ時のみ/*回)</span>","겐지의 자세：적의 모드 게이지 상승/슬로우 효과<br><span class=""text-blue"">카구라의 자세：자신의 공격력 대폭UP(적 오버드라이브 시 한정/*회)</span>"
"源氏の構え:敵の強化効果を*つ無効化/スロウ効果　<span class=""text-blue"">神楽の構え:自分の攻撃大幅UP(胡蝶相剋時のみ/*回)/クリティカル確率UP</span>","겐지의 자세:적의 강화효과를 *개 무효화/슬로우 효과　<span class=""text-blue"">카구라의 자세:자신의 공격력 대폭UP(호접상극일 때만/*회)/크리티컬 확률UP</span>"
胡蝶双舞,호접쌍무
自分の奥義性能UP(*回)/高揚効果/胡蝶双舞効果,자신의 오의 성능 UP(*회) / 고양 효과 / 호접쌍무 효과
質実剛健,질실강건
ドラフ族の攻撃力UP,드라프 종족 공격력UP
鍔迫合,코등이싸움
鍔迫合＋,코등이싸움＋
稀にダメージを反射/一度だけ戦闘不能にならずにHP*で耐える,가끔 데미지를 반사 / 한 번만 전투불능이 되지 않고 HP *로 견딘다
強化効果が無効化されない/一度だけ戦闘不能にならずにHP*で耐える,강화 효과가 무효화 되지 않는다 / 한 번만 전투불능이 되지 않고 HP *로 견딘다
稀にダメージを反射/鏡花水月使用時に反射が必ず発動,가끔 데미지를 반사 / 경화수월 사용시에 반사가 반드시 발동


"!다누아(SSR,수영복)"
[溟海の漂蕩者],[망망대해의 표류자]
ダヌア,다누아

グラン・ギニョル,그랑・기뇨르
グラン・ギニョル＋,그랑・기뇨르＋
闇属性ダメージ(特大)/恐怖効果,암속성 데미지(특대) / 공포효과
エンヴィードール,엔비 돌
エンヴィードール＋,엔비 돌＋
味方全体にバリア効果,아군 전체에 배리어 효과
グリムリッパーII,그림리퍼 II
グリムリッパーII＋,그림리퍼 II＋
敵に闇属性ダメージ/防御DOWN(累積)/自分にダメージ,적에게 암속성 데미지 / 방어 DOWN(누적) / 자신에게 데미지
アップグルント,업 그룬트
敵全体に闇属性ダメージ/攻撃DOWN,적 전체에 암속성 데미지 / 공격 DOWN
フィアードメイン,피어드메인
味方全体のアビリティダメージUP/弱体成功率UP,아군 전체의 어빌리티 데미지 UP / 약체 성공률 UP


"!레이(SSR,리미티드)"
[悟心瞳師],[오심동사]
レイ,레이

五眼掌握・寂光浄土,오안장악・적광정토
五眼掌握・寂光浄土＋,오안장악・적광정토＋
