orig,kr
!캐릭터 디테일 수정에 대한 예시
!나중에 충분히 데이터가 쌓이면 수정하거나 지울 것임

추출과정에 대한 시연 영상: https://youtu.be/DKd54JxrC0o

"!아일(SSR,통상)"
"!이명에 대해서, 이명은 기본적으로 직역을 해서 적되, 너무 어색하면 (eg. 분재의 준수) 의역해서 넣는 게 어떰? 개인적으론 한자를 괄호안에 병기하는 것도 나름 멋이 있다고 생각하는데.."
[灰白の豹],[회백(灰白)의 표범]
アイル,아일
!페이트 에피소드 -  이건 루리아노트의 캐릭터 디테일에 가면 볼 수 있음. 퀘스트명 -> 퀘스트 스킵에 나오는 요약 텍스트순.
薄闇の新世界,박암(薄闇)의 신세계
違法な喧嘩賭博に参戦し、日々、闘争本能を研ぎ澄ます喧嘩屋アイル。兄貴分のボーマンと勝利を祝っていると、憲兵による一斉検挙が始まる。そこでアイルはSide.Wと対峙し、その存在に興味を持つが、ひとまず適当な騎空艇に身を潜める。しかし、それは偶然にもSide.W達の乗るグランサイファーであり、アイルはなりゆきで旅に同行することになるのだった。,위법한 싸움도박에 참여하여、매일같이 투쟁본능을 갈고 닦던 아일. 형님으로 모시고 있는 보먼과 승리를 축하하고있던 도중 현병에 의한 일제검거가 시작된다. 거기서 아일은 주인공과 대치하여、그 존재에 흥미를 가지지만、일단은 적당한 기공선에 몸을 숨긴다. 하지만 그것은 우연히 주인공일행이 타던 그랑사이퍼였고、아일은 엉겁결에 여행에 동행하게 되는 것이었다.
灰色の境界線,잿빛(灰色)의 경계선
鈍色の蜃気楼,둔색(鈍色)의 신기루
!루리아 노트에 표시되는 캐릭터 요약
幸せな家庭で育った少年は、生来の気質との狭間に揺れ、新世界を目指す。そして辿り着いた闘争の舞台は、彼に生きている実感を与えたが、それは果たして真の幸福に結実するか。答えは空が知っている。,행복한가정에서 자란 소년은 선천적인 기질과의 차이에 흔들려 신세계를 향한다. 그리고 도달한 투쟁의 무대는 그에게 살아있다는 실감을 줬지만 그것은 과연 진정한 행복으로 결실할 수 있을까. 답은 하늘이 알고있다.
"!아래는 스킬 명, 스킬효과 순 해석"
ビート・ザ・ウォール,비트 더 월
土属性ダメージ(特大)/土属性追撃効果/効果中必ずトリプルアタック,토속성데미지(특대)/토속성추격효과/효과중 반드시 트리플어택
!스킬 중에는 +가 붙은 스킬과 안붙은 스킬을 같이 고려해서 센스있게 이름을 넣어주자!
ギルティブレイク,길티브레이크
ギルティブレイク＋,길티브레이크＋
"自分に逆境効果　<span class=""text-blue"">◆自分のHPを最大値の**%消費</span>","자신에게역경효과　<span class=""text-blue"">◆자신의 HP 최대치의**%소비</span>"
◆自分のHPを最大値の**%消費,◆자신의 HP 최대치의**%소비
ジョルトカウンターII,졸트카운터II
"<div class=""prt-text-small"">奥義発動をせずカウンター(*回)/自分の奥義ゲージUP(**%)<span class=""text-blue"">◆奥義ゲージが毎ターン**消費される/再使用または奥義ゲージ*で解除</span></div>","<div class=""prt-text-small"">오의발동을 하지 않고 카운터(*회)/자신의 오의게이지UP(**%)<span class=""text-blue"">◆오의 게이지가 매턴**소비된다/재사용 혹은 오의 게이지*으로 해제</span></div>"
挑発,도발
かかってこいよ……テメェらにオレは倒せない！(自分の敵対心大幅UP),덤벼……네놈들은 나를 쓰러트릴수없어！(자신의 적대심대폭UP)
闘争の血潮＋,투쟁의 혈기(血潮)
自分の残りHPが少ないほど連続攻撃確率UP/ダメージ上限UP,자신의 남은 HP가 적을 수록 연속공격확률UP/데미지상한UP

"!이 예시에는 없는데, 스킬 효과도 퍼오면 좋을듯"
