orig,kr
"!나루메아(SSR,크리스마스)"
[想重の斬姫],[무거운 마음의 참희]
ナルメア,나루메아

心斎坐忘＋,심재좌망+
土属性ダメージ(特大)/自分にカウンター効果(回避・被ダメージ/*回),토속성 데미지(특대) / 자신에게 카운터 효과(회피・받는 데미지/*회)
至人己無＋,지인기무+
"<div class=""prt-text-small"">自分に弱点属性追撃効果/カウンター効果(回避・被ダメージ/*回)　<span class=""text-blue"">◆奥義ゲージを**％消費/奥義ゲージ***％消費で効果時間延長</span></div>","<div class=""prt-text-small"">자신에게 약점속성 추격 효과 / 카운터 효과(회피・받는 데미지/*회) <span class=""text-blue"">◆오의 게이지를 **％소비/오의 게이지를 ***% 소비하여 지속시간 연장</span></div>"
天香桂花＋,천향계화+
敵に*回土属性ダメージ/自分のHP回復/八双Lvが*上昇,적에게 *회 토속성 데미지 / 자신의 HP회복 / 팔쌍 Lv이 *상승
光風霽月,광풍제월
自分にかばう効果(全体)/被ダメージの**％を反射/攻撃大幅UP,자신에게 감싸기 효과(전체) / 받는 데미지의 **%를 반사 / 공격력을 대폭 UP
乱れ胡蝶,변화무쌍한 나비
"<div class=""prt-text-small"">カウンター発動時に八双Lvが上昇(最大*)/カウンター効果が付与されている時、自分が必ずトリプルアタック　<span class=""text-blue"">◆八双Lvに応じて攻防UP</span></div>","<div class=""prt-text-small"">카운터 발동시에 팔쌍 Lv이 상승(최대*) / 자신이 카운터 효과를 받고 있을 때 반드시 트리플 어택 <span class=""text-blue"">◆팔쌍 Lv에 따라 공격력 UP</span></div>"
捲土重来,권토중래
一度だけ戦闘不能にならずHP*で耐える/八双Lvが*の時、被ターゲット時に天香桂花が自動発動,한 번만 전투불능이 되지 않고 HP *로 버틴다 / 팔쌍 Lv이 *일 때 데미지를 입으면 천향계화가 자동발동


!네모네(SSR)
[揺雲の如く],[흔들리는 구름처럼]
ネモネ,네모네

ガイア・スィーモース＋,가이아 쉬모스＋
土属性ダメージ(特大)/自分のダブルアタック確率UP,토속성 데미지 (특대) / 자신의 더블어택 확률 UP
ラニーニャ＋,라니냐＋
敵に土属性ダメージ/防御DOWN(累積)するヤツ！,적에게 토속성 데미지 / 방어 DOWN(누적)하는 녀석！
ローゼル＋,로젤＋
"<div class=""prt-text-small"">たまに敵の攻撃を回避するヤツ！　<span class=""text-blue"">◆回避時に奥義ゲージUP/敵対心DOWN(累積)</span></div>","<div class=""prt-text-small"">가끔 적의 공격을 회피하는 녀석!　<span class=""text-blue"">◆회피 시 오의 게이지 UP / 적대심 DOWN(누적)</span></div>"
スタンド・イン・ライン,스탠드 인 라인
溜まったパゥワーを解き放って会心の一撃的なヤツ！,모인 파워를 해방해 회심의 일격적인 녀석!
いたごちっ！,잘먹을게！
めっちゃ防御薄いけどめっちゃ奥義ゲージたまるヤツ！,방어력 엄청 약하지만 오의 게이지 엄청 쌓이는 녀석!
ネモ姉にまかせんしゃい！,네모네 언니한테 맡겨보시라！
"敵を攻撃した回数に応じてネモ姉のパゥワーが溜まっていくぜ！<br><span class=""text-blue"">◆被ダメージで減るけど！</span>","적을 공격한 횟수에 따라 네모네의 파워가 모이는거라구!<br><span class=""text-blue"">◆데미지를 받으면 줄어들지만！</span>"


!단토&플라이하이트(SSR)
[ねこと一緒],[고양이와 함께]
ダーント＆フライハイト,단토＆플라이하이트

カプリシュ・アバランチェ＋,카프리쉬・아발란체＋
"土属性ダメージ(特大)/自分の残りHPが多いほどダメージUP　<span class=""text-blue"">◆黒猫棒術を*消費して追加ダメージ</span>","토속성 데미지(특대) / 자신의 남은 HP가 많을수록 데미지 UP　<span class=""text-blue"">◆검은 고양이 봉술을 *소비해서 추가 데미지</span>"
アイディール＋,아이딜＋
"<div class=""prt-text-small"">黒猫棒術を回復する/効果中フライハイトのサポートが必ず発動　<span class=""text-blue"">◆奥義ゲージ**％消費</span></div>","<div class=""prt-text-small"">검은 고양이 봉술을 회복 / 효과 중 플라이하이트의 서포트가 반드시 발동　<span class=""text-blue"">◆오의 게이지 **％ 소비</span></div>"
インフリーダム＋,인프리덤＋
"<div class=""prt-text-small"">効果中必ずトリプルアタック　<span class=""text-blue"">◆黒猫棒術を*消費してフライハイトの追加攻撃性能UP</span></div>","<div class=""prt-text-small"">효과 중 반드시 트리플 어택　<span class=""text-blue"">◆검은 고양이 봉술을 *소비해서 플라이하이트의 추가 공격 성능 UP</span></div>"
ザ・バング,더 뱅
ターン経過なしで通常攻撃を実行,턴 경과 없이 일반공격을 실행
アイ・オブ・ザ・キャット,아이 오브 더 캣
"<div class=""prt-text-small"">*ターン毎に黒猫棒術付与/黒猫棒術時攻防UP　<span class=""text-blue"">◆黒猫棒術はバトル開始時*の状態(最大*)</span></div>","<div class=""prt-text-small"">*턴마다 검은 고양이 봉술 부여 / 검은 고양이 봉술 시 공방 UP　<span class=""text-blue"">◆검은 고양이 봉술은 배틀개시시 *인 상태(최대*)</span></div>"
アタック・アンド・サプライ,어택・앤드・서플라이
"<div class=""prt-text-small"">黒猫棒術時にフライハイトと一緒に戦う/確率で味方全体をランダムな強化効果でサポート　<span class=""text-blue"">◆黒猫棒術は通常攻撃で*消費</span></div>","<div class=""prt-text-small"">검은 고양이 봉술 시 플라이하이트와 함께 싸움 / 확률로 아군전체를 임의의 강화효과로 서포트　<span class=""text-blue"">◆검은 고양이 봉술은 일반공격으로 *소비</span></div>"


!라스티나(SSR)
[天穿の銃槍騎],[하늘을 뚫는 총창기]
ラスティナ,라스티나

ザイスミッシュ・シャル＋,자이스미쉬・샤르＋
土属性ダメージ(特大)/チャージLvが*上昇,토속성 데미지 (특대)/차지 Lv이 *상승
アブソルート・ユスティーツ＋,앱솔루트・유스티츠＋
"<div class=""prt-text-small"">自分にかばう効果/カウンター効果(被ダメージ/*回)/防御大幅UP　<span class=""text-blue"">◆奥義ゲージを**%消費</span></div>","<div class=""prt-text-small"">자신에게 감싸기 효과/카운터 효과 (데미지 받을 때/*회)/방어 대폭 UP　<span class=""text-blue"">◆오의 게이지를 **% 소비</span></div>"
アオス・ブルフ＋,아오스・불프＋
"<div class=""prt-text-small"">敵に土属性ダメージ/自分の防御DOWN/チャージLvリセット <span class=""text-blue"">◆チャージLvに応じてダメージUP/ダメージ上限UP</span></div>","<div class=""prt-text-small"">적에게 토속성 데미지 / 자신의 방어 DOWN / 차지 Lv리셋 <span class=""text-blue"">◆차지 Lv에 따라 데미지 UP / 데미지 상한 UP</span></div>"
ユーベル・ツアシュテールン,유벨・투어슈테른
自分が即座に奥義発動可能/クリティカル確率UP,자신이 즉시 오의 사용가능 / 크리티컬 확률 UP
チャージ,차지
被ダメージでチャージLvが*上昇(最大**),데미지를 받을 때 차지 Lv이 *상승 (최대**)
鋼の決意,강철의 결의
防御力が高いが敵のターゲットにされやすい,방어력이 높지만 적의 타겟이 되기 쉬움


"!레피에(SSR,토속통상)"
[豪奢なる七宝石の姫],[호사스런 일곱 보석의 공주]
レ・フィーエ,레・피에

セブンスブライト＋,세븐스 브라이트＋
土属性ダメージ(特大)/自分の防御UP,토속성 데미지(특대) / 자신의 방어 UP
安らぎの煌めき＋,평온한 반짝임＋
味方全体に再生効果/バリア効果/土属性攻撃UP,아군 전체에 재생 효과 / 배리어 효과 / 토속성 공격 UP
インフルエンスライト＋,인플루언스 라이트＋
"<div class=""prt-text-small"">味方単体のHPを回復/特殊強化(連続攻撃確率UP/攻防UP)</div>","<div class=""prt-text-small"">아군 하나의 HP를 회복 / 특수 강화(연속공격 확률 UP / 공방 UP)</div>"
グリッターリフレクション,글리터 리플렉션
敵全体に土属性ダメージ/被ダメージの一部を反射(*回),적 전체에게 토속성 데미지 / 받는 데미지의 일부를 반사(*회)
王族のドレス,왕족의 드레스
防御力が低いが敵のターゲットにされにくい,방어력이 낮지만 적의 타겟이 되기 어렵다
こんなところにメダルが……,이런 곳에 메달이……
バトル終了時にカジノメダルを入手することがある,배틀 종료시 카지노 메달을 획득하는 경우가 있다


"!로제타(SSR,수영복)"
[潮騒の薔薇],[밀물소리의 장미]
ロゼッタ,로제타

シーサイドローズ＋,씨 사이드 로즈＋
土属性ダメージ(特大)/毒効果/魅了効果,토속성 데미지(특대) / 독 효과 / 매료 효과
蒼茨の結界＋,푸른가시의 결계＋
"<div class=""prt-text-small"">蒼茨の結界を展開/最大HPの**%分のバリア効果(最大****)　<span class=""text-blue"">◆バリア解除時蒼茨の結界を解除</span></div>","<div class=""prt-text-small"">푸른가시의 결계 전개 / 최대 HP의 **% 분의 배리어 효과(최대****)　<span class=""text-blue"">◆배리어 해제시 푸른가시의 결계를 해제</span></div>"
セレブレーション＋,세레브레이션＋
味方全体のHPを回復/弱体効果を*つ回復,아군 전체의 HP를 회복 / 약체 효과를 *개 회복
ロサ・キネンシス,로사・키넨시스
敵全体に土属性ダメージ/蒼茨の結界が即時使用可能になる,적 전체에 토속성 데미지 / 푸른가시의 결계가 즉시 사용가능
プライベートローズガーデン,프라이빗 로즈 가든
蒼茨の結界展開中は敵対心UP/毎ターン結界密度に応じた強化効果を味方全体に付与,푸른가시의 결계 전개 중 적대심 UP / 매 턴 결계 밀도에 따라 강화 효과를 아군 전체에 부여
薔薇の棘,장미의 가시
毒状態の敵に対してクリティカル確率UP/魅了状態の敵に対してダメージ上限UP,독 상태의 적에게 크리티컬 확률 UP / 매료 상태의 적에게 데미지 상한 UP


"!마기사(SSR,크리스마스)"
[ホーリーナイト・ウィッチ],[홀리나이트 위치]
マギサ,마기사

マレウス・カエルム＋,마레우스・카엘름＋
土属性ダメージ(特大)/ホーリーナイトレイが発動,토속성 데미지(특대) / 홀리나이트 레이가 발동
セレナーデ＋,세레나데+
土属性キャラに荒土の刻印を付与/幻影効果(*回)/ブロック効果/再生効果,토속성 캐릭터에게 황토의 각인을 부여 / 환영효과(*회) / 블록 효과 / 재생 효과
ホーリーナイトレイ＋,홀리나이트 레이+
敵に土属性ダメージ/強化効果を*つ無効化/自分に荒土の刻印を付与,적에게 토속성 데미지 / 강화 효과를 *개 무효화 / 자신에게 황토의 각인을 부여
グラウンド・イラプト,그라운드 이럽트
"<div class=""prt-text-small"">敵全体に土属性ダメージ/味方全体の奥義ゲージUP(**%)　<span class=""text-blue"">◆**ターン目以降の時、自分の荒土の刻印を全て消費し発動回数UP</span></div>","<div class=""prt-text-small"">적 전체에게 토속성 데미지 / 아군 전체의 오의 게이지UP(**%) <span class=""text-blue"">◆**턴째 이후 자신의 황토의 각인을 모두 소비해 발동 횟수 UP</span></div>"
土の秘術,땅의 비술
"<div class=""prt-text-small"">グラウンド・イラプト使用時、自分の荒土の刻印の数に応じて自分に以下の強化効果を付与(攻防UP/必ず連続攻撃/モラクスが援護攻撃を行う/土属性追撃効果/奥義性能UP)</div>","<div class=""prt-text-small"">그라운드 이럽트 사용 시、자신의 황토의 각인의 수에 따라 자신에게 이하의 강화 효과 부여(공방 UP / 반드시 연속 공격 / 모락스가 원호 공격을 한다 / 토속성 추격 효과 / 오의 성능 UP)</div>"
聖夜の極魔女,성야의 대마녀
"土属性キャラがそれぞれの荒土の刻印の数に応じて奥義性能UP　<span class=""text-blue"">◆自分がサブメンバーにいる場合でも発動</span>","토속성 캐릭터가 각자 지닌 황토의 각인 수에 따라 오의 성능 UP <span class=""text-blue"">◆자신이 서브멤버에 있을 경우에도 발동</span>"


!마키라(SSR)
[西の守護神],[서의 수호신]
マキラ,마키라

鳥明叡知,조명예지
土属性ダメージ(特大)/味方全体の鼓の音を追加/鼓舞激励による強化効果を*ターン延長,토속성 데미지(특대) / 아군 전체의 북 소리를 추가 / 고무격려에 의한 강화 효과를 *턴 연장
鼓舞激励＋＋,고무격려＋＋
味方全体の攻防UP/連続攻撃確率UP/奥義ダメージ上限UP,아군 전체의 공방 UP / 연속공격 확률 UP / 오의 게이지 상한 UP
鳥神の鼓舞,조신의 고무
雲散鳥没＋＋,운산조몰＋＋
敵に土属性ダメージ/防御DOWN/土属性防御DOWN/連続攻撃確率DOWN,적에게 토속성 데미지 / 방어 DOWN / 토속성 방어 DOWN / 연속공격 확률 DOWN
花鳥風月,화조풍월
味方全体の攻撃UP(中)/土属性追撃効果,아군 전체의 공격 UP(중) / 토속성 추격 효과
通常攻撃時に土属性の追加ダメージが発生する状態,일반공격시 토속성 추가 데미지가 발생하는 상태
鶏往開来,계왕개래
"自分に鶏往開来効果<br><span class=""text-blue"">◆バトルメンバーの鼓の音が最大の時、オールポーションを*個生成/鼓の音を全て消去</span>","자신에게 계왕개래 효과<br><span class=""text-blue"">◆배틀 멤버의 북 소리가 최대일 때, 올 포션을 *개 생성 / 북 소리를 모두 소거</span>"
ターン終了時に敵全体に土属性ダメージを与える状態(消去不可),턴 종료시에 적전체에게 토속성 데미지를 가하는 상태(소거불가)
鳥神宮の主,계신궁의 주인
敵を攻撃した回数に応じてバトルメンバーが「鼓の音」を得る,적을 공격한 횟수에 따라 배틀 멤버가 「북 소리」를 얻음

飛ぶが如く,나는 것과 같이
"味方全体がそれぞれの「鼓の音」の数に応じて与ダメージ上昇　<span class=""text-blue"">◆鼓の音が最大の時、弱体効果を*回無効化(鼓の音は消去される)</span>","아군 전체가 각각의 「북 소리」의 수에 따라 데미지 상승　<span class=""text-blue"">◆북 소리가 최대일 때、약화 효과를 *회 무효화(북 소리는 소거됨)</span>"
鼓の音,북소리










!메두사(SSR)
[愛寵の蛇眼],[총애의 사안]
メドゥーサ,메두사

ラスト・メドゥシアナ＋,라스트・메두시아나＋
土属性ダメージ(特大)/自分にカウンター効果(回避・被ダメージ/*回),토속성 데미지 (특대)/자신에게 카운터 효과 (회피・데미지 받을 때 /*회)
マイティー・アイ＋,마이티・아이＋
土属性キャラに荒土の刻印を付与/土属性攻撃UP/水属性ダメージカット(**%),토속성 캐릭터에게 황토의 각인 부여/토속성 공격 UP/수속성 데미지 컷 (**%)
ペトリファクトヴィジョン＋,페트리팩트 비전＋
"<div class=""prt-text-small"">敵全体の攻撃DOWN/防御DOWN/毒効果<br><span class=""text-blue"">◆荒土の刻印を*消費してスロウ効果追加/弱体効果命中率UP</span></div>","<div class=""prt-text-small"">적 전체의 공격 DOWN/방어 DOWN/독 효과<br><span class=""text-blue"">◆황토의 각인을 * 소비하여 슬로우 효과 추가/약체 효과 명중률 UP</span></div>"
メドゥシアナ・アクション,메두시아나・액션
"<div class=""prt-text-small"">自分にカウンター効果(回避・被ダメージ/*回)/土属性追撃効果<br><span class=""text-blue"">◆荒土の刻印を*消費して効果を全体化</span></div>","<div class=""prt-text-small"">자신에게 카운터 효과(회피・데미지 받을 때/*회)/토속성 추격 효과<br><span class=""text-blue"">◆황토의 각인을 *소비하여 효과를 전체화</span></div>"
リタリエーションメドゥシアナ,리탈리에이션 메두시아나
"<div class=""prt-text-small"">カウンター効果が付与されている時、自分が必ずトリプルアタック/大ダメージを受けた時、敵全体に土属性ダメージ/魔眼の石化効果</div>","<div class=""prt-text-small"">카운터 효과가 부여되어 있는 동안, 자신이 반드시 트리플 어택/큰 데미지를 받았을 때, 적 전체에 토속성 데미지/마안의 석화 효과</div>"
アンタだけの命じゃないの,너만의 목숨이 아니야
"<div class=""prt-text-small"">土属性キャラがそれぞれの荒土の刻印の数に応じて水属性ダメージ軽減<br><span class=""text-blue"">◆水属性ダメージ軽減効果は自分がサブメンバーにいる場合でも発動</span></div>","<div class=""prt-text-small"">토속성 캐릭터가 각각의 황토의 각인의 수에 따라 수속성 데미지 감소<br><span class=""text-blue"">◆수속성 데미지 감소 효과는 자신이 서브 멤버에 있는 경우에도 발동</span></div>"


"!메두사(SSR,발렌타인)"
[甘くとろける魔眼姫],[달콤하게 녹는 마안의 공주]
メドゥーサ,메두사

魔法転星スウィート★メドゥーサ＋,마법전성 스위트★메두사＋
土属性ダメージ(特大)/敵に魔眼の石化効果,토속성 데미지 (특대)/적에게 마안의 석화 효과
ルミナス・アイ＋,루미너스・아이＋
"<div class=""prt-text-small"">敵に魔眼の石化効果/土属性防御DOWN<br><span class=""text-blue"">◆奥義ゲージを**%消費</span></div>","<div class=""prt-text-small"">적에게 마안의 석화ㅏ 효과/토속성 방어 DOWN<br><span class=""text-blue"">◆오의 게이지를 **% 소비</span></div>"
マジカルメドゥシアナ＋,매지컬 메두시아나＋
"敵に土属性ダメージ/毒効果<br><span class=""text-blue"">◆毒状態の敵に対してダメージ上限UP</span>","적에게 토속성 데미지/독 효과<br><span class=""text-blue"">◆독 상태의 적에 대해 데미지 상한 UP</span>"
パッション・アイ,팩션・아이
"<div class=""prt-text-small"">味方全体の被ダメージの一部を反射(*回)<br><span class=""text-blue"">◆敵が特殊技を使用時に味方全体の奥義ゲージUP(**%)/奥義性能UP(*回)</span></div>","<div class=""prt-text-small"">아군 전체의 받는 데미지를 일부 반사 (*회)<br><span class=""text-blue"">◆적이 특수 기술을 사용했을 때 아군 전체의 오의 게이지 UP (**%)/오의 성능 UP(*회)</span></div>"
スウィート・エンチャント,스위트・인챈트
毒状態の敵に対して奥義性能UP,독상태의 적에게 오의 성능 UP
蛇眼の姫,사안의 공주
弱体効果「石化」無効,약체 효과 「석화」 무효


"!메두사(SSR,링크스특전)"
[蛇眼の魔女],[사안의 마녀]
メドゥーサ,메두사

ペトリファクトグランス＋,페트리팩트 글랜스＋
土属性ダメージ(特大)/敵に魔眼の石化効果,토속성 데미지 (특대)/적에게 마안의 석화 효과
イービル・アイ＋,이빌・아이＋
敵に魔眼の石化効果,적에게 마안의 석화 효과
リベンジ・アイ＋,리벤지・아이＋
カウンター効果(回避・被ダメージ/*回),카운터 효과(회피・데미지 받을 때/*회)
リーサル・アイ,리셀・아이
効果中必ずトリプルアタック,효과 중 반드시 트리플 어택
魔蛇の呪牙,마사의 주아
魔眼の石化状態の敵に対して土属性追撃効果,마안의 석화 상태인 적에게 토속성 추격 효과
蛇眼の姫,사안의 공주
弱体効果「石化」無効,약체 효과 「석화」 무효


!메루(SSR)
[蛮愁の稀人],[만수의 기인]
メルゥ,메루

アレウス・プロスボレー＋,아레우스・프로스보레＋
土属性ダメージ(特大)/防御UP(累積),토속성 데미지 (특대)/방어 UP(누적)
ワイルドフロウ＋,와일드 플로우＋
自分の攻撃UP(大)/弱体効果無効,자신의 공격 UP(대)/약체 효과 무효
エングレイブファング＋,엔그레이브 팡＋
敵に土属性ダメージ/奥義ゲージUP/敵対心UP(累積),적에게 토속성 데미지/오의 게이지 UP/적대심 UP (누적)
インペリテリ,임펠리테리
効果中必ずトリプルアタック,효과 중 반드시 트리플 어택
さっちゃんといっしょ,삿쨩과 함께
敵からの被ダメージ時に攻撃UP(累積),적에게 데미지를 받을 때 공격 UP (누적)


"!바알(SSR,통상)"
[レゾナンス・オブ・ザ],[레조넌스・오브・더]
バアル,바알

ラウダー・レゾナンス,라우더・레조넌스
ラウダー・レゾナンス＋,라우더・레조넌스＋
"<span class=""prt-text-small"">土属性ダメージ(特大)/味方全体のチェインバースト性能UP　<span class=""text-blue"">◆セッション中の自分と味方のHPを回復</span></span>","<span class=""prt-text-small"">토속성 데미지 (특대)/아군 전체의 체인 버스트 성능 UP　<span class=""text-blue"">◆세션 중의 자신과 아군의 HP를 회복</span></span>"
アダドの境界,아다드의 경계
アダドの境界＋,아다드의 경계＋
"<div class=""prt-text-small"">敵全体に土属性ダメージ/攻防DOWN(累積)<br><span class=""text-blue"">◆共鳴増幅Lv*の時*回発動</span></div>","<div class=""prt-text-small"">적 전체에 토속성 데미지/공방 DOWN (누적)<br><span class=""text-blue"">◆공명 증폭 Lv *일 시 *회 발동</span></div>"
セッション,세션
セッション＋,세션＋
"<div class=""prt-text-small"">味方単体と自分にセッション効果<br><span class=""text-blue"">◆セッション効果は味方一人にのみ付与可能</span></div>","<div class=""prt-text-small"">아군 단체와 자신에게 세션 효과<br><span class=""text-blue"">◆세션 효과는 아군 1명에게만 부여 가능</span></div>"
ナッシュビル,내슈빌
"<div class=""prt-text-small"">ターゲットに関わらず*回土属性ダメージ/敵全体の強化効果を*つ無効化/調律効果</div>","<div class=""prt-text-small"">타겟과 관계없이 *회 토속성 데미지/적 전체의 강화효과를 *개 무효화/조율 효과</div>"
ツイン・リード,트윈・리드
セッション中の自分と味方に連続攻撃確率UP/土属性追撃効果/防御UP/敵対心UP,세션 중인 자신과 아군의 연속 공격 확률 UP/토속성 추격 효과/방어 UP/적대심 UP
共鳴増幅,공명 증폭
"チェインバースト発生時に共鳴増幅Lvが*上昇(最大*)/味方全体を強化　<span class=""text-blue"">◆共鳴増幅Lvに応じて性能強化</span>","체인 버스트 발동 시 공명 증폭 Lv * 상승 (최대 *)/아군 전체를 강화　<span class=""text-blue"">◆공명 증폭 Lv에 따라 성능 강화</span>"


"!바자라가(SSR,토속통상)"
[慙愧の獅子],[참괴의 사자]
バザラガ,바자라가

クルード・ランページ＋,크루드・램페이지＋
