orig,kr
!가웨인(SSR)
[矜持の甲冑],[긍지의 갑주]
ガウェイン,가웨인
絶閃嵐破,절섬난파
風属性ダメージ(特大)/味方全体にバリア効果,풍속성 데미지(특대) / 아군 전체에게 배리어 효과
フラクチャー,프랙처
フラクチャー＋,프랙처＋
フラクチャー＋＋,프랙처＋＋
敵に風属性ダメージ/攻撃DOWN/土属性攻撃DOWN,적에게 풍속성 데미지/공격DOWN/토속성공격DOWN
敵に風属性ダメージ/攻撃DOWN,적에게 풍속성 데미지/공격DOWN
リベリオン,리벨리온
リベリオン＋,리벨리온＋
"<div class=""prt-text-small"">敵単体に風属性ダメージ<span class=""text-blue"">◆バトルメンバーのHPが少ないほどダメージUP</span></div>","<div class=""prt-text-small"">적 1체에게 풍속성 데미지<span class=""text-blue"">◆배틀 멤버의 HP가 적을수록 데미지 UP</span></div>"
ノブレスオブリージュ＋,노블레스 오블리주＋
味方全体の全属性ダメージカット(**%)/弱体耐性UP,아군 전체의 모든 속성 데미지 컷(**%)/약체내성UP
味方全体の全属性ダメージカット(**%),아군 전체의 모든 속성 데미지 컷(**%)
無為の封縛,무위한 봉인
防御UP,방어UP
気高き守護者,고상한 수호자
味方全体の土属性ダメージを軽減,아군 전체의 토속성 데미지를 경감


!가챠핀(SSR)
[好奇心旺盛な恐竜の子ども],[호기심 왕성한 아기공룡]
ガチャピン,가챠핀

ガチャピン・ソード,가챠핀 소드
ガチャピン・ソード＋,가챠핀 소드+
風ぞくせいダメージ(特大)/自分の連ぞく攻げきかくりつUP,풍속성 데미지(특대) / 자신의 연속공격 확률 UP
ガチャンクス,가챠크스
ガチャンクス＋,가챠크스+
"みかた全体の全ぞくせいダメージカット(***%)　<span class=""text-blue"">◆エネルギーボールを*つ消費</span>","아군 전체에 모든 속성 데미지 컷(***%)　<span class=""text-blue"">◆에너지 볼을*개 소비</span>"
ガチャラヴィティ,가챠라비티
ガチャラヴィティ＋,가챠라비티+
"てき全体にさまざまなじゃくたい効果　<span class=""text-blue"">◆エネルギーボールを*つ消費</span>","적 전체에 여러 약체효과　<span class=""text-blue"">◆에너지 볼을*개 소비</span>"
ガチャポンバースト,가챠폰 버스트
"<div class=""prt-text-small"">風ぞくせいキャラが今すぐおうぎはつどうかのう(｢`・ω・)｢ガオー！　<span class=""text-blue"">◆エネルギーボールを*つ消費</span></div>","<div class=""prt-text-small"">풍속성 캐릭터가 지금 즉시 오의발동 가능(｢`・ω・)｢어흥ー！　<span class=""text-blue"">◆에너지 볼을*개 소비</span></div>"
エネルギーボール,에너지 볼
"<div class=""prt-text-small"">ぼくが色んなことにちょうせんする時に勇気と力を与えてくれるんだ。　<span class=""text-blue"">◆エネルギーボールはバトル開始時*つの状態(最大*)</span></div>","<div class=""prt-text-small"">내가 여러 일에 도전할 때 용기와 힘을 전해줘.　<span class=""text-blue"">◆에너지 볼은 배틀 시작시*개인 상태(최대*)</span></div>"
みんなのにんきもの,모두에게 인기만점
