orig,kr
!간다고우자(SSR)
[古今独歩の大拳豪],[고금독보의 대권호]
ガンダゴウザ,간다고우자

蓮天紅我正拳突き,연천홍아 정권지르기
"火属性ダメージ(特大)/自分のクリティカル確率UP　<span class=""text-blue"">◆古今無双流効果を消去</span>","화속성 데미지(특대) / 자신의 크리티컬 확률 UP　<span class=""text-blue"">◆고금무쌍류 효과를 제거</span>"
怒髪驚天正拳突き,노발경천 정권지르기
"<span class=""prt-text-small"">火属性ダメージ(特大)/自分のクリティカル確率UP/ブロック効果　<span class=""text-blue"">◆古今無双流効果を消去</span></span>","<span class=""prt-text-small"">화속성 데미지(특대) / 자신의 크리티컬 확률 UP / 블록 효과　<span class=""text-blue"">◆고금무쌍류 효과를 제거</span></span>"
破天道,파천도
敵全体に日暈効果,적 전체에게 햇무리 효과
灼滅・破天道,작멸・파천도
敵全体に*倍火属性ダメージ/日暈効果,적 전체에게 *배 화속성 데미지 / 햇무리 효과
印可掌,인가장
瞬撃・印可掌,순격・인가장
"<div class=""prt-text-small"">カウンター効果(回避・被ダメージ/*回)/即座に奥義発動可能　<span class=""text-blue"">◆古今無双流のレベルが最大まで上昇</span></div>","<div class=""prt-text-small"">카운터 효과(*회) / 즉시 오의 발동가능<br><span class=""text-blue"">◆고금무쌍류의 레벨이 최대로 상승</span></div>"
無明白天,무명백천
味方全体の火属性攻撃UP/ダブルアタック確率UP,아군 전체의 화속성 공격 UP / 더블어택 확률 UP
真・無明白天,진・무명백천
"<div class=""prt-text-small"">味方全体の火属性攻撃UP/ダブルアタック確率UP　<span class=""text-blue"">◆効果中ターン終了時に古今無双流のレベルが*上昇</span></div>","<div class=""prt-text-small"">아군 전체의 화속성 공격 UP / 더블어택 확률 UP　<span class=""text-blue"">◆효과 중 턴 종료시 고금무쌍류 레벨이 *상승</span></div>"
古今無双流,고금무쌍류
得意武器「格闘」のキャラのダブルアタック確率UP,특기무기가 「격투」인 캐릭터의 더블어택 확률 UP
古今独歩の大拳豪,고금독보의 대권호
"敵を攻撃した回数に応じて古今無双流効果を付与　<span class=""text-blue"">◆古今無双流のレベルが高い程攻撃UP/奥義性能UP</span>","<span style=""font-size: 90%"">적을 공격한 횟수에 따라 고금무쌍류 효과 부여　<span class=""text-blue"">◆고금무쌍류 레벨이 높을수록 공격 UP / 오의 성능 UP</span>"


!글레어(SSR)
[醒竜姫],[깨어난 용공주]
グレア,글레어

マッドネスクリーヴ,매드니스 클리브
マッドネスクリーヴ＋,매드니스 클리브＋
火属性ダメージ(特大)/対象がドラグフォース状態時に性能UP,화속성 데미지(특대) / 대상이 드래그 포스 상태일때 성능 UP
マナ・ドラグアグニ,마나・드래그아그니
マナ・ドラグアグニ＋,마나・드래그아그니＋
敵に火属性ダメージ/ドラグフォースを付与,적에게 화속성 데미지 / 드래그 포스를 부여
バーストブレイク,버스트 브레이크
バーストブレイク＋,버스트 브레이크＋
"<div class=""prt-text-small"">敵に火属性ダメージ/強化効果を*つ無効化<br><span class=""text-blue"">◆ドラグフォース状態の敵に対してダメージ上限UP</span></div>","<div class=""prt-text-small"">적에게 화속성 데미지 / 강화 효과를 *개 무효화<br><span class=""text-blue"">◆드래그 포스 상태인 적에게 데미지 상한 UP</span></div>"
ドラグハート,드래그 하트
"効果中必ずトリプルアタック/クリティカル確率UP　<span class=""text-blue"">◆奥義ゲージを**％消費</span>","효과중 반드시 트리플어택 / 크리티컬 확률 UP　<span class=""text-blue"">◆오의 게이지를 **％ 소비</span>"
炎術式,염술식
ドラグフォース状態の敵に対してダメージUP/追撃効果,드래그 포스 상태인 적에게 가하는 데미지 UP / 추격 효과
音楽塔に咲く花,음악탑에 피는 꽃
奥義使用時に敵強化効果による防御力上昇を無視,오의 사용시 적의 강화 효과로 오른 방어력 상승을 무시


!다누아(SSR / 할로윈)
[プリティ・マミィ],[프리티 머미]
ダヌア,다누아

グラン・ギニョル,그랑기뇰
グラン・ギニョル＋,그랑기뇰＋
火属性ダメージ(特大)/敵の弱体耐性DOWN(累積),화속성 데미지(특대) / 적의 약화 내성 DOWN(누적)
フライテンドール,프라이튼 돌
フライテンドール＋,프라이튼 돌＋
敵全体に火属性ダメージ/恐怖効果,적 전체에게 화속성 데미지 / 공포 효과
トリックリッパー,트릭 리퍼
トリックリッパー＋,트릭 리퍼＋
"<div class=""prt-text-small"">敵に*.*倍火属性ダメージ/ターン終了時自分にダメージ <span class=""text-blue"">◆睡眠状態の敵に対してダメージ性能UP</span></div>","<div class=""prt-text-small"">적에게 *.*배 화속성 데미지 / 턴 종료시 자신에게 데미지 <span class=""text-blue"">◆수면 상태의 적에게 데미지 성능 UP</span></div>"
ザウアレス,자우어레스
"<div class=""prt-text-small"">敵全体に睡眠効果<br><span class=""text-blue"">◆恐怖状態の敵に睡眠付与時、トリックリッパーが即時使用可能</span></div>","<div class=""prt-text-small"">적 전체에게 수면 효과 <span class=""text-blue"">◆공포 상태의 적에게 수면 부여시 트릭 리퍼를 즉시 사용 가능</span></div>"
フィアーカーニバル,피어 카니발
味方全体が恐怖状態の敵から受けるダメージを軽減,아군 전체가 공포 상태의 적에게 받는 데미지를 경감
ソフトタッチ,소프트 터치
睡眠状態の敵に対してアビリティダメージで睡眠を解除しない,수면 상태의 적이 어빌리티 데미지로 수면이 해제되지 않는다


!라인하르자(SSR / 리미티드)
[暁旦の烈鬼],[새벽의 열귀]
ラインハルザ,라인하르자

烈・火・絶・招,열・화・절・초
烈・火・絶・招＋,열・화・절・초＋
火属性ダメージ(特大)/次に発動する纏炎の効果が全体化/再使用間隔を*ターン短縮,"<span style=""font-size: 90%"">화속성 데미지 (특대) / 다음에 발동하는 전염의 효과가 전체화 / 재사용 간격을 *턴 단축</span>"
紅焔掌,홍염장
紅焔掌＋,홍염장＋
"<div class=""prt-text-small"">敵全体に火属性ダメージ/攻防DOWN<br><span class=""text-blue"">◆バトルメンバーの得意武器「格闘」のキャラの数に応じて性能UP</span></div>","<div class=""prt-text-small"">적 전체에게 화속성 데미지 / 공방 DOWN<br><span class=""text-blue"">◆배틀 멤버의 특기무기가「격투」인 캐릭터 수에 따라 성능 UP</span></div>"
纏炎,전염
纏炎＋,전염＋
カウンター効果(回避・被ダメージ/*回)/吸収効果,카운터 효과(*회) / 흡수 효과
烈気解放,열기해방
"<div class=""prt-text-small"">かばう効果/攻撃行動を行わない/不死身効果　<span class=""text-blue"">◆*ターン後、受けた攻撃の回数に応じてターゲットに関わらず火属性ダメージ(最大**回)</span></div>","<div class=""prt-text-small"">감싸기 효과 / 공격 행동을 하지 않음 / 불사신 효과　<span class=""text-blue"">◆*턴 후, 받은 공격의 횟수에 따라 타겟과 관계없이 화속성 데미지(최대 **회)</span></div>"
魂の闘気,혼의 투기
火属性キャラがカウンターした時、自分の奥義ゲージ上昇(*％),화속성 캐릭터가 카운터 했을 때 자신의 오의 게이지 상승 (*％)
己の意志,자신의 의지
得意武器が「格闘」の火属性キャラの連続攻撃確率UP/通常攻撃の与ダメージUP,특기무기가 「격투」인 화속성 캐릭터의 연속공격 확률 UP / 일반공격의 데미지 UP


!라캄(SSR / 리미티드)
[蒼空の先導者],[창공의 선도자]
ラカム,라캄
操舵士に憧れて,조타사를 동경하기에
操舵士の共鳴,조타사의 공명


デモリッシュピアース,데몰리쉬 피어스
火属性ダメージ(特大)/味方全体の火属性攻撃UP/ダブルアタック確率UP,화속성 데미지(특대) / 아군 전체의 화속성 공격 UP / 더블어택 확률 UP
ナバルストライク,나발 스트라이크
火属性ダメージ(特大)/味方全体の火属性攻撃UP/ダブルアタック確率UP/クリティカル確率UP,화속성 데미지(특대) / 아군 전체의 화속성 공격 UP / 더블어택 확률 UP / 크리티컬 확률 UP
スピットファイア,스핏파이어
スピットファイア＋,스핏파이어＋
"<div class=""prt-text-small"">敵に火属性ダメージ/防御DOWN(累積)/スピットファイアLvが*上昇(最大*)</div>","<div class=""prt-text-small"">적에게 화속성 데미지 / 방어 DOWN(누적) / 스핏파이어 Lv이 *상승(최대*)</div>"
デュレーションII,듀레이션 II
デュレーションII＋,듀레이션 II＋
"<div class=""prt-text-small"">自分に敵のモードゲージ減少量UP効果　<span class=""text-blue"">◆敵がオーバードライブ時にモードゲージを減少させ戦慄効果</span></div>","<div class=""prt-text-small"">자신에게 적의 모드 게이지 감소량 UP 효과　<span class=""text-blue"">◆적이 오버드라이브일때 모드 게이지를 감소시키고 전율 효과</span></div>"
デュレーションII＋＋,듀레이션 II＋＋
"<div class=""prt-text-small"">敵の強化効果を*つ無効化/味方全体にモードゲージ減少量UP効果　<span class=""text-blue"">◆敵がオーバードライブ時にモードゲージを減少させ戦慄効果</span></div>","<div class=""prt-text-small"">적의 강화 효과를 *개 무효화 / 아군 전체에게 모드 게이지 감소량 UP 효과　<span class=""text-blue"">◆적이 오버드라이브일때 모드 게이지를 감소시키고 전율 효과</span></div>"
ダブルタップ,더블탭
効果中必ず連続攻撃/自分にダブルタップ効果,효과 중 반드시 연속공격 / 자신에게 더블탭 효과
ダブルタップ＋,더블탭＋
"<div class=""prt-text-small"">効果中必ず連続攻撃/自分にダブルタップ効果/ターン経過なしで通常攻撃を実行</div>","<div class=""prt-text-small"">효과 중 반드시 연속공격 / 자신에게 더블탭 효과 / 턴 경과없이 일반공격을 실행</div>"
導きの銃,인도의 총
火属性キャラ単体が即座に奥義発動可能/蒼導銃効果,화속성 캐릭터 한 명이 즉시 오의 발동 가능 / 푸른 인도의 총 효과
スライトオブハンド,슬라이트 오브 핸드
戦慄状態の敵に対して火属性追撃効果,전율 상태의 적에게 화속성 추격 효과
スライトオブハンド＋,슬라이트 오브 핸드＋
"<div class=""prt-text-small"">戦慄状態の敵に対して火属性追撃効果/戦慄状態の敵がいる場合チェインバースト発生時に敵全体に火属性ダメージ/弱体耐性DOWN(累積)</div>","<div class=""prt-text-small"">전율 상태의 적에게 화속성 추격 효과 / 전율 상태의 적이 있을 경우 체인버스트 발동시 적 전체에게 화속성 데미지 / 약화 내성 DOWN(누적)</div>"
バニッシュセーヴ,배니시 세이브
スピットファイアLvに応じて攻撃UP/チェインバースト性能UP/奥義性能UP,스핏파이어의 Lv에 따라 공격 UP / 체인버스트 성능 UP / 오의 성능 UP


!란슬롯&베인(SSR)
[双竜の騎士],[쌍룡의 기사]
白竜の双騎士,백룡의 쌍기사
白竜の双騎士 ランスロット＆ヴェイン,백룡의 쌍기사 란슬롯＆베인

ツヴァイ・フリューゲル,츠바이 플뤼겔
ツヴァイ・フリューゲル＋,츠바이 플뤼겔＋
火属性ダメージ(特大)/ヴァイスドラッヘを発動,화속성 데미지(특대) / 바이스 드라헤를 발동
ヴァイスドラッヘ,바이스 드라헤
ヴァイスドラッヘ＋,바이스 드라헤＋
"<div class=""prt-text-small"">敵に*回火属性ダメージ/攻防DOWN(累積)/自分のアビリティ性能UP(累積)/敵対心UP(累積)</div>","<div class=""prt-text-small"">적에게 *회 화속성 데미지 / 공방 DOWN(누적) / 자신의 어빌리티 성능 UP(누적) / 적대심 UP(누적)</div>"
ハイス・トゥルブレンツ＋,하이스 투르불렌츠
ハイス・トゥルブレンツ＋,하이스 투르불렌츠＋
敵全体に火属性ダメージ/自分にカウンター効果(回避/*回),적 전체에게 화속성 데미지 / 자신에게 카운터 효과(*회)
オーバーイラプション,오버 이럽션
"<div class=""prt-text-small"">自分のHPと弱体効果を全回復/ステータス大幅UP<br><span class=""text-blue"">◆奥義ゲージを全て消費</span></div>","<div class=""prt-text-small"">자신의 HP와 약화 효과를 모두 회복 / 스테이터스 대폭 UP<br><span class=""text-blue"">◆오의 게이지를 모두 소비</span></div>"
攻剣守槍,공검수창
必ず連続攻撃/被ダメージで防御UP(累積),반드시 연속 공격 / 데미지를 받으면 방어 UP(누적)
護国の双肩,호국의 쌍견
スキル「守護」の効果による自分のHP上昇量UP,스킬 「수호」의 효과에 의한 자신의 HP 상승량 UP


!마기사(SSR)
[ウィッチクラフト],[위치크래프트]
マギサ,마기사
魔女の見た夢,마녀가 꾼 꿈
見えない未来,보이지 않는 미래
魔女の告白,마녀의 고백
魔女狩りの村,마녀사냥의 마을

メテオスウォーム,메테오 스웜
メテオスウォーム＋,메테오 스웜＋
メテオスウォーム＋＋,메테오 스웜＋＋
メテオスウォーム・イメンス,메테오 스웜・이멘스
火属性ダメージ(特大),화속성 데미지(특대)
火属性ダメージ(特大)/敵全体の火属性防御DOWN,화속성 데미지(특대) / 적 전체에게 화속성 방어 DOWN
メテオスウォーム・イメンス＋＋,메테오 스웜・이멘스＋＋
火属性ダメージ(特大)/敵全体に火属性ダメージ/火属性防御DOWN,화속성 데미지(특대) / 적 전체에게 화속성 데미지 / 화속성 방어 DOWN

イラプション,이럽션
イラプション＋,이럽션＋
イラプション＋＋,이럽션＋＋
敵全体に火属性ダメージ/攻撃DOWN,적 전체에게 화속성 데미지 / 공격 DOWN
敵全体に火属性ダメージ/攻防DOWN,적 전체에게 화속성 데미지 / 공방 DOWN

ウォール,월
ウォール＋,월＋
味方全体の弱体効果無効(*回)/攻防UP,아군 전체의 약화 효과 무효(*회) / 공방 UP
ヴァルプルギス,발푸르기스
敵全体に火属性ダメージ/暗闇効果/灼熱効果,적 전체에게 화속성 데미지 / 암흑 효과 / 작열 효과
サンクション,생크션
魔神モラクスを召喚する,마신 모락스를 소환한다

万能の魔女,만능의 마녀
暗闇状態の敵に対してアビリティダメージ上限UP/灼熱状態の敵に対してクリティカル確率UP,암흑 상태의 적에게 어빌리티 데미지 상한 UP / 작열 상태의 적에게 크리티컬 확률 UP
魔神モラクス召喚,마신 모락스 소환
魔神モラクス召喚時は攻防UP/必ず連続攻撃/通常攻撃が全体化/毎ターンダメージを受ける,"<span style=""font-size: 90%"">마신 모락스 소환시 공방 UP / 반드시 연속공격 / 일반공격의 전체공격화 / 매 턴 데미지를 받는다</span>"


!메테라(SSR / 화속 일반)
[凄艶の射手],[처염의 사수]
メーテラ,메테라
デンス・キャレス,댄스 커레스
デンス・キャレス＋,댄스 커레스+
"火属性ダメージ(特大)<br><span class=""text-blue"">◆エーテリアルシール消費：追加ダメージ</span>","화속성 데미지(특대)<br><span class=""text-blue"">◆에테리얼 씰 소비：추가 데미지</span>"

綺羅星,기라성
綺羅星＋,기라성+

飾り穿ち隼返し,핀포인트샷 매 후리기
飾り穿ち隼返し＋,핀포인트샷 매 후리기＋
"<div class=""prt-text-small"">敵に火属性ダメージ/魅了効果<span class=""text-blue"">◆エーテリアルシール消費：スロウ効果追加</span></div>","<div class=""prt-text-small"">적에게 화속성 데미지 / 매료 효과<br><span class=""text-blue"">◆에테리얼 씰 소비：슬로우 효과 추가</span></div>"

金火彗降,금화혜강
