Type,Name,Origin,Korean
text_jp,#REF!,ノインの代わりにこれを使うか。<br>敵戦力から見て問題はない。<br>このまま制圧する。,노인 대신 이걸 쓸까.<br>적 전력으로 봐서는 문제없다.<br>이대로 제압한다.
text_en,#REF!,"Even if I must use this weapon in place of Yek, the enemy is of no consequence.",노인 대신 이걸 쓸까.<br>적 전력으로 봐서는 문제없다.<br>이대로 제압한다.
text_jp,#REF!,くそ、次から次へと……！<br>お前達、ほんとに怪我するぞ！？<br>イルザ教官に怒られるぞ！？,"젠장, 계속해서....!<br>너희들, 정말 다친다구!?<br>이루자 교관에게 혼난다!?"
text_en,#REF!,"Damn, they won't stop! Hey, soldiers! Ilsa's gonna be pissed when she sees the injury report!","젠장, 계속해서....!<br>너희들, 정말 다친다구!?<br>이루자 교관에게 혼난다!?"
text_jp,#REF!,この連中で最後だ。<br>正面の方は片付いたようだな。,이 녀석들로 마지막이다.<br>정면은 정리가 된 것 같군.
text_en,#REF!,They seem to be the last ones. The other fight appears to be wrapping up as well.,이 녀석들로 마지막이다.<br>정면은 정리가 된 것 같군.
condition_win,,戦いの記憶を呼び覚ましながら、<br>正体不明の敵を撃破せよ！,싸움의 기억을 되살리면서<br>정체 불명의 적을 격파하라!
text_jp,#REF!,こいつ、初めて戦うはずなのに、<br>そんな気がしない……<br>変な感じ！,"이녀석, 처음 싸워보는 건데,<br>그런 생각이 들지 않아……<br>이상한 느낌!"
text_en,#REF!,"This is weird! We've never fought this thing before, so why does it feel like we have?","이녀석, 처음 싸워보는 건데,<br>그런 생각이 들지 않아……<br>이상한 느낌!"
text_jp,#REF!,ああ。この違和感に<br>撃破の糸口がありそうだが……<br>考える時間をもらえそうにないな。,아아. 이 위화감에<br>격파의 실마리가 있을 것 같은데…<br>생각할 시간을 얻지 못 할 것 같군.
text_en,#REF!,"Hm, its attacks may tell us why this feels like deja vu. Too bad we don't have time to think on it.",아아. 이 위화감에<br>격파의 실마리가 있을 것 같은데…<br>생각할 시간을 얻지 못 할 것 같군.
text_jp,#REF!,初撃来るぞ。<br>備えろ。,초격이 온다.<br>대비 해라.
text_en,#REF!,Here it comes. Get ready.,초격이 온다.<br>대비 해라.
text_jp,#REF!,……思い出せない！<br>何か、ずいぶん前の……！<br>ねえ、バザラガ！,"...기억이 나지 않아!<br> 뭔가, 오래전의...!<br>저기, 바자라가!"
text_en,#REF!,"Ugh, it's on the tip of my tongue! Something from our past... Right, Vaseraga?","...기억이 나지 않아!<br> 뭔가, 오래전의...!<br>저기, 바자라가!"
text_jp,#REF!,敵から目をそらすな。<br>俺に見とれてどうする。,적으로부터 눈을 돌리지마라.<br>나를 봐서 어쩌겠다는거지.
text_en,#REF!,Stop daydreaming about me and focus on the enemy.,적으로부터 눈을 돌리지마라.<br>나를 봐서 어쩌겠다는거지.
text_jp,#REF!,見とれてないから！<br>ったく、あんたは……！,"눈 안돌렸다고!<br>정말이지, 너는……!"
text_en,#REF!,"The hell? Why would I wanna daydream about you, lunkhead!","눈 안돌렸다고!<br>정말이지, 너는……!"
text_jp,#REF!,奇妙な物だな。<br>お前のわめく声が<br>やけに懐かしい。,기묘한 물건이군.<br>네녀석의 고함 소리가<br>무척 그립군.
text_en,#REF!,"I don't know how to put this, but your battle cries are eerily nostalgic.",기묘한 물건이군.<br>네녀석의 고함 소리가<br>무척 그립군.
text_jp,#REF!,あー……ったく……！<br>胸がつかえる感じが<br>気持ち悪い……！,아......정말이지......!<br>가슴이 막히는 느낌이<br>기분 나빠…!
text_en,#REF!,Ugh! Why'd you have to say that? Thanks for making things awkward!,아......정말이지......!<br>가슴이 막히는 느낌이<br>기분 나빠…!
text_jp,#REF!,やっぱり……！<br>これって、あの時の！,"역시......!<br>이건, 그 때의!"
text_en,#REF!,I remember now! This is just like the time we fought those other two!,"역시......!<br>이건, 그 때의!"
text_jp,#REF!,ああ。<br>ならば攻め方も見えるな。<br>しかし、何故──,"그래.<br>그렇다면 공략법도 보이는군.<br>그런데, 어째서──"
text_en,#REF!,Yeah. I should be able to read its attacks now. But why—,"그래.<br>그렇다면 공략법도 보이는군.<br>그런데, 어째서──"
text_jp,#REF!,打開策があるなら実行に移せ。<br>考察は後だ。,타개책이 있으면 실행에 옮겨라.<br>생각은 나중에 한다.
text_en,#REF!,"If you know a way to beat it, then do it. We can reminisce later.",타개책이 있으면 실행에 옮겨라.<br>생각은 나중에 한다.
condition_win,,解放された封印武器の力で<br>機神ヤチマの苦痛に終止符を打て！,해방된 봉인 무기의 힘으로<br>기신 야치마의 고통에 종지부를 찍어라!
text_jp,#REF!,驚いた、ルリアちゃんみたいな<br>こともできるんだ。<br>ずいぶん大げさにいじったのね。,"놀랐어, 루리아 같은 일도<br> 할 수 있는거야?<br>꽤나 많이 건드렸네."
text_en,#REF!,I wasn't expecting her to have powers like Lyria's. She really did a number on herself.,"놀랐어, 루리아 같은 일도<br> 할 수 있는거야?<br>꽤나 많이 건드렸네."
text_jp,#REF!,……ねえ、やっぱりあの子に<br>話は通じないの？,"...저기, 역시 저 애에게<br>말은 통하지 않는 거야?"
text_en,#REF!,Are you sure we can't reason with her?,"...저기, 역시 저 애에게<br>말은 통하지 않는 거야?"
text_jp,#REF!,ああ。もはや意識もあるまい。<br>残っているのは最期に抱いた<br>焦りと不安の感情だけだ。,그래. 이젠 의식도 없겠지.<br>남은 건 마지막에 품은<br>초조함과 불안의 감정뿐이다.
text_en,#REF!,Mm. She is no longer herself. Now she's running on instinct and fighting on borrowed time.,그래. 이젠 의식도 없겠지.<br>남은 건 마지막에 품은<br>초조함과 불안의 감정뿐이다.
text_jp,#REF!,俺達にできるのは<br>手を汚すことくらいだ。<br>断ち切ってやろう。この鎌でな。,우리가 할 수 있는 건<br>손을 더럽히는 것 정도야.<br>끊어주자. 이 낫으로 말이야.
text_en,#REF!,All we can do is get our hands dirty. My scythe will be the one to carry out the deed.,우리가 할 수 있는 건<br>손을 더럽히는 것 정도야.<br>끊어주자. 이 낫으로 말이야.
text_jp,#REF!,こいつ……なんて堅さだ！<br>私の武器だと歯が立たないぞ？,이 녀석……엄청나게 딱딱해!<br>내 무기로는 전혀 안먹히는데?
text_en,#REF!,Why's she so strong! My weapon doesn't even make her flinch!,이 녀석……엄청나게 딱딱해!<br>내 무기로는 전혀 안먹히는데?
text_jp,#REF!,封印武器じゃないと、効果は<br>期待薄って感じね。<br>あたし達で決めるしかないわね……,"봉인 무기가 아니면, 효과가<br>떨어지는 느낌이야.<br>우리가 할 수 밖에 없겠네......"
text_en,#REF!,I guess seal weapons are the only way to go. It's up to us to finish this.,"봉인 무기가 아니면, 효과가<br>떨어지는 느낌이야.<br>우리가 할 수 밖에 없겠네......"
text_jp,#REF!,……成れの果て、か。,"……영락한 말로, 인가."
text_en,#REF!,Hm... A shell of one's former self...,"……영락한 말로, 인가."
text_jp,#REF!,ガラにもない。<br>あたしが言った事<br>気にしてんの？,덩치에 안맞게.<br>내가 한 말<br>신경쓰는 거야?
text_en,#REF!,What's gotten in to you? Are you actually thinking about something I said?,덩치에 안맞게.<br>내가 한 말<br>신경쓰는 거야?
