Language,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_tutorial00,011",synopsis,,父親の残した手紙に導かれ、空の果てへと旅立とうとする少女。しかし、時を同じくして村には戦艦が現れ、謎の少女が助けを求めてくる。,"아버지가 남긴 편지에 이끌려, 하늘의 끝으로 여행을 떠나려던 소년(소녀). 그때, 마을에 전함이 나타나고, 수수께끼의 소녀가 도움을 청해온다."
Japanese,"scene_tutorial00,011",detail,,<span class='scene-font-katari'>――神に見捨てられたその世界には、</span><br><span class='scene-font-katari'>一つの竜の姿があった。</span>,"<span class='scene-font-katari'>――신들에게 버림받은 그 세계에는,</span><br><span class='scene-font-katari'>홀로 남은 용이 있었다.</span>"
Japanese,"scene_tutorial00,011",detail,,<span class='scene-font-katari'>破壊による創造を司る竜、バハムートは</span><br><span class='scene-font-katari'>己が使命に従い、残された世界を</span><br><span class='scene-font-katari'>より芳醇なものへと進化させた。</span>,"<span class='scene-font-katari'>파괴에 의한 창조를 관장하는 용, 바하무트는</span><br><span class='scene-font-katari'>자신의 사명에 따라, 남겨진 세계를</span><br><span class='scene-font-katari'>더욱 다채로운 세계로 진화시켰다.</span>"
Japanese,"scene_tutorial00,011",detail,,<span class='scene-font-katari'>しかしそこへ、侵略者が現れる。</span><br><span class='scene-font-katari'>空の果て、彼方の世界より現れた彼らは、</span><br><span class='scene-font-spword'>星の民</span><span class='scene-font-katari'>と呼ばれた。</span>,"<span class='scene-font-katari'>하지만 그곳에, 침략자가 나타난다.</span><br><span class='scene-font-katari'>하늘의 끝, 저편의 세계에서 나타난 그들은</span><br><span class='scene-font-spword'>별의 민족</span><span class='scene-font-katari'>라고 불렸다.</span>"
Japanese,"scene_tutorial00,011",detail,,<span class='scene-font-spword'>星の民</span><span class='scene-font-katari'>は星の獣、星晶獣を使い、</span><br><span class='scene-font-katari'>瞬く間に世界を手中に収め、</span><br><span class='scene-font-katari'>空は長らく星のものとなった。</span>,"<span class='scene-font-spword'>별의 민족</span><span class='scene-font-katari'>은 별의 짐승, 성정수를 사용해,</span><br><span class='scene-font-katari'>눈 깜빡할 순간에 세계를 손안에 넣었고,</span><br><span class='scene-font-katari'>하늘은 오래도록 별의 것으로 남아 있었다.</span>"
Japanese,"scene_tutorial00,011",detail,,<span class='scene-font-katari'>しかし、空の民は学び、</span><br><span class='scene-font-katari'>やがて驕る星より世界を取り戻す。</span><br><span class='scene-font-katari'>後にその争いは覇空戦争と呼ばれた――</span>,"<span class='scene-font-katari'>하지만, 하늘의 민족은 그들의 적으로부터 가르침을 얻었고,</span><br><span class='scene-font-katari'>이윽고 오만한 별로부터 세계를 되찾는다.</span><br><span class='scene-font-katari'>후대는 이 전쟁을 패공전쟁이라고 부른다――</span>"
Japanese,"scene_tutorial00,011",detail,,<span class='scene-font-katari'>ここは、未完の大地が雲海を漂う</span><br><span class='scene-font-katari'>神に見捨てられし「空の世界」。</span>,"<span class='scene-font-katari'>여기는, 미완성의 대지가 운해를 떠도는</span><br><span class='scene-font-katari'>신들이 버린 「하늘의 세계」.</span>"
Japanese,"scene_tutorial00,011",detail,,<span class='scene-font-katari'>いま始まる</span><br><span class='scene-font-katari'>空と星を巡る新たな物語。</span><br><span class='scene-font-katari'>遥かなる旅路、その門出に祝福を――</span>,"<span class='scene-font-katari'>지금 시작하는</span><br><span class='scene-font-katari'>하늘과 별을 떠도는 새로운 이야기.</span><br><span class='scene-font-katari'>아득히 아득한 여행길, 그 출발에 축복을――</span>"
Japanese,"scene_tutorial00,011",detail,비,――なぁなぁ。<br>オマエ、本当に<br>村を出るつもりなのかぁ？,"――이봐.<br>너, 진짜로<br>마을을 떠날 생각이야？"
Japanese,"scene_tutorial00,011",detail,비,いくら親父さんの手紙にあったからって<br>空の果てなんて、<br>そんな場所、辿りつけるわけ……,"아무리 아빠의 편지가 있었다곤 해도<br>하늘의 끝이라니,<br>그런 장소에 도착할 수나 있을지……"
