0,SceneCode,Type,Name,Origin,Korean
Japanese,scene_cp3_q1_s10、311,synopsis,,ついに街の目前まで迫る<span>[플레이어]</span>一行。その頃、エルステ帝国の戦艦では、将軍フュリアスがドランクとスツルムに苛立ちを見せながらも、順調な計画に邪悪な笑みを浮かべていた。,드디어 마을 코 앞까지 도착한 <span>[플레이어]</span> 일행. 그 때、  에르스테 제국 전함에서는 장군 퓨리어스가 드랑크와 슈투름에게 짜증을 내면서도、  순조롭게 진행되는 계획에 사악한 미소를 보이고 있었다.
Japanese,scene_cp3_q1_s10、311,detail,,<span class='scene-font-place'>エルステ帝国</span><span class='scene-font-katari'>が誇る戦艦の一室。</span><br><span class='scene-font-katari'>そこではひとりの将軍が、</span><br><span class='scene-font-katari'>批難の声を上げていた。</span>,<span class='scene-font-place'>에르스테 제국</span><span class='scene-font-katari'>이 자랑하는 전함의 객실.</span><br><span class='scene-font-katari'>그곳에서는 한 장군이</span><br><span class='scene-font-katari'>비난의 목소리를 높이고 있었다.</span>
Japanese,scene_cp3_q1_s10、311,detail,퓨리어스,<span class='scene-font-4'>なんで!?</span><br><span class='scene-font-4'>ねぇねぇねぇ、なんでなの!?</span>,<span class='scene-font-4'>어째서!?</span><br><span class='scene-font-4'>어? 어? 어? 어째서냐고!?</span>
Japanese,scene_cp3_q1_s10、311,detail,슈투름,将軍閣下……申し訳ありません。,장군 각하…… 죄송합니다.
Japanese,scene_cp3_q1_s10、311,detail,드랑크,ごめんねぇ～<br>あいつら、意外と強くってさぁ～,미안해～<br>걔들、 생각보다 세더라구～
Japanese,scene_cp3_q1_s10、311,detail,퓨리어스,誰か!<br>こいつらの首、<br>すぐにはねちゃってくんない!?,이봐! <br>이 녀석들의 목、<br>모두 베어버려!
Japanese,scene_cp3_q1_s10、311,detail,제국병,将軍閣下……<br>彼らは黒騎士様の勅令で<br>動いておりますゆえ……,장군 각하……<br>그들은 흑기사님의 칙령으로<br>움직이고 있기 때문에……
Japanese,scene_cp3_q1_s10、311,detail,제국병,我々の手では、<br>閣下のご命令と言えど、<br>どうにも罰することは……,저희들 손으론、 <br>각하의 명령일지라도、<br>처벌을 하는 것은……
Japanese,scene_cp3_q1_s10、311,detail,퓨리어스,じゃあ、お前でいいや。<br>あとでスッパリやられといてね。,아、 그럼.<br>나중에 네가 대신 죽어.
Japanese,scene_cp3_q1_s10、311,detail,제국병,そんな……,그런……
Japanese,scene_cp3_q1_s10、311,detail,퓨리어스,まぁ、時間を稼いでくれたおかげで、<br>計画は順調だからね……<br>ご覧よ、ふたりとも……この暴風を。,뭐어、 시간을 벌어준 덕분에、<br>계획은 순조로우니까 말이지……<br>자、 보라구. 거기 둘도……이 풍경을.
