Language,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_cp13_q1_s10,1311",synopsis,,黒騎士の言葉から<span class='scene-font-place'>ルーマシー群島</span>へと向かった<span>[ジータ]</span>一行。言葉の真意を確かめるため、ルリアが感じる謎の少女との共鳴を手掛かりに、少女と共に居るであろう黒騎士を探し始める。
Japanese,"scene_cp13_q1_s10,1311",detail,,<span class='scene-font-katari'>黒騎士の残した言葉を追い、</span><br><span class='scene-font-katari'>一同は</span><span class='scene-font-place'>ルーマシー群島</span><span class='scene-font-katari'>へと降り立った。</span>
Japanese,"scene_cp13_q1_s10,1311",detail,이오,……で？<br>ここになにがあるっていうの？
Japanese,"scene_cp13_q1_s10,1311",detail,루리아,わぁー……<br>おっきい木がいっぱい。<br>騎空艇とどっちがおっきいかな？
Japanese,"scene_cp13_q1_s10,1311",detail,이오,木しかないじゃない！<br>っていうか、ただのド田舎じゃん！
Japanese,"scene_cp13_q1_s10,1311",detail,카타리나,お、落ち着くんだ、イオ……<br>レディはそう興奮するものじゃないぞ？
Japanese,"scene_cp13_q1_s10,1311",detail,이오,なんなのあの黒いのは！<br>思わせぶりなことばっかり言って！
Japanese,"scene_cp13_q1_s10,1311",detail,라캄,まぁ、イオがそう怒るのも、<br>わからなくはねぇなぁ……
Japanese,"scene_cp13_q1_s10,1311",detail,라캄,あいつはここで、<br>俺達に何をさせようってんだ？
Japanese,"scene_cp13_q1_s10,1311",detail,오이겐,んなもん、本人に聞くのが、<br>一番手っ取り早いに、<br>決まってるじゃねぇか。
Japanese,"scene_cp13_q1_s10,1311",detail,비이,本人ったって……どうやって探す？<br>手がかりなんてありゃしねぇぜ？
Japanese,"scene_cp13_q1_s10,1311",detail,루리아,あ……それ、もしかしたら、<br>私、わかるかもです。
Japanese,"scene_cp13_q1_s10,1311",detail,루리아,私の中のリヴァイアサンの力が、<br>あの女の子の力と共鳴してるんです……<br>ずっと……あの森の奥のほうに……
Japanese,"scene_cp13_q1_s10,1311",detail,카타리나,あの少女の居場所がわかれば、<br>自ずと黒騎士にも辿り着く、か……
Japanese,"scene_cp13_q1_s10,1311",detail,비이,よっしゃ！ 方針は決まったな！<br>行こうぜ！ [ジータ]！
Japanese,"scene_cp13_q1_s20,1312",synopsis,,鬱蒼と生い茂る森を進む<span>[ジータ]</span>一行にカタリナは、帝国に居た頃に聞いた、緋色の鬼が住むという<span class='scene-font-place'>ルーマシー群島</span>の恐ろしげな逸話を語る。
Japanese,"scene_cp13_q1_s20,1312",detail,카타리나,うう……ここはやけに、<br>虫の多い森だな……
Japanese,"scene_cp13_q1_s20,1312",detail,오이겐,仕方ねぇさ、この辺の森はほとんど、<br>人の手が入ってねぇからなぁ。
Japanese,"scene_cp13_q1_s20,1312",detail,라캄,誰も立ち寄ったって話を聞かない、<br>ほとんど未開の群島だからな……<br>噂話すら、ろくろく聞かねぇぜ。
Japanese,"scene_cp13_q1_s20,1312",detail,라캄,カタリナはどうだ？<br>帝国に居たときとか、<br>この群島について何か……
Japanese,"scene_cp13_q1_s20,1312",detail,카타리나,ひっ！？<br>な、なんだ！？ 虫か！？
Japanese,"scene_cp13_q1_s20,1312",detail,카타리나,<span class='scene-font-4'>どこだ！？</span><br><span class='scene-font-4'>我が剣の錆にしてやる！</span>
Japanese,"scene_cp13_q1_s20,1312",detail,라캄,……気合は買うが、まぁ、落ち着け。<br>カタリナは<span class='scene-font-place'>ルーマシー群島</span>について、<br>何か知ってたか？
Japanese,"scene_cp13_q1_s20,1312",detail,카타리나,あ、ああ、いや……<br>一度、名前を小耳に挟んだ程度だな。
Japanese,"scene_cp13_q1_s20,1312",detail,카타리나,世界から忘れ去られた島だとか……<br>緋色の鬼が住むとかなんとか……
Japanese,"scene_cp13_q1_s20,1312",detail,라캄,おいおいおい……<br>俺達、化物退治でもさせられるのか？
Japanese,"scene_cp13_q1_s20,1312",detail,이오,ふん……<br>そんなのいつもと変わんないじゃん！
Japanese,"scene_cp13_q1_s20,1312",detail,이오,ほら！<br>この森にも魔物は居るんだから……<br>ちゃっちゃと片付けちゃうわよ！
Japanese,"scene_cp13_q2_s10,1321",synopsis,,<span>[ジータ]</span>一行の前に突如、謎の女性、ロゼッタが現れる。不審な点の多い彼女は、<span>[ジータ]</span>と目的地は同じだと話し、一同に同行し始める。
Japanese,"scene_cp13_q2_s10,1321",detail,,<span class='scene-font-katari'>その声の主は、[ジータ]達の</span><br><span class='scene-font-katari'>不意を突くように現れた。</span>
Japanese,"scene_cp13_q2_s10,1321",detail,？？？,はぁい♪ ちょっといいかしら？
Japanese,"scene_cp13_q2_s10,1321",detail,비이,うわっ！？<br>だ、誰だあんた！？ いつの間に……
Japanese,"scene_cp13_q2_s10,1321",detail,？？？,そんなに驚かれると傷つくわね……<br>怪しい者じゃないわ。<br>見ての通りの、か弱い乙女よ。
Japanese,"scene_cp13_q2_s10,1321",detail,,<span class='scene-font-katari'>その声の主は、[ジータ]達の</span><br><span class='scene-font-katari'>不意を突くように現れた。</span>
Japanese,"scene_cp13_q2_s10,1321",detail,？？？,はぁい♪ ちょっといいかしら？
Japanese,"scene_cp13_q2_s10,1321",detail,비이,うわっ！？<br>だ、誰だあんた！？ いつの間に……
