Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt190627_cp0_q1_s10,synopsis,,夏の初め、[ジータ]達から夏のバカンスに誘われたハールート、マールート、アズラエル、イスラフィル。相談する４人のもとに、ひとりの女性が訪れる。一方、ある街の裏路地のバーで、借金を返す為に働くサリエルにひとりの男性が声を掛ける。更に一方、沖合の海では海中に不穏な影が潜んでいるのだった。,"여름이 시작되고, [지타] 일행으로부터 여름 바캉스에 초대된 하루트, 마루트, 아즈라엘, 이스라필. 서로 대화 중인 4명의 곁에, 한명의 여성이 찾아온다. 한편, 어느 마을의 뒷골목 바에서, 빚을 갚기 위해 일하는 사리엘에서 한명의 남성이 말을 건다. 또 한편, 인근 바다의 물 속에서는 불온한 그림자가 숨어있었다."
Japanese,scene_evt190627_cp0_q1_s10,detail,,<span class='scene-font-katari'>新緑の葉が生い茂り、</span><br><span class='scene-font-katari'>風が暑気を孕んできた頃のこと……</span>,"<span class='scene-font-katari'>푸른 초목이 우거지고, 바람이 열기를 띠기 시작했을 즈음의 일이었다.</span>"
Japanese,scene_evt190627_cp0_q1_s10,detail,,<span class='scene-font-katari'>とある島ではツリーハウスを建て、</span><br><span class='scene-font-katari'>樹上の生活を始めた少女達がいた。</span>,<span class='scene-font-katari'>어떤 섬에 트리 하우스를 세우고 나무 위에서의 생활을 시작한 소녀들이 있었다.</span>
Japanese,scene_evt190627_cp0_q1_s10,detail,,<span class='scene-font-katari'>彼女達は</span><span class='scene-font-spword'>『天司』</span><span class='scene-font-katari'>という、</span><br><span class='scene-font-katari'>約二千年前に造られた星晶獣だった。</span>,"<span class='scene-font-katari'>그녀들은 </span><span class='scene-font-spword'>「천사」</span><span class='scene-font-katari'>로, 약 2천년 전에 만들어진 성정수였다.</span>"
Japanese,scene_evt190627_cp0_q1_s10,detail,ハールート,到着っと！<br>さっきので今日の配達は終わり？,도착이야! 방금 그걸로 오늘 배달은 끝인가?
Japanese,scene_evt190627_cp0_q1_s10,detail,マールート,ばっちり♪<br>スピーディに進んで良かったわ。,완벽해! 스피디하게 끝내서 다행이야.
Japanese,scene_evt190627_cp0_q1_s10,detail,ハールート,集荷の順番を変えて正解だったよ。<br>そのぶん重い荷物も増えたけどね。,물건의 집하 순서를 바꾼 게 정답이었어. 그만큼 무거운 짐도 늘긴 했지만.
Japanese,scene_evt190627_cp0_q1_s10,detail,マールート,評判がいい証よ。<br>大事な物を運ばせて貰えるんだもの。,평가가 좋다는 증거야. 소중한 물건을 우리한테 맡겨 주신다는 뜻이잖아.
Japanese,scene_evt190627_cp0_q1_s10,detail,ハールート,なるほど。<br>そう考えると郵便屋冥利に尽きるなぁ。,그러게. 그렇게 생각하니 배달부로서는 최고의 평가네.
Japanese,scene_evt190627_cp0_q1_s10,detail,ハールート,正直……<br>ちょっと前まで思ってもみなかったよ。<br>自分達がここまで適応できるなんてね。,솔직히 얼마 전까지는 상상도 못 했다니까. 우리들이 이렇게 이렇게 적응을 잘 해낼 줄이야.
Japanese,scene_evt190627_cp0_q1_s10,detail,マールート,うん……<br>あの争乱を経て私達も変わったわね。,응... 그 난리를 겪으면서 우리도 많이 바뀌었나봐.
