Language,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_evt200628_cp2_q1_s10,7556211",synopsis,,ついに予選が開始される。予選の料理は「みや里」から派遣された職人が握る樹クラゲの軍艦巻きだった。団員達がスシに舌鼓を打つ一方、レッドラックとマッシュは桁違いの実力を見せ、本戦進出が決定してもスシを食べ続けて他の参加者達を圧倒する。会場には満腹を訴える呻き声と観客達の歓声が響き渡り、やがて制限時間が訪れるのだった。,"드디어 예선이 시작된다. 예선의 요리는 ""미야사토""에서 파견된 장인이 쥔 나무 해파리 군함말이였다. 단원들이 스시에 입맛을 다시는 한편, 레드락과 마슈는 격이 다른 실력을 보이며 본선진출을 결정하고도 스시를 계속 먹어 다른 참가자들을 압도한다. 대회장에는 만복을 호소하는 신음소리와 관객들의 환호성이 울려 퍼지고, 결국 제한시간이 다 된다."
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,,<span class='scene-font-katari'>予選開始の時刻が迫り、</span><br><span class='scene-font-katari'>続々と集まる参加者達。</span>,"<span class='scene-font-katari'>예선 개최시각이 다가오자, 참가자들이 속속 모여들기 시작했다. </span>"
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,,<span class='scene-font-katari'>刻一刻と会場の熱気は高まり、</span><br><span class='scene-font-katari'>観客達は大会の幕開けの瞬間を</span><br><span class='scene-font-katari'>目に焼き付けようとしていた。</span>,<span class='scene-font-katari'>시시각각 회장의 열기가 고조됐다. 관객들은 막이 올라가는 순간을 그 눈에 새기려고 하고 있었다.</span>
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,さあ！<br>ついにこの時がやって参りました！,자! 드디어 이 순간이 다가왔습니다!
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,数多の猛者が、<br>たったひとつの栄冠を求めて<br>しのぎを削り合った熱いファイト！,수많은 강자들이 단 하나의 왕관을 차지하기 위해 격전을 벌이는 뜨거운 파이트! 
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,その中で生まれたドラマは数知れず！<br>今思い出しても、手に汗を握るような<br>興奮が蘇ることでしょう！,그 안에서 펼쳐진 드라마는 셀 수도 없을 정도죠! 지금 되돌아봐도 손에 땀이 날 정도의 흥분이 되살아날 겁니다.
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,そう！ その伝説の大会が！<br>本日復活いたします！,그렇습니다! 그 전설의 대회가 오늘 부활합니다! 
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,,<span class='scene-font-katari'>司会者の開幕宣言により、</span><br><span class='scene-font-katari'>会場のボルテージは最高潮に達する。</span>,"<span class='scene-font-katari'>사회자가 개막을 선언하자, 회장 안의 환호소리가 최고조에 달했다.</span>"
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,코루루,す、すごい熱気であり申す……,"어, 엄청난 열기이외다..."
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,아미라,私がいちばん食べて……<br>賞品の魚も食べる……！,내가 가장 많이 먹고... 상품으로 나온 생선도 먹을 거야...!
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,레오나,楽しもうって決めたけど、<br>やっぱり緊張するなぁ……,즐겨야겠다고 생각은 하는데 역시 긴장된다...
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,루리아,ふふっ、お祭りって感じで<br>ワクワクします！,"후후, 축제 왔을 때처럼 두근거려요!"
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,샤를롯테,どのような料理が出てくるのか、<br>待ち遠しいでありますね。,어떤 요리가 나올지 기다리기 힘듭니다.
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,루리아,あれ、シャルロッテさん！<br>いつの間に？,"어라, 샤를롯테 씨! 언제 오셨어요?"
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,샤를롯테,ふふふ……<br>駆け込みでエントリーしたであります！,후후후... 막차 타고 접수했습니다!
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,루리아,そうだったんですね！<br>一緒に楽しみましょう、<br>シャルロッテさん！,"그러셨군요! 우리 같이 즐겨요, 샤를롯테 씨!"
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,레드락,ふぅ……,후우... 
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,레드락,<span class='scene-font-4'>よぉし、やってやるぜッ！</span>,"<span class='scene-font-4'>좋아, 해 보자!</span>"
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,,<span class='scene-font-katari'>賑やかなルリア達とは対照的に、</span><br><span class='scene-font-katari'>精神統一をして気合いを入れ直す</span><br><span class='scene-font-katari'>レッドラック。</span>,"<span class='scene-font-katari'>떠들썩한 루리아 일행과는 대조적으로, 레드락은 정신을 집중하며 다시 한 번 기합을 불어넣었다. </span>"
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,,<span class='scene-font-katari'>他の参加者が優勝候補のレッドラックに</span><br><span class='scene-font-katari'>気後れする中、マッシュだけが</span><br><span class='scene-font-katari'>離れた場所から敵対心を向ける。</span>,"<span class='scene-font-katari'>다른 참가자들은 우승후보인 레드락의 그런 모습에 기가 죽었지만, 마슈만은 조금 떨어진 곳에서 적개심을 불태웠다.</span>"
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,마슈,ふん……<br>今日こそはおどれに勝っちゃるけぇ、<br>見とれよ！ レッドラック！,흥... 오늘에야말로 네 놈을 꺾어 주마. 레드락!
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,さあ、本日の予選のメニューは<br>こちらでございます！,"자, 오늘 예선 메뉴는 바로 이겁니다!"
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,樹クラゲの軍艦巻き、でございます！,나무 해파리 군함말이입니다!
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,皆様、こちら初めて目にする<br>料理かと存じます。,"여러분, 아마도 처음 보시는 요리일 겁니다."
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,<span class='scene-font-4'>しかし！</span><br>スシと申し上げれば、ご存じの方も<br>いらっしゃるのではないでしょうか！,<span class='scene-font-4'>그러나!</span><br>초밥이라는 이름을 들으면 아시는 분도 계시지 않을까요? 
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,비,おお！<br>なんか見覚えあると思ったら、<br>やっぱスシだったか！,어! 어디서 봤다 싶었는데 역시 초밥이었구나!
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,こちらは、トォノシ島の名物料理である<br>スシから着想を得た一品であります！,이것은 토노시 섬의 명물요리인 초밥에서 영감을 얻은 음식입니다!
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,定番のアルバコアやシャーモンの<br>代わりに樹クラゲの刺身を使用した、<br>一風変わった料理でありますが……,정석재료인 알바코어나 연어 대신 나무 해파리 회를 사용했기에 조금 다른 분위기의 요리가 되었습니다만...
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,その身はコリコリと弾力があり、<br>噛めば噛むほど旨味が湧き出し、<br>シャリのほのかな甘みと調和する……,"그 살은 오독오독 탄력있고, 씹으면 씹을수록 감칠맛이 배어나와 밥알의 아스라한 단맛과 조화되지요."
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,一度食べたら虜になる、<br>至極の一品となっております！,한번 먹어보면 그 맛에 사로잡히는 최고의 한 접시입니다!
Japanese,"scene_evt200628_cp2_q1_s10,7556211",detail,사회자,なお、こちらのスシは<br>トォノシ島屈指の名店<span class='scene-font-spword'>「みや里」</span>から<br>派遣された職人が握っております！,"또한 이 초밥은 토노시 섬 굴지의 초밥집인 <span class='scene-font-spword'>""미야사토""</span>에서 파견된 초밥 장인이 쥐어주고 계십니다!"
