Language,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_evt200628_cp0_q2_s10,7556711",synopsis,,コルルは想いの強さを糧に優勝を果たす。その後、マッシュの失言からマッシュが食欲増進の薬を使用していたことが明らかになるが、その薬は命に関わる危険な代物だったことからルシオが事前にすり替えていた。マッシュは結果的に不正に手を染めていなかったことに安堵し、いつの日かレッドラックとの再戦を誓う。大会を終えた夜、コルルは皆と食事を囲み幸せなひと時を過ごすのだった。,"코루루는 마음의 힘을 양식으로 우승을 쟁취한다. 그 후, 마슈의 실언에서 마슈가 식욕증진제를 사용하려고 했던 것이 밝혀지지만, 그 약은 생명에 관련된 위험한 가짜약이어서 루시오가 사전에 바꿔치기 했었다. 마슈는 결과적으로 반칙에 손을 대지 않게된 것에 안도하고, 언젠가 레드락과의 재대결을 맹세한다. 대회가 끝난 날 밤, 코루루는 모두와 식사를 둘러싼 행복한 시간을 보내는 것이었다."
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,사회자,呼吸を忘れてしまうほど、<br>熱いファイトでありました。,숨쉬는 것도 잊어버릴 정도로 뜨거운 파이트였습니다.
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,사회자,この道に進んで数十年……<br>これほどの接戦が繰り広げられた<br>ファイトは、かつて記憶にありません。,이 길에 들어선지 수십년이지만 이런 접전이 이어지는 파이트는 본 기억이 없습니다.
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,사회자,私はこの光景を、生涯<br>忘れることはないでしょう。,저는 이 광경을 앞으로도 잊지 못할 것입니다.
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,사회자,それでは勝者の名をお呼びしましょう。<br>栄えあるチャンピオンの座に<br>輝いたのは……,그러면 승자의 이름을 부르도록 하겠습니다. 영광스러운 챔피언의 자리를 빛내준 분은...
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,사회자,<span class='scene-font-4'>コルル選手ですッ！！</span>,<span class='scene-font-4'>코루루 선수입니다!</span>
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,코루루,<span class='scene-font-4'>ふんす！</span>,<span class='scene-font-4'>흐음!</span>
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,이오,<span class='scene-font-4'>やったぁ！</span><br>これでコルルが優勝よね！,<span class='scene-font-4'>해냈어!</span> 이걸로 코루루가 우승한 거지?
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,비,ははっ、本当に勝っちまいやがったぜ！<br>すっげぇな！,"아하하, 진짜 이겨버렸네! 대단하다!"
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,루리아,本当にすごいです！<br>私、震えが止まりません！,"정말 대단하세요! 저, 아직도 떨리는 것 같아요!"
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,레드락,よくやったぜ、本当に……,정말로 잘 했다...
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,레드락,ったく……<br>目から汗が流れてきちまう。,아. 눈에서 땀이 흐르잖아.
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,마슈,<span class='scene-font-4'>クソッ、クソがぁッ！</span><br>こがぁなちっぽけなガキに、<br>このワシがッ！,"<span class='scene-font-4'>제길, 제기랄!</span> 이런 쬐그만 꼬맹이한테 이 몸이 지다니! "
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,코루루,お主の言う通り、確かにわたしは<br>ちっぽけな存在であり申そう。,"그쪽 말따마나, 나는 분명 조그만 존재이외다."
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,코루루,しかし多くの者が、<br>このちっぽけなわたしを<br>心から支えてくれ申した。,허나 수많은 이들이 그 조그마한 나를 마음으로부터 지지해 주고 있소이다.
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,코루루,この身に余るほど大きな想いが、<br>わたしを勝利へ<br>導いてくれたのでごんす！,이 몸에는 과분할 정도로 큰 그 마음들이 나를 승리로 이끌어 준 것이외다!
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,셰로카르테,優勝、おめでとうございます～,우승 축하드립니다~
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,셰로카르테,こちら、優勝トロフィーと<br>優勝賞品の<span class='scene-font-place'>アウギュステ</span>名産セットを<br>進呈いたしますね～,"여기 우승 트로피, 그리고 우승상품인 <span class='scene-font-place'>아우규스테</span> 특산물 세트를 증정하겠습니다~"
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,코루루,感謝致す！<br>……うぷ。,감사하외다! ...우웁...
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,사회자,これにて今大会は閉幕となります！<br>３日間、熱い声援をお送りいただき<br>誠にありがとうございました！,이것으로 이번 대회를 마치겠습니다! 3일간 뜨거운 성원을 보내주신 관객 여러분께 진심으로 감사드립니다!
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,사회자,最後に皆様、選手達の健闘を称え<br>盛大な拍手をお送りください！,"마지막으로 여러분, 선수들의 건투를 칭찬하는 의미에서 큰 박수 부탁드립니다!"
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,,<span class='scene-font-katari'>会場内から拍手が巻き起こる中、</span><br><span class='scene-font-katari'>コルルはステージの上で</span><br><span class='scene-font-katari'>誇らしげな表情を浮かべるのだった。</span>,"<span class='scene-font-katari'>회장 안에 박수가 쏟아지는 사이, 코루루는 스테이지 위에서 자랑스러운 표정을 지었다.</span>"
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,,<span class='scene-font-katari'>大会が閉幕し、コルルは</span><br><span class='scene-font-katari'>トロフィーと名産セットを抱えて</span><br><span class='scene-font-katari'>[플레이어]達の元に戻ってくる。</span>,"<span class='scene-font-katari'>대회가 끝나고, 코루루는 트로피와 특산물 세트를 품에 안은 채 단장 일행에게 돌아왔다.</span>"
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,이오,おめでとう、コルル！<br>ほんっとにおめでとう！,"축하해, 코루루! 진짜 축하해!"
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,코루루,イ、イオ……！<br>そんなに抱きつかれると、<br>トロフィーと賞品が落ち申そう……！,"이, 이오... 그렇게 끌어안으면 트로피와 상품이 쏟아질 것이외다...!"
Japanese,"scene_evt200628_cp0_q2_s10,7556711",detail,루리아,イオちゃんの気持ちもわかります！<br>私も抱きつきたいくらい<br>嬉しいですから！,이오쨩 마음도 이해해요! 저도 껴안고 싶을 정도로 기쁜걸요!
