Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt211228_cp0_q1_s10,synopsis,,ある朝、赤ん坊の[플레이어]の面倒を見ていた頃の夢から目覚めたビィ。懐かしく思いながらルリアと共に[플레이어]の世話を焼いていると、そこに六竜の『黒』フェディエルが現れる。フェディエルは[플레이어]に用事がある、と３人を無理やりどこかへ連れ出すのだった。,"어느 날 아침, 갓난아기였던 [플레이어]을(를) 돌보고 있을 무렵의 꿈에서 깨어난 비이. 그리운 과거를 회상하며 루리아와 함께 [플레이어]을(를) 보살피고있었는데, 거기에 육룡의 '흑' 페디엘이 나타난다. 페디엘은 [플레이어]에게 볼일이 있다며 셋을 억지로 어디론가 데리고 가는 것이었다."
Japanese,scene_evt211228_cp0_q1_s10,detail,,<span class='scene-font-katari'>夜間の見張り担当の団員と交代し、</span><br><span class='scene-font-katari'>騎空艇の自室のベッドで</span><br><span class='scene-font-katari'>眠りに就いた[플레이어]。</span>,<span class='scene-font-katari'>야간 불침번을 맡은 단원과 교대한 [플레이어]는 기공정 내 자신의 방으로 돌아와 곧 잠들었다.</span>
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,すぅ……すぅ……,쿨... 쿨...
Japanese,scene_evt211228_cp0_q1_s10,detail,,<span class='scene-font-katari'>穏やかな夜の闇の中、</span><br><span class='scene-font-katari'>ビィもまた[플레이어]の隣で</span><br><span class='scene-font-katari'>寝入っていた。</span>,<span class='scene-font-katari'>비이 또한 조용한 밤의 어둠에 휩싸인 채 [플레이어] 곁에서 자고 있었다.</span>
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,むにゃ……,음냐... 
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,お～、よしよ～し……<br>いい子、いい子……,"오~ 그래 그래~ 착하지, 착하지..."
Japanese,scene_evt211228_cp0_q1_s10,detail,,<span class='scene-font-katari'>夢の中、</span><span class='scene-font-place'>ザンクティンゼル</span><span class='scene-font-katari'>の自宅で</span><br><span class='scene-font-katari'>ビィは揺り籠の中の赤ん坊──</span><br><span class='scene-font-katari'>[플레이어]をあやす。</span>,"<span class='scene-font-katari'>꿈 속. 비이는 장크틴젤에 있는 집에서 요람에 누워 있는 갓난아기, [플레이어]를 달래고 있었다.</span>"
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,おしめ替えてみたけど……<br>[플레이어]が泣かないってことは<br>つけ方、間違ってねぇよな……？,기저귀 갈았는데... 이 녀석이 울지 않았으니 잘못 채운 건 아닌 거겠지?
Japanese,scene_evt211228_cp0_q1_s10,detail,赤ん坊,……？,……？
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,親父さんが隣んちから戻るまで、<br>ふたりっきりで留守番なんだから<br>オイラがしっかりしねぇと……,아저씨가 옆집에서 돌아올 때까지는 우리 둘밖에 없으니까 정신 바짝 차려야겠어.
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,<span class='scene-font-4'>うわっ、なんだぁ！？</span>,"<span class='scene-font-4'>으아, 이게 무슨 소리야?</span>"
Japanese,scene_evt211228_cp0_q1_s10,detail,赤ん坊,ふぇっ……,흐에엥...
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,あー！ そうだ！<br>ミルク温めんのに<br>お湯沸かしてたんだった！,아! 맞다! 우유 데운다고 물 끓이고 있었지!
Japanese,scene_evt211228_cp0_q1_s10,detail,赤ん坊,ひぅー……,히잉...
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,悪ぃ、びっくりさせちまったな。<br>よしよし、ミルク用意してやるから<br>ちょっと待っててくれよ……,"미안해, 깜짝 놀랐구나? 착하지. 우유 타 올 테니까 잠깐만 기다려..."
Japanese,scene_evt211228_cp0_q1_s10,detail,,<span class='scene-font-katari'>ビィは不慣れな手つきながらも</span><br><span class='scene-font-katari'>ミルクを温め、</span><br><span class='scene-font-katari'>[플레이어]に飲ませてやる。</span>,<span class='scene-font-katari'>비이는 익숙치 않은 손놀림으로 우유를 데워 [플레이어]에게 먹였다.</span>
Japanese,scene_evt211228_cp0_q1_s10,detail,赤ん坊,んく、んく……,"꿀꺽, 꿀꺽..."
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,おいおい、慌てて飲むとむせちまうぞ！,"야아, 그렇게 급하게 마시면 사레 들려! 자, 천천히... "
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,ほら、ゆっくりゆっくり……<br>ん？ まだ飲むか？ もういいって？,응? 더 마실래? 싫어?
Japanese,scene_evt211228_cp0_q1_s10,detail,ビィ,それじゃ、背中トントンしてやるから<br>ゲップしてくれよな～<br>ほら、トントン……,"그럼 등 두들겨 줄 테니까 트림하는 거다. 자, 통통..."
Japanese,scene_evt211228_cp0_q1_s10,detail,赤ん坊,けぷ……,끅...
