Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt211228_cp1_q1_s10,synopsis,,[플레이어]達が連れ出されたほんの少し後のこと。シンシャ、ネクタル、クシナ、ウグスは食堂へ向かう途中、見慣れぬ猫が日向ぼっこをしているのを見つける。停泊した島から騎空艇に入り込んでしまったのかも、と[플레이어]に確認しに向かうが、私室に[플레이어]はいない様子。さらに晴れているのにも関わらず雷が鳴り始め、シンシャ達はおかしな天気に首をかしげるのだった。,"[플레이어] 일행이 끌려가고 조금 뒤. 신샤, 넥타르, 쿠시나, 우그스는 식당으로 가다가 낯선 고양이가 햇볕을 쬐고있는 것을 발견한다. 정박한 섬에서 기공정에 들어갔을지도 모르니 [플레이어]에게 확인하러 가지만, 개인실에는 [플레이어]는 없는 것으로 보였다. 거기에, 맑음에도 불구하고 천둥이 치기 시작했고, 신샤 일행은 이상한 날씨에 고개를 갸웃거리는 것이었다."
Japanese,scene_evt211228_cp1_q1_s10,detail,,<span class='scene-font-katari'>騎空艇の[플레이어]の私室へ</span><br><span class='scene-font-katari'>フェディエルが現れた、</span><br><span class='scene-font-katari'>そのほんの少し後。</span>,<span class='scene-font-katari'>기공정 내 [플레이어]의 방에서 페디엘이 나타난 지 얼마 후의 일이었다.</span>
Japanese,scene_evt211228_cp1_q1_s10,detail,,<span class='scene-font-katari'>順番に朝食を済ませる団員達の中、</span><br><span class='scene-font-katari'>シンシャ、ネクタル、クシナ、ウグスも</span><br><span class='scene-font-katari'>食堂へと向かう支度をしていた。</span>,"<span class='scene-font-katari'>단원들이 차례로 식사를 끝마치는 사이, 신샤와 넥타르, 쿠시나, 우구스도 식당으로 갈 준비를 하고 있었다.</span>"
Japanese,scene_evt211228_cp1_q1_s10,detail,クシナ,…………<br><span class='scene-font-kokoro'>（これでよし！）</span>,"…………<br><span class='scene-font-kokoro'>(좋아, 다 됐어!)</span>"
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,ありがとう、クシナ。<br>髪の毛を整えてもらうの、<br>いつも任せきりでごめんね。,"고마워, 쿠시나. 항상 머리 묶는 거 도와줘서 고마워."
Japanese,scene_evt211228_cp1_q1_s10,detail,クシナ,…………<br><span class='scene-font-kokoro'>（ふふ、シンシャの髪をとかすのは</span><br><span class='scene-font-kokoro'>私の特権だもの！）</span>,"…………<br><span class='scene-font-kokoro'>(후후, 신샤의 머리를 묶어주는 건 내 특권인걸!</span>"
Japanese,scene_evt211228_cp1_q1_s10,detail,クシナ,…………<br><span class='scene-font-kokoro'>（ネクタルにだって譲らないんだから。</span><br><span class='scene-font-kokoro'>どう、今日も可愛くできたでしょ？）</span>,…………<br><span class='scene-font-kokoro'>(넥타르한테도 양보할 수 없어. 어때? 오늘도 귀엽게 됐지?)</span>
Japanese,scene_evt211228_cp1_q1_s10,detail,ネクタル,ああ、クシナ。<br>シンシャ、ネクタルは今の髪型が、<br>シンシャに似合うと考えます。,"그래, 쿠시나. 신샤, 넥타르는 지금 그 머리가 신샤에게 어울린다고 생각합니다."
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,ネクタルも、ありがとう。,넥타르도 고마워.
Japanese,scene_evt211228_cp1_q1_s10,detail,クシナ,…………<br><span class='scene-font-kokoro'>（さて、そろそろ食堂に行った方が</span><br><span class='scene-font-kokoro'>いいわよね）</span>,…………<br><span class='scene-font-kokoro'>(그럼 슬슬 식당으로 가는 게 좋겠어)</span>
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,そうだね。<br>ウグス、毛づくろいできた？,그러게. 우구스. 깃털 정리는 끝났어?
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,ん～……<br>だいじょぶ……,웅... 괜찮아...
Japanese,scene_evt211228_cp1_q1_s10,detail,クシナ,…………<br><span class='scene-font-kokoro'>（もう！ 全然大丈夫じゃないわよ！</span><br><span class='scene-font-kokoro'>ほら、背中ポヤポヤじゃない）</span>,…………<br><span class='scene-font-kokoro'>(어휴! 하나도 안 괜찮거든! 이거 봐. 등 쪽이 다 헝클어져 있잖아)</span>
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,んー……ウグス、<br>ポヤポヤでもフカフカだから……<br>へーきへーきぃ……,으음... 우구스는 털 헝클어져도 폭신폭신하니까 괜찮아...
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,ふふ、そうだね。<br>ウグスはいつもフカフカだもんね。,"후후, 그러게. 우구스는 늘 폭신폭신하지."
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,そー、フカフカはえらい！<br>ふわぁ……,그래. 폭신폭신한 건 대단해! 후아암...
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,でも、寝ぐせをつけたままだと<br>失礼にあたることもあるから……<br>毛づくろい、ちゃんとしよう？,그치만 제대로 정리하지 않으면 남들한테 실례일 수도 있으니까... 잘 다듬고 가자.
Japanese,scene_evt211228_cp1_q1_s10,detail,ネクタル,ウグス。食事を頂く立場の者が、<br>礼儀に欠けるべきではない。,우구스. 식사를 제공받는 입장이니 예의를 갖추지 않으면 안 돼.
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,美味しいご飯を作ってくれる<br>食堂の人も、だらしなく食べてたら<br>がっかりしちゃうものね。,맛있는 밥을 만들어 주는 식당 분들도 우구스가 깔끔하지 않은 모습으로 먹는 걸 보면 실망하실 거야.
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,うぅ、そっかー……<br>グランサイファーごはん、おいしーから<br>ウグスよりもっとずっとえらいし……,"으, 그런가... 그랑사이퍼에서 주는 밥은 맛있으니까 우구스보다 훨씬 대단해..."
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,ウグス、ねむいけど<br>けづくろいがんばる……,"우구스, 졸리지만 털 정리 열심히 할게..."
Japanese,scene_evt211228_cp1_q1_s10,detail,ネクタル,ウグス、その意気だ。,"우구스, 바로 그 자세다."
Japanese,scene_evt211228_cp1_q1_s10,detail,クシナ,…………<br><span class='scene-font-kokoro'>（食堂の人を待たせるのも悪いし……</span><br><span class='scene-font-kokoro'>シンシャ、ウグスを膝に乗せて！）</span>,"…………<br><span class='scene-font-kokoro'>(식당 사람들을 너무 기다리게 하면 미안하니까... 신샤, 무릎에 우구스 태워 줘!)</span>"
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,うん！<br>ウグス、私の膝の上で<br>毛づくろいしていて。,응! 우구스. 내 무릎에서 털 정리해.
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,ありがとー、シンシャ。<br>クシナもくるまいすありがとー,고마워~ 신샤. 쿠시나도 휠체어 밀어줘서 고마워~
Japanese,scene_evt211228_cp1_q1_s10,detail,クシナ,…………<br><span class='scene-font-kokoro'>（はいはい、眠そうだけど</span><br><span class='scene-font-kokoro'>落ちないように気を付けてよ？）</span>,…………<br><span class='scene-font-kokoro'>(그래 그래. 졸려 보이는데 떨어지지 않게 조심하고)</span>
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,はーい。,네~에. 
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,ポヤポヤなおった！ とおもう！<br>シンシャ、さわってみて！,"헝클어진 거 다 폈어! 아마도! 신샤, 만져 봐!"
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,ええと、この辺りかな……？<br>うん、綺麗に羽が揃ってるよ。<br>お疲れ様、ウグス。,"어... 이 근처인가? 응. 깃털 깔끔하게 정리됐다. 수고했어, 우구스."
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,えへー……,에헤...
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,<span class='scene-font-4'>あれ！？</span>,<span class='scene-font-4'>어라?</span>
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,クシナ！<br>くるまいす、とめてとめて！<br>なんかおちてる！！,"쿠시나! 휠체어 멈춰 줘, 멈춰 줘! 뭔가 떨어져 있어!"
Japanese,scene_evt211228_cp1_q1_s10,detail,クシナ,…………！？<br><span class='scene-font-kokoro'>（えっ！ どこ、どこ！？）</span>,…………！？<br><span class='scene-font-kokoro'>(뭐? 어디 어디?)</span>
Japanese,scene_evt211228_cp1_q1_s10,detail,ネクタル,あれは……敷物……？,저건... 깔개...?
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,敷物？ 洗濯ものが<br>風に飛ばされちゃったとかかな？,깔개? 빨래가 바람에 날려간 걸까?
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,んー……なんかね、けがわ？<br>だとおもう！<br>ウグスたしかめてくる！,음... 뭘까. 털가죽? 인 것 같아! 우구스가 확인해 볼래!
Japanese,scene_evt211228_cp1_q1_s10,detail,？？？,…………,…………
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,あー！ これ！<br>これしってる！<br>ねこだー！,아! 이거! 이거 알아! 고양이야!
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,ししょのおねーさんにかりた<br>えほんにいた！<br>これはきっと、ねこ！！,책들고 다니는 누님한테 빌렸던 책에 있었어! 이거 분명 고양이야!
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,猫……あ、そっか。<br>[플레이어]さんが<br>飼ってるっていう猫さんかな？,"고양이... 아, 그렇구나. 단장님이 기르고 있다는 고양이인가?"
Japanese,scene_evt211228_cp1_q1_s10,detail,クシナ,…………？<br><span class='scene-font-kokoro'>（その子は前に見たことがあるけど</span><br><span class='scene-font-kokoro'>毛色が違うような……？）</span>,"…………？<br><span class='scene-font-kokoro'>(그 아이는 전에 본 적 있는데, 털 색이 달랐던 것 같은데...?)</span>"
Japanese,scene_evt211228_cp1_q1_s10,detail,,<span class='scene-font-katari'>ウグスがみつけた猫は、</span><br><span class='scene-font-katari'>シンシャ達が近くで足を止めても</span><br><span class='scene-font-katari'>平気で日向ぼっこを続ける。</span>,<span class='scene-font-katari'>우구스가 발견한 고양이는 신샤 일행이 근처에서 발길을 멈춰도 태연하게 햇빛을 쬐고 있었다.</span>
Japanese,scene_evt211228_cp1_q1_s10,detail,ねこ,…………,…………
Japanese,scene_evt211228_cp1_q1_s10,detail,ウグス,<span class='scene-font-4'>でっかい！</span>,<span class='scene-font-4'>크다!</span>
Japanese,scene_evt211228_cp1_q1_s10,detail,ネクタル,シンシャ。ネクタルにも、<br>[플레이어]殿が飼養している猫とは<br>異なる個体に見えます。,신샤. 넥타르에게도 단장 공이 사육하고 있는 고양이와는 다른 개체로 보입니다.
Japanese,scene_evt211228_cp1_q1_s10,detail,シンシャ,もしかしたら、停泊した島の猫さんが<br>騎空艇に入り込んじゃったのかも……,어쩌면 정박했던 섬의 고양이가 기공정에 올라탄 걸지도...
