Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt201208_cp0_q1_s10,synopsis,,ある幼い兄妹が、父親と母親に会うためと山を歩いていた。兄は山に怯える妹を励ましながら、山深く分け入っていく。一方、炭治郎、禰豆子、善逸、伊之助の４人は、次の鬼殺隊の任務に向けて移動の最中だった。昼食のおにぎりを食べ終えると、炭治郎達はあぜ道を勢いよく駆けて行くのだった。
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 여동생,お、お兄ちゃん……<br>待ってよぉ！,"오, 오빠... 기다려!"
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 오빠,うるさいなぁ。<br>さっさと歩けよ。,시끄러워. 빨리 걷기나 해.
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 여동생,だって、こんなところまで<br>来たことないから……<br>こわいよぉ……！,그치만 이런 데까지 와 본 적 없잖아... 무서워!
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 오빠,文句言うなら、<br>お前は家で留守番してたって<br>いいんだぞ。,그런 소리나 할 거면 넌 집에 남아있어도 돼.
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 여동생,で、でもおじさんは<br>ふたりいないと駄目だって<br>言ってたよ？,"그, 그치만 오빠가 두 명 있어야 한다고 그랬잖아?"
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 오빠,…………,…………
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 오빠,……お前、行きたいのか<br>行きたくないのか<br>どっちなんだよ！,"……너, 가고 싶은 거야 안 가고 싶은 거야?"
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 여동생,うぅ……,우우……
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 오빠,お父さんとお母さんに<br>会いたくないのか！？,아빠랑 엄마 보고 싶지 않아?
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 여동생,……会いたい。,……보고 싶어.
Japanese,scene_evt201208_cp0_q1_s10,detail,어린 여동생,お母さん、お父さん、<br>会いたいよぉ……,"엄마, 아빠, 보고 싶어..."
