Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt201208_cp2_q1_s10,synopsis,,メドゥーサはナタクの調べ物に付き合い、フレー島の書庫を訪れていた。幽世について調べていたナタクは、死後の世界に繋がる封印の祠というものがレール島にあるらしいことを知る。「死後の世界」が幽世のことを示しているとすれば、封印の祠が幽世の門の可能性がある。ナタクがメドゥーサと共にレール島へ向かおうとすると、突然誰かの叫び声が聞こえてくるのだった。,"메두사는 나타쿠의 조사에 동행하여, 프레 섬의 서고를 방문했다. 유세에 대해 조사하고 있던 나타쿠는 사후 세계에 이어지는 봉인의 사당이라는 것이 레일 섬에있는 것 같다는 것을 알게된다. ""사후 세계""가 유세를 나타내고 있다고하면, 봉인의 사당이 유세의 문일 가능성이있다. 나타쿠가 메두사와 함께 레일 섬으로 향하는 찰나 갑자기 누군가의 외침이 들려오는 것이었다."
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,…………,…………
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,…………,…………
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,…………,…………
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,むぅ……,으으……
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,…………,…………
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,ねぇ、ナタク……,"저기, 나타쿠……"
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,…………,…………
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,<span class='scene-font-4'>ちょっと！</span><br>ナタクってば！,<span class='scene-font-4'>잠깐!</span> 나타쿠!
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,ん？<br>どうした、メドゥーサ。,"응? 무슨 일이지, 메두사."
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,どうしたじゃないわよ……,무슨 일이냐니...
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,あーあ、やっぱりアンタと<br>ふたりなんてつまんないわ。,"아, 역시 너랑 둘만 있는 건 재미없다니까."
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,こんな時に限って<br>バアルもサテュロスも<br>捕まらないなんて……,꼭 이럴 때에만 바알도 사튜로스도 없고 말야...
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,バアルはバンドのサポートで<br>ライブ、たまたま近くにいた<br>サテュロスが見に行くらしいな。,"바알은 밴드 서포트 멤버로 라이브에 참가하고, 마침 근처에 있던 사튜로스는 그걸 보러 간다고 했던가."
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,<span class='scene-font-4'>知ってるわよ！</span><br>そしてアタシはこんな田舎の<br>かび臭い書庫にナタクとふたり……,나도 알거든! 그리고 난 이런 시골 구석에 곰팡이 핀 서재에서 나타쿠랑 둘이 있고...
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,付き合ってくれて感謝してるぞ。,같이 와 줘서 감사한다.
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,感謝されてもねぇ……<br>別に、アンタひとりで来ても<br>良かったんじゃない？,감사는 무슨... 너 혼자 와도 딱히 상관없었던 거 아냐?
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,アタシ、[플레이어]達と<br>一緒に隣の弟島の方に<br>行けば良かった。,[플레이어]네랑 같이 옆에 있는 동생 섬에나 갈 걸 그랬어.
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,ひとりだと寂しいだろう？,혼자 오면 외롭잖아?
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,……寂しいってアンタが？,"...외롭다니, 네가?"
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,ああ。,그럼.
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,……あっそ。<br>ま、仕方ないわね。,...아 그러셔. 그럼 어쩔 수 없지.
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,で？ さっきから長いこと<br>同じ本を見てるけど、<br>お目当てを見つけたわけ？,"그래서? 아까부터 계속 같은 책만 들여다보고 있는데, 중요한 거라도 찾아냈어?"
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,そうだな……,그런 편이지.
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,表記はかなり簡素だが<br>今までの中では一番有力だ。,표기는 꽤 간결하지만 지금까지 본 것 중에서는 가장 유력하다.
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,ふーん……,흐음...
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,ていうか、見つけたのなら<br>言いなさいよね！,"아니, 찾아냈으면 말을 하란 말이야!"
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,ひとに付き合わせといて<br>アンタって本当に……,사람 끌고 와 놓고서는 너 진짜...
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,……まあいいわ。<br>それで？<br>何て書いてあるの？,...아 됐어. 그래서? 뭐라고 쓰여 있는데?
Japanese,scene_evt201208_cp2_q1_s10,detail,,<span class='scene-font-katari'>メドゥーサはナタクが</span><br><span class='scene-font-katari'>膝の上で開く本を</span><br><span class='scene-font-katari'>ひょいと覗き込む。</span>,<span class='scene-font-katari'>메두사는 나타쿠가 무릎 위에 펼쳐놓은 책을 힐끔거리며 들여다보았다.</span>
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,あら？<br>なんか子供向けの本みたいじゃない。,어라? 뭔가 어린이용 책 같은데?
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,ああ、簡単な昔話のようだ。<br>だが、内容は興味深い。,그래. 짧은 옛날이야기처럼 보인다. 하지만 내용이 흥미로워.
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,なになに～……？,뭔데 뭔데?
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,祠……ふむふむ……<br>死後の世界……,사당... 흐음... 사후세계라...
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,……この封印の祠ってのが<br>幽世の門なわけ？,이 봉인의 사당이라는 게 유세의 문인 건가?
Japanese,scene_evt201208_cp2_q1_s10,detail,나타쿠,おそらく、な。<br>幽世を「死後の世界」とする表現は<br>他の本でもよく見られる。,"아마도. 유세를 ""사후세계""라고 일컫는 표현은 다른 책에서도 자주 발견된다. "
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,へぇ……<br>ふたつの祠を同時に開く……<br>生贄……,흐음... 두 개의 사당을 동시에 열고... 살아있는 제물이라...
Japanese,scene_evt201208_cp2_q1_s10,detail,메두사,……まぁ、多少物騒なことも<br>書いてあるけど……,"아, 약간 흉흉한 내용이 적혀있긴 한데..."
