Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt201208_cp0_q2_s10,synopsis,,星晶獣が動きを止め、一行は一息つく。星晶獣が異形の化物を一掃した際、赤い空が一瞬揺らいだことから、この星晶獣は幽世に干渉する力を持つのではと推測する一行。しかし星晶獣は活動を停止したままで、今はまだ答えは出そうになかった。,"성정수가 움직임을 멈추자 일행은 한숨 놓는다. 성정수가 이형의 괴물을 정리했을 때, 붉은 하늘이 한순간 흔들렸던 점에서 이 성정수는 유세에 간섭력을 가지는 것이 아닐까 추측하는 일행. 그러나 성정수는 활동을 중단 한 채이고, 지금은 아직 답은 나오지 않을 것 같았다."
Japanese,scene_evt201208_cp0_q2_s10,detail,？？？,う、ぐぅ…………,"으, 으..."
Japanese,scene_evt201208_cp0_q2_s10,detail,하시비라 이노스케,おい、動かなくなったぞ！？,"어이, 안 움직이는데?"
Japanese,scene_evt201208_cp0_q2_s10,detail,나타쿠,形状は保ったままだから<br>休眠状態に戻ったわけでは<br>なさそうだな。,형태를 유지한 채이니 휴면상태로 돌아간 것도 아닌 것 같군.
Japanese,scene_evt201208_cp0_q2_s10,detail,루리아,……はい。<br>ただ、眠ってるだけみたいです。,...네. 단지 잠들어 있는 모양이에요.
Japanese,scene_evt201208_cp0_q2_s10,detail,비,ったく、なんだったんだよ<br>この星晶獣は……,진짜 뭔데? 이 성정수는...
Japanese,scene_evt201208_cp0_q2_s10,detail,아가츠마 젠이츠,本当、ワケわかんないんだけど！<br>敵なの？ 味方なの？<br><span class='scene-font-4'>何なの！？</span>,"맞아, 뭔지 하나도 모르겠어! 적이야? 아군이야? <span class='scene-font-4'>뭔데!</span>"
Japanese,scene_evt201208_cp0_q2_s10,detail,렌고쿠 코쥬로,この大きな異形の者も<br>星晶獣だと言ったか？,이 거대한 이형의 괴물도 성정수라고 했나?
Japanese,scene_evt201208_cp0_q2_s10,detail,루리아,はい、間違いなく星晶獣です。,네. 틀림없이 성정수예요.
Japanese,scene_evt201208_cp0_q2_s10,detail,코쵸 시노부,星晶獣とは……,성정수라는 건...
