Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt201208_cp0_q3_s10,synopsis,,幽世の門の制御が取り戻され、リョウメンスクナによって炭治郎達の世界と空の世界が繋がる。炭治郎達は[플레이어]達と別れを告げ、門の中へと姿を消した。その後リョウメンスクナによって幽世の門は再封印され、空の世界の危機は去る。[플레이어]達は炭治郎達の無事を願いながら、旅を続けるのだった。,유세의 문을 제어할 수 있게 된 료멘스쿠나 의해 탄지로 일행의 세계와 하늘의 세계가 이어진다. 탄지로 일행은 [플레이어] 일행과 작별 인사를 하며 문 속으로 사라졌다. 그후 료멘스쿠나 의해 유세의 문은 다시 봉인되어 하늘 세계의 위기는 사라진다. [플레이어] 일행은 탄지로 일행의 무사를 기원하면서 여행을 계속한다.
Japanese,scene_evt201208_cp0_q3_s10,detail,카마도 탄지로,幽世の匂いが薄くなっていく……！,유세의 냄새가 옅어지고 있어...!
Japanese,scene_evt201208_cp0_q3_s10,detail,아가츠마 젠이츠,<span class='scene-font-4'>ねぇどうなの！？</span><br>これで大丈夫なの！？,"<span class='scene-font-4'>저기, 어때?</span> 이거면 된 거야?"
Japanese,scene_evt201208_cp0_q3_s10,detail,<span class='scene-font-1'>성정수 료멘스쿠나</span>,……見つけた。<br>これがお主等の世界と<br>繋がる因果の糸。,...찾아냈다. 이것이 너희들의 세계와 연결되는 인과의 실.
Japanese,scene_evt201208_cp0_q3_s10,detail,하시비라 이노스케,インゲンだかイガグリだか知らねぇが<br>帰れるってことか？,잉가인지 뭔지는 몰라도 돌아갈 수 있다는 거냐?
Japanese,scene_evt201208_cp0_q3_s10,detail,<span class='scene-font-1'>성정수 료멘스쿠나</span>,然り。<br>お主等の世界へと門を繋げよう。<br>僅かな時間しか残されてはいないが……,그렇다. 너희들의 세계로 향하도록 문을 잇겠다. 아주 짧은 시간밖에 남지 않았다만...
Japanese,scene_evt201208_cp0_q3_s10,detail,<span class='scene-font-1'>성정수 료멘스쿠나</span>,お主等が潜った後、<br>我はこの身をもって門を塞ぐ。,너희들이 들어간 후 나는 이 몸을 바쳐 문을 막을 것이다.
Japanese,scene_evt201208_cp0_q3_s10,detail,카마도 탄지로,身をもって……？<br>自分の身体でってことですか！？,몸을 바쳐서...? 스스로의 몸을 봉인으로 쓰겠다는 말인가요?
Japanese,scene_evt201208_cp0_q3_s10,detail,<span class='scene-font-1'>성정수 료멘스쿠나</span>,我が身には、封印の術式が<br>組み込まれている。<br>今こそ役立てる時だ。,내 몸에는 봉인의 술식이 탑재되어 있다. 바로 지금이 그것을 사용할 때다.
Japanese,scene_evt201208_cp0_q3_s10,detail,메두사,元々の封印を組み立てなおして<br>使うことはできないの？,원래 봉인을 잘 고쳐서 쓸 수는 없는 거야?
Japanese,scene_evt201208_cp0_q3_s10,detail,<span class='scene-font-1'>성정수 료멘스쿠나</span>,不安定なこの状況を<br>最も安全に脱する方法を選ぶのみ。,불안정한 지금 상황을 가장 안정적으로 빠져나갈 수 있는 방법을 택했을 뿐이다.
Japanese,scene_evt201208_cp0_q3_s10,detail,<span class='scene-font-1'>성정수 료멘스쿠나</span>,言ったであろう、時間がないと。,"말하지 않았나, 시간이 없다고."
