Language,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_evt200729_cp6_q1_s10,7559611",synopsis,,今年も<span class='scene-font-place'>アウギュステ</span>にやってきたメグは、友人のまりっぺとまたも出会う。メグは今年も脅威が現れると確信してビーチの監視に努めていたが、ふと迷子の女の子を見つける。おどおどしたところが昔の自分に似ているようだと微笑ましく思っていたところ、ビーチに魔物が出現。メグは現場へ向かおうとするが、メグを追い越して先に魔物を撃退する少女が現れたのだった。,"올해도 <span class='scene-font-place'>아우규스테</span>에 찾아온 메구는, 친구인 마릿페와 만난다. 메구는 올해도 위협이 나타날 것이라고 확신하고, 비치의 감시를 하고 있었지만, 문득 길을 잃은 것 같이 보이는 여자아이를 발견한다. 쭈뼛쭈뼛 하고 있는 모습이 옛날의 자신과 닮았다고 생각하며 흐뭇하게 생각하고 있던 도중, 비치에 마물이 출현한다. 메구는 그 장소로 가려고하지만, 메구를 추월하고 먼저 마물을 퇴치하는 소녀가 나타나는 것이었다."
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,,<span class='scene-font-katari'>メグが灼弩火罹を倒してから</span><br><span class='scene-font-katari'>季節は廻り、</span><br><span class='scene-font-place'>アウギュステ</span><span class='scene-font-katari'>はまた夏を迎えた。</span>,"<span class='scene-font-katari'>메구가 쏘라게를 쓰러뜨린 후에도 시간은 계속 흘렀고, 아우규스테는 다시 여름을 맞이했다.</span>"
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,,<span class='scene-font-katari'>そのビーチの一角では</span><br><span class='scene-font-katari'>ひとりの女性を取り囲むように</span><br><span class='scene-font-katari'>男達が群がってなにやら騒がしい。</span>,<span class='scene-font-katari'>그런 해변가의 한 구석에서 남자들이 한 여자를 둘러싸고 소란스럽게 굴고 있었다.</span>
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,헌팅남,ねぇねぇ、いまヒマ？<br>僕と<span class='scene-font-place'>ギュステ</span>デートしませんか～？,"저기, 지금 한가해요? 나랑 규스테 데이트 어때요~?"
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,つまんない男達……,한심한 남자들...
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,헌팅남,え？,어?
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,揃いも揃って<br>女を口説くことだけが目的の<br>だらしないツラ構え……,하나같이 여자를 구슬리는 것만이 목적인 칠칠맞지 못한 얼굴들...
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,すべてを捧げられるものとか、<br>守りたいものとか、<br>そういうのを持ってない顔ね。,"모든 걸 바치겠다던가, 지켜주겠다던가. 그런 생각은 전혀 없어 보이는 얼굴이네."
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,浅いわ……,경박하긴...
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,헌팅남,…………,…………
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,,<span class='scene-font-katari'>退屈な様子のまりっぺは</span><br><span class='scene-font-katari'>ふとビーチに人影を見つけ、</span><br><span class='scene-font-katari'>パッと顔を明るくさせた。</span>,따분해 보이던 마릿페는 해변가에서 어떤 사람을 발견하더니 얼굴을 환하게 밝혔다.
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,<span class='scene-font-4'>メグ～ッ！</span>,<span class='scene-font-4'>메구~!</span>
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,메구,おっと……,이런...
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,,<span class='scene-font-katari'>まりっぺはメグの腕に抱きつき、</span><br><span class='scene-font-katari'>笑顔にゆるんだ頬を友人の肌に寄せた。</span>,<span class='scene-font-katari'>마릿페는 메구의 팔에 달라붙더니 한껏 풀어진 뺨을 친구의 살에 갖다댔다.</span>
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,久しぶり、メグ！,"오랜만이야, 메구!"
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,메구,久しぶり、まりっぺ。<br>元気にしてた？,"오랜만이야, 마릿페. 잘 지냈어?"
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,うん！<br>でもメグに会えなくて<br>アタシ超さびしかった～！,응! 그치만 메구랑 못 만나서 엄청 외로웠어~
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,最近～、やっぱアタシ、<br>地元に帰ろっかな～って思ってるの。<br>だって地元には……メグがいるし……,요즘에... 나 역시 고향으로 돌아갈까 생각중이야. 왜냐면 고향에는... 메구가 있으니까...
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,って、どーしたの？<br>そんな険しい顔で海見て。,"그런데, 어떻게 된 거야? 그렇게 심각한 얼굴로 바다를 보다니."
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,메구,監視だよ。<br>今年もなにか現れると思うんだ。,감시하는 거야. 올해도 뭔가 나타날 테니까.
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,なにかって？,뭔가라니?
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,메구,それはまだわからないけど……<br>でもひと月前は<br>カキフライとかいうのが──,그건 아직 모르겠지만... 한 달 전에는 카키후라이라는 녀석이...
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,마릿페,<span class='scene-font-4'>え～っ！</span><br>メグ、ひと月前からいたの？<br>知ってたらアタシも早く来たのに～,"<span class='scene-font-4'>뭐?</span> 메구, 한 달 전부터 있었던 거야? 알았으면 나도 빨리 왔을텐데~"
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,메구,私は大食い大会を見てただけで<br>出番はなかったけどね。<br>それよりも、あの子……,난 많이 먹기 대회를 구경하기만 했지 나가지는 않았어. 그나저나 저 아이...
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,,<span class='scene-font-katari'>メグの視線の先には</span><br><span class='scene-font-katari'>砂浜をウロウロする</span><br><span class='scene-font-katari'>女の子の姿があった。</span>,<span class='scene-font-katari'>메구의 시선 끝에는 백사장에서 우물쭈물거리는 여자아이의 모습이 보였다.</span>
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,？？？,…………,…………
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,메구,ねえ、どうしたの？<br>さっきからこの辺りを<br>行ったり来たりしてるけど。,"저기, 무슨 일이야? 아까부터 이 근처에서 왔다갔다하던데."
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,？？？,……っ！？,……！？
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,메구,もしかして迷子になったとか？,혹시 길 잃어버렸어?
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,？？？,は、はははは、はい……<br>そうなんです……海、初めてで……<br>怖くて……陽キャが……,"네, 네네네, 네에... 맞아요. 바다는, 처음인데... 무섭고... 인싸*가 사방에...<br><span class='scene-font-2 scene-font-gray'>(*陽キャ, 외향적인 사람을 뜻함)</span>"
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,메구,じゃあお姉ちゃん達に<br>探すのを手伝わせてくれない？<br>その方が早く見つけられるでしょ？,그럼 우리가 길 찾는거 도와줘도 될까? 그러면 더 빨리 찾을 수 있지 않겠어?
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,？？？,え……いいんですか？,어... 그래도 되나요?
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,메구,うん！<br>お姉ちゃん達と一緒に行こう。<br>あ、その前に名前を教えてくれる？,"그럼! 언니들이랑 같이 가자. 아, 그 전에 이름 가르쳐 줄래?"
Japanese,"scene_evt200729_cp6_q1_s10,7559611",detail,비카라,あ、ビカラです……,"아, 비카라예요..."
