Language,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_evt200729_cp0_q2_s10,7559711",synopsis,,右腕がサメの男と両足がサメの男が、今年の<span class='scene-font-place'>アウギュステ</span>の脅威だとメグは意気込む。しかし、男達はすでに帰ったという。結局、今年はなにも起きなかった。メグは遊んだだけだったので困惑するが、それこそが幼い頃から夢見ていたバカンスであることに気付く。初めて体験できたと大喜びするメグ。[플레이어]達はその様子を見て首を傾げるのだった。,"오른 팔이 상어인 남자와 양발이 상어인 남자, 그 둘이 올해의 <span class='scene-font-place'>아우규스테</span>에 찾아온 위협이라고 메구는 비장하게 생각한다. 하지만, 그 둘은 이미 돌아갔다고한다. 결국, 올해는 아무것도 일어나지 않았다. 메구는 그저 놀기만 했을뿐이라고 곤혹스러워하지만, 그것이야말로 어릴적부터 꿈꿔오던 바캉스였다는 것을 깨닫는다. 처음으로 체험했다고 크게 기뻐하는 메구. [플레이어] 일행은 그런 모습을 보며 고개를 갸웃하는 것이었다."
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,,<span class='scene-font-katari'>バカンスを終えて帰ろうとしていた</span><br><span class='scene-font-katari'>[플레이어]達のもとに、</span><br><span class='scene-font-katari'>気になる情報が舞い込んできた。</span>,<span class='scene-font-katari'>바캉스를 마치고 돌아가려고 했던 단장 일행에게 신경쓰이는 정보가 날아들어왔다.</span>
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,,<span class='scene-font-katari'>それはメグにとっては</span><br><span class='scene-font-katari'>決して無視できないものであった。</span>,<span class='scene-font-katari'>그것은 메구에게 있어 결코 무시할 수 없는 이야기였다.</span>
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,비,右腕がサメの男と……<br>両足がサメの男だってぇ！？,오른팔이 상어인 남자하고... 양 발이 상어인 남자라고?
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,셰로카르테,私も聞いた時は驚きました～<br>まさかそんな特徴を持った方が<br>メグさん以外にいるとは～,저도 처음 듣고 깜짝 놀랐어요~ 설마 그런 특징을 가진 사람이 메구 씨 말고도 있었다니~
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,메구,やっぱり来た……<br>それが私の敵なんだよ！,역시 왔구나... 그게 제 적이에요!
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,루리아,メ、メグさん？,"메, 메구 씨?"
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,메구,<span class='scene-font-2'>なるほど。</span><br><span class='scene-font-2'>そのふたりは私と同じく</span><br><span class='scene-font-2'>野良鮫を拾って手懐けたんだね。</span>,<span class='scene-font-2'>그렇군. 그 둘은 저처럼 야생 상어를 주워서 길들인 거겠군요.</span>
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,메구,それで、そのふたりは<br>どこで暴れてるの？<br>シェロさん、教えて！,"그래서, 그 둘은 어디서 날뛰고 있죠? 셰로 씨, 가르쳐 주세요!"
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,셰로카르테,いえ～、そういったことは特になく、<br>もうバカンスを終えて<br>お帰りになったそうです～,"아뇨. 딱히 날뛰고 있지는 않고, 이미 바캉스를 마치고 돌아갔다고 하던데요~"
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,메구,…………え？,…………어？
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,셰로카르테,メグさんと似ているので<br>お伝えしておこうと<br>思っただけですよ～,메구 씨하고 비슷하길래 전해 드려야겠다고 생각했을 뿐이에요~
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,비,なぁんだ。<br>じゃあ特に問題はないってことか。,뭐야. 그럼 딱히 문제는 없었던 거네.
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,셰로카르테,はい～<br>そのおふたりも<span class='scene-font-place'>アウギュステ</span>を存分に<br>楽しんでいらっしゃったそうで～,네에~ 그 두 사람도 신나게 아우규스테를 즐기고 가신 모양이에요~
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,메구,えっと……,어...
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,루리아,うふふ、よかったですね。,"헤헤, 다행이네요."
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,비,大食い大会が終わってからは<br>のんびり過ごせたな～,많이 먹기 대회가 끝난 후로는 느긋하게 잘 지냈네~
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,페리,平和でなによりだ。<br>いい休暇になってよかった。,평화로운 게 제일이지. 좋은 휴식이었어.
Japanese,"scene_evt200729_cp0_q2_s10,7559711",detail,아니라,そうじゃのう、<br>骨休めにはうってつけじゃった。,그렇다네. 휴양하기에 딱 좋았지.
