Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt210129_cp0_q1_s10,synopsis,,あるところに、ひとりの小さな女の子がいた。攫われて監禁された女の子は、実験体として扱われるも、隣の部屋にいる誰かに声を掛け励まし続けることで己を支えていた。隣の部屋にいたのは実験で元の姿も自我も失った「なにか」だったが、ついに女の子の命が消えるというその時、「なにか」に自我が戻り、その身体の一部を女の子に分け与えることで女の子を救うのだった。,"어느 곳에 한 어린 여자아이가 있었다. 유괴되어, 감금된 여자아이는 실험체로 취급당해도 옆방에 있는 누군가에게 말을 걸어 계속 격려하는 것으로 자신을 지탱하고 있었다. 옆방에 있었던 것은 실험으로 원래의 모습도 자아도 잃은 '무엇인가'였지만 마침내 여자의 생명이 사라지자 '무엇인가'는 자아가 돌아와 그 신체의 일부를 여자에게 나눠줌으로써 여자아이를 구하는 것이었다."
Japanese,scene_evt210129_cp0_q1_s10,detail,,<span class='scene-font-katari'>それは昔、昔のこと。</span><br><span class='scene-font-katari'>今ではないいつか、</span><br><span class='scene-font-katari'>ここではないどこかでの物語。</span>,"<span class='scene-font-katari'>먼, 아주 먼 옛날. 지금이 아닌 언젠가, 이곳이 아닌 어딘가에서 있었던 이야기.</span>"
Japanese,scene_evt210129_cp0_q1_s10,detail,,<span class='scene-font-katari'>あるところに、</span><br><span class='scene-font-katari'>小さな女の子がいました──</span>,<span class='scene-font-katari'>어느 곳에 작은 여자아이가 살고 있었습니다.</span>
Japanese,scene_evt210129_cp0_q1_s10,detail,？？？,──……,──……
Japanese,scene_evt210129_cp0_q1_s10,detail,,<span class='scene-font-katari'>陽の差さぬ冷たい部屋へ</span><br><span class='scene-font-katari'>拐かされて</span><br><span class='scene-font-katari'>彼女は寒さと恐怖に怯えていました。</span>,<span class='scene-font-katari'>빛이 들지 않는 작은 방 안에 끌려온 소녀는 추위와 공포에 떨고 있었습니다.</span>
Japanese,scene_evt210129_cp0_q1_s10,detail,？？？,ぐすっ……,훌쩍...
Japanese,scene_evt210129_cp0_q1_s10,detail,,<span class='scene-font-katari'>けれど、その耳に。</span><br><span class='scene-font-katari'>小さな物音が届いたのです。</span>,<span class='scene-font-katari'>하지만 그녀의 귀에 작은 소리가 들려왔습니다.</span>
Japanese,scene_evt210129_cp0_q1_s10,detail,？？？,ひゃっ……！,꺄악....!
Japanese,scene_evt210129_cp0_q1_s10,detail,？？？,おとなりの部屋……？<br>だれか……いるの、かな……,옆방...? 누가 있는 걸까...?
Japanese,scene_evt210129_cp0_q1_s10,detail,？？？,あの……だれか、いますか……？,저기... 누구 계세요?
