Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt210129_cp6_q1_s10,synopsis,,クスキは己の機能を使ってシンシャから無理やり魔力を引きずり出すも、ネクタルが一瞬の隙を突いてクスキを気絶させる。しかし[플레이어]達が青願堂へ乗り込もうと歩を進めたその時、突如どこからか攻撃が飛んでくる。元の粘体の姿となって、間一髪一行を庇い倒れ伏すネクタル。そこに現れたのは、怒りに燃えるゴブリンプリンセスだった。,"쿠스키는 자신의 기능을 이용해 신샤로부터 억지로 마력을 끌어내지만, 넥타르가 한순간의 틈을 타 쿠스키를 기절시킨다. 그러나 [플레이어] 일행이 청원당으로 들어서기 위해 걸음을 옮기는 순간, 갑자기 어디선가 공격이 날아든다. 원래의 액체 형상이 되어, 아슬아슬한 일행을 감싸고 쓰러지는 넥타르. 거기에 나타난 것은, 분노에 불타는 고블린 프린세스였다."
Japanese,scene_evt210129_cp6_q1_s10,detail,,<span class='scene-font-katari'>昔も今も、関係ない。</span><br><span class='scene-font-katari'>誰だって自分の一番ってのが</span><br><span class='scene-font-katari'>あるもんだろう？</span>,<span class='scene-font-katari'>옛날이건 지금이건 상관없어. 누구에게든 가장 중요한 게 있는 거잖아?</span>
Japanese,scene_evt210129_cp6_q1_s10,detail,,<span class='scene-font-katari'>一番と二番がぶつかりゃあ、</span><br><span class='scene-font-katari'>一番を取るのが当然さ。</span><br><span class='scene-font-katari'>だからこその一番なんだ。</span>,<span class='scene-font-katari'>1번과 2번이 충돌하면 1번을 택하는 게 당연하지. 그러니까 1번인 거고. </span>
Japanese,scene_evt210129_cp6_q1_s10,detail,,<span class='scene-font-katari'>ああ、そうだ、一番だ。</span><br><span class='scene-font-katari'>俺の一番はご主人様さ。</span><br><span class='scene-font-katari'>なにせ犬なんだからよ。</span>,"<span class='scene-font-katari'>그래, 맞아. 1번. 내 1번은 주인님이야. 그야 개인걸.</span>"
Japanese,scene_evt210129_cp6_q1_s10,detail,,<span class='scene-font-katari'>犬は主人を選ばねぇ。</span><br><span class='scene-font-katari'>選ぶのはご主人様の方と</span><br><span class='scene-font-katari'>決まってるんだ。当然な。</span>,<span class='scene-font-katari'><span class='scene-font-katari'>개는 주인을 고르지 않아. 고르는 건 주인 쪽인 걸로 정해져 있지. 당연하잖아.</span></span>
Japanese,scene_evt210129_cp6_q1_s10,detail,,<span class='scene-font-katari'>やれやれだよな。</span>,<span class='scene-font-katari'>한숨이 나오는군.</span>
Japanese,scene_evt210129_cp6_q1_s10,detail,쿠스키,シッテルダロ、オレノキノウ……<br>シンシャカラ、<br>マリョクヲヒキズリダス……！,"내 기능이 뭔지, 알고 있을 텐데... 신샤에게서, 마력을 쥐어짜는 것...!"
Japanese,scene_evt210129_cp6_q1_s10,detail,쿠시나,…………！！<br><span class='scene-font-kokoro'>（やめて！ やめてよクスキ！</span><br><span class='scene-font-kokoro'>それはシンシャが苦しむの！）</span>,"…………！！<br><span class='scene-font-kokoro'>(그만, 그만둬 쿠스키! 그러면 신샤가 괴로워할 거야!)</span>"
Japanese,scene_evt210129_cp6_q1_s10,detail,쿠시나,…………！<br><span class='scene-font-kokoro'>（シンシャが汲み出す魔力は無限でも</span><br><span class='scene-font-kokoro'>シンシャの体力はそうじゃない……！）</span>,…………！！<br><span class='scene-font-kokoro'>(신샤가 퍼올리는 마력은 무한대라고 해도 체력은 그렇지 않아...)</span>
Japanese,scene_evt210129_cp6_q1_s10,detail,쿠스키,ヤレヤレダ！<br>テキニコウナ、テキヲコロセ！<br>……トメタケレバナ！,"웃기는군! 적에게 애원하지 마라, 적을 죽여! ...막고 싶다면 말야!"
