Language,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_evt200829_cp3_q1_s10,7569311",synopsis,,子供の頃、ベンヴォーリオは活発に走り回るロミオとマキューシオの仲間に入れないでいた。しかし代わりに勉学に励み、いつかロミオの役に立つという未来を信じていた。そして時が流れた現在。自宅で戯曲を書くロミオのもとに、ある人物が訪ねて来るのだった。,"어릴 적, 벤볼리오는 활발하게 뛰어노는 로미오와 머큐시오의 동료에 끼지 않고 있었다. 하지만 그 대신 공부에 전념하여, 언젠가 로미오에게 도움이 되는 미래를 믿고있었다. 그리고 시간이 흘러 현재. 자택에서 희곡을 쓰고 있던 로미오의 곁에 어떤 인물이 찾아오는 것이었다."
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,,<span class='scene-font-katari'>それはまだ幼い日。</span><br><span class='scene-font-katari'>待ち受ける過酷な運命を、</span><br><span class='scene-font-katari'>誰も知らなかった頃──</span>,<span class='scene-font-katari'>아직 어렸을 때였다. 언젠가 닥쳐올 가혹한 운명을 아직 아무도 알지 못하던 때...</span>
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,머큐시오,おいロミオ！<br>さっさと来い！<br>はやくはやく！,"어이, 로미오! 빨리 와! 빨리빨리!"
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로미오,ちょっと待ってくれ、マキューシオ！<br>城の中でそんなに走ったら<br>父上に叱られてしまう！,"잠깐 기다려, 머큐시오! 성 안에서 그렇게 달리면 아바마마한테 혼난단 말이야!"
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,머큐시오,わかってるさ。<br>だから、怒られないように<br>急いでるんだろ！,그야 알지. 그러니까 혼나지 않게 빨리 가자고!
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로미오,なんだその理屈は……！,무슨 논리가 그래...!
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,,<span class='scene-font-katari'>軽やかな足音を響かせて</span><br><span class='scene-font-katari'>ふたりの少年が</span><br><span class='scene-font-katari'>駆け抜けて行ったその後。</span>,<span class='scene-font-katari'>경쾌한 발소리를 울리며 두 사람의 소년이 달려나간 직후였다.</span>
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,……はぁ。,...하아.
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,あーあ。<br>また声をかけられなかったのね。,아~ 이런. 이번에도 말 못 걸었구나?
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,べ、別に僕は……,"저, 저는 별로..."
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,ロミオ様をあんな風に振り回す<br>マキューシオもマキューシオだけれど、<br>貴方も貴方よ。,"로미오님을 저렇게 휘두르고 다니는 머큐시오도 문제지만, 당신도 문제야."
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,仲間に入れて欲しいなら<br>ちゃんと声に出して言わないと。<br>気が付いてもらえないわよ？,같이 놀고 싶으면 제대로 얘기를 해야지. 얘기 안하면 눈치도 못 챌걸?
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,本当にいいんです。僕があそこに<br>混ざっても、マキューシオに<br>ついて行けるとは思えないし……,정말 괜찮아요. 제가 저기 끼어봤자 머큐시오를 따라다닐 수 있을 리가 없으니...
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,足を引っ張るのは嫌ですから。,괜히 발목잡는 건 싫은걸요.
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,まぁ、そうかもしれないわね。<br>貴方、ちょっとドン臭いから……,"뭐, 그것도 그렇긴 하네. 당신은 좀 둔한 편이니까..."
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,自分でちゃんとわかってます……<br>でも、いいんだ。,저도 잘 알고 있어요... 그래도 괜찮아요.
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,,<span class='scene-font-katari'>ベンヴォーリオは、数冊の書物を</span><br><span class='scene-font-katari'>抱える腕に力を込めた。</span>,<span class='scene-font-katari'>벤볼리오는 몇 권이나 되는 책을 끼고 있던 팔에 힘을 주었다.</span>
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,僕は、僕にできることをしますから。,"저는, 제가 할 수 있는 일을 할 테니까요."
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,貴方にできること、か……<br>それ、また難しい政治や経済の本？,당신이 할 수 있는 일이라... 그거 이번에도 어려운 정치랑 경제학 책이야?
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,はい。<br>前のは読み終わってしまったから、<br>新しいものを書庫から借りてきました。,네. 전에 빌린 책들은 다 읽어서 서고에서 새로운 책을 빌려왔어요.
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,相変わらずすごいわね。<br>大人でも読まないような<br>難しそうなのばっかり……,항상 대단하다. 어른들도 읽기 힘들만큼 어려운 책들만 잔뜩...
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,あら？ でも、それはなんだか<br>他のと違うみたい……<br>綺麗な本ね。,어라? 그런데 이건 뭔가 다른 책하고 다르네? 예쁜 책이다.
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,,<span class='scene-font-katari'>ロザリンドは、一番上に乗った本の</span><br><span class='scene-font-katari'>繊細な装飾を指でなぞる。</span>,<span class='scene-font-katari'>로잘린드는 가장 위에 놓여져 있던 섬세한 장식의 책표지를 손가락으로 만져 보았다.</span>
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,これは、サオウの戯曲集です。,이건 사오의 희곡집이에요.
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,サオウ……？,사오...?
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,有名な劇作家です。この前来ていた<br>演劇艇で上演されていたのも<br>サオウの戯曲なんですよ。,유명한 극작가예요. 얼마 전에 왔던 연극정에 올라왔던 작품도 사오의 희곡이었죠.
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,へぇ、演劇艇……<br>貴方、お芝居なんて見るの？,"오호, 연극정이라... 당신 연극같은 것도 봐?"
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,一度見ただけですけど……<br>他のも見てみたいなぁと<br>思ってます。,딱 한 번 봤을 뿐이지만... 다른 것들도 볼 수 있었으면 좋겠네요.
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,でも、次に演劇艇が来るのは<br>まだまだ先だから、城にあるもの<br>だけでも読んでおきたくて。,"하지만 다음에 연극정이 오는 건 한참 멀었으니까, 성에 있는 것만이라도 읽어두고 싶어서요."
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,勉強ばかりの貴方が珍しいわね。<br>一度見ただけのお芝居に<br>そんなにも夢中になるなんて。,공부에만 열심인 당신치고는 별일이네. 딱 한 번 봤을 뿐인 연극에 그렇게 열중하다니 말야.
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,確かに一度見ただけなんだけど、<br>それだけじゃなくて……,"물론 한 번 봤을 뿐이지만, 그래서만은 아니고..."
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로잘린드,それだけじゃなくて、なぁに？,"그래서만이 아니라니, 그럼 뭔데?"
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,……ううん、なんでもないです。,"...아뇨, 아무 것도 아니에요."
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,벤볼리오,<span class='scene-font-2'>……あれは、ふたりだけの秘密だから。</span>,<span class='scene-font-2'>...그건 우리 둘만의 비밀이니까.</span>
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,,<span class='scene-font-katari'>焦燥も憧憬も、全部胸に抱き締めて、</span><br><span class='scene-font-katari'>少年は輝かしい未来を、</span><br><span class='scene-font-katari'>ただ信じていた。</span>,"<span class='scene-font-katari'>초조함과 동경은 전부 가슴에 묻은 채, 소년은 그저 빛나는 미래가 오기만을 믿고 있었다.</span>"
Japanese,"scene_evt200829_cp3_q1_s10,7569311",detail,로미오,ん……いや、違うな。<br>この人物はまだこのシーンでは……,"음... 아냐, 이게 아냐. 이 인물은 아직 이 장면에 나오기엔..."
