Language,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_evt200829_cp0_q2_s10,7569711",synopsis,,ロミオがベンヴォーリオの意識を引き戻すことで守護精霊は消滅する。それぞれが被害確認などの対応に追われる中、別れ際にロミオとジュリエットは見つめ合い、共に生きる未来を確かめ合う。その後、地下組織と繋がっていた議会委員も摘発され、事態は一件落着。ベンヴォーリオは議会員を続けながらローズ座の役者となり、ロミオが書いた戯曲を演じるのだった。,"로미오가 벤볼리오의 의식을 되돌리는 것으로 수호정령이 소멸한다. 각자가 피해확인 등의 대응으로 바쁜 와중, 헤어지기 직전 로미오와 줄리엣은 서로를 바라보며, 함께 살게될 미래를 다짐한다. 그 후, 지하조직과 연결되어있던 의회위원도 발각되어, 사태는 일단락. 벤볼리오는 의회위원을 계속하면서도 로즈극장에서의 배우가 되어, 로미오가 쓴 희곡을 연기하는 것이었다."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,今年は少し雨が多すぎたからな……<br>穀物貯蔵の倉庫がいくつかやられた。,올해는 비가 좀 많이 왔지. 곡물 저장고를 몇 개나 잃었어.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,머큐시오,今後の為にも倉庫の移築と<br>補強は急務ですねぇ。,앞으로를 위해서라도 창고 위치의 이동과 보강이 급선무겠군요.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,作業には多くの人手が必要だ。<br>軍を動かせればいいんだが……,작업에는 일손이 많이 필요하다. 군대를 움직일 수 있다면 좋을 텐데...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,머큐시오,今の軍規じゃあ、すぐに……<br>とはいきませんね。,지금 군기 상태로는 빠르게 해치우기 힘들겠어요.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,머큐시오,神王軍も、他国やキャピュレットとの<br>喧嘩のためじゃなく、早いところ<br>内政の役に立つ組織にしないと。,신왕군도 타국이나 캐퓰렛과의 싸움을 위해서가 아닌 내정에 도움되는 조직으로 어서 바뀌어야 할 텐데요.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,期待しているよ、<br>マキューシオ指揮官殿。,"기대하지, 머큐시오 지휘관."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,머큐시오,身に余るお言葉。,분에 넘치는 말씀.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,軍を動かせないにしても<br>食料問題は差し迫っている。<br>どこから手をつけるか……,군대를 움직이지 않는다고 해도 식량 문제는 급박한 문제야. 어디서부터 손을 대야 할지...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,머큐시오,その辺りは俺より……<br>ベンヴォーリオ！,그런 거라면 저보다도... 벤볼리오!
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,……え？,...네?
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,머큐시오,お前……<br>何ぼーっとしてるんだ。,너... 왜 또 멍하니 있냐.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,どうした？<br>体調でも悪いのか？,왜 그러지? 어디 몸이라도 안 좋은가?
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,いえっ！<br>すみません！<br>僕は元気です！,아뇨! 죄송합니다! 저는 멀쩡합니다!
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,머큐시오,はははっ！<br>どうしたんだよ、らしくないな。<br>立ったまま寝てたのか？,"으하하! 어떻게 된 거야, 답지 않게. 선 채로 졸기라도 했어?"
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,すみません……あの、何の話……,"죄송합니다... 저기, 무슨 이야기였나요?"
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,長雨による、穀物貯蔵庫の<br>浸水の件だ。<br>かなりの備蓄が駄目になった。,비가 길어진 탓에 곡물 저장고가 침수된 것에 대해서다. 꽤 많은 비축분을 잃었지.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,ああ、その件ですね。<br>緊急で輸入量を増やすほか<br>ありませんが……,"아, 저장고 말씀이시군요. 급하게 수입량을 늘릴 수밖에 없겠습니다만..."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,取引する国を選定し、<br>うまく交渉します。,거래할 만한 나라를 선별하여 잘 교섭해 보겠습니다.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,どうしても市場流通価格が少しは<br>上がってしまうでしょうが……<br>なんとか最低限に抑えてみせます。,그렇게 해도 시장 유통가는 어느 정도 오르겠지만... 가능한 한 최저치로 막아내 보죠.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,わかった。<br>要綱ができたら議会に上げよう。<br>僕が後押しする。,알겠다. 대략적 계획안이 완성되면 의회에 상정하자. 내가 힘을 실어주겠다.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,ありがとうございます！,감사합니다!
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,머큐시오,まあ、ベンヴォーリオのやることなら<br>間違いないだろうさ。,"뭐, 벤볼리오가 하는 일이라면 확실하겠지."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,ああ、信頼している。,그래. 너의 판단을 믿는다.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,ロミオ様……！,로미오님...!
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,머큐시오,俺とベンヴォーリオがいれば<br>モンタギューの未来は安泰、ってな。,나하고 벤볼리오만 있으면 몬타규의 미래는 탄탄대로구만.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,え……僕は！？,뭐...? 나는!
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,ロミオ様は全ての中心の<br>柱に決まっています！,로미오님은 당연히 모든 것의 중심이 되는 기둥이시죠!
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,머큐시오,<span class='scene-font-4'>はははっ！</span><br>そういうこと。<br>拗ねるな拗ねるな！,"<span class='scene-font-4'>으하하하!</span> 그런 거지. 에이, 삐지지 마!"
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,<span class='scene-font-4'>別に拗ねてはいない！</span>,<span class='scene-font-4'>삐진 거 아니거든!</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,<span class='scene-font-kokoro'>（ああ、僕は夢を見ている……）</span>,<span class='scene-font-kokoro'>(아아... 나는 꿈을 꾸고 있구나...)</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,<span class='scene-font-kokoro'>（マキューシオは死んだ。</span><br><span class='scene-font-kokoro'>モンタギューも、神王軍も既になく、</span><br><span class='scene-font-kokoro'>ロミオ様も神王ではない……）</span>,"<span class='scene-font-kokoro'>(머큐시오는 죽었어. 몬타규도 신왕군도 이미 없어졌고, 로미오님도 신왕이 아냐...)</span>"
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,<span class='scene-font-kokoro'>（これは、僕が何度も思い描き</span><br><span class='scene-font-kokoro'>心の支えにしてきた夢物語）</span>,<span class='scene-font-kokoro'>(이건 내가 몇 번이나 상상하면서 마음의 버팀목으로 삼았던 꿈 같은 이야기...)</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,<span class='scene-font-kokoro'>（……叶うことのなかった未来）</span>,<span class='scene-font-kokoro'>(이룰 수 없었던 미래야. )</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,<span class='scene-font-kokoro'>（ただの未練だ……）</span>,<span class='scene-font-kokoro'>(그저 미련이지...)</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,もう、どこにもない……,이제 그 어디에도 없는...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,ベンヴォーリオ……<br>ベンヴォーリオ！,벤볼리오... 벤볼리오!
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,まだ僕の声は届くだろうか……<br>君を酷く傷つけてしまった僕の声が。,아직 내 목소리가 들리나? 네게 크나큰 상처를 주고 만 내 목소리가 말이다.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,<span class='scene-font-kokoro'>（ロミオ様の声がする……</span><br><span class='scene-font-kokoro'>これも夢だろうか）</span>,<span class='scene-font-kokoro'>(로미오님의 목소리가 들려... 이것도 꿈인 걸까)</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,負けないでくれ、ベンヴォーリオ。<br><span class='scene-font-4'>聞いてくれ！</span>,"지지 마라, 벤볼리오. <span class='scene-font-4'>내 말을 들어 다오!</span>"
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,<span class='scene-font-kokoro'>（夢なら、僕の懺悔も</span><br><span class='scene-font-kokoro'>届けばいいのに……）</span>,"<span class='scene-font-kokoro'>(만약 꿈이라면, 내 참회도 전해지면 좋을 텐데)</span>"
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,ロミオ様、ごめんなさい。<br>ごめんなさい……,로미오님. 죄송해요. 죄송해요...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,どうして君が謝る？<br>そんな必要はないよ、ベンヴォーリオ。,"왜 네가 사과하는 거지? 그럴 필요 없어, 벤볼리오. "
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,僕は、自分の勝手な夢を<br>貴方に押し付けた。,저는 제 이기적인 꿈을 위해 당신을 몰아붙였어요.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,役に立ちたかったはずなのに、<br>こんなことになって……,그저 당신을 돕고 싶을 뿐이었는데 이렇게 되다니...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,……ベンヴォーリオ、<br>僕は君にお礼が言いたいんだ。,...벤볼리오. 나는 네게 감사하고 싶다. 
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,お礼……？<br>貴方が僕に……何故……？,감사라고요...? 당신이 내게...? 어째서?
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,ベンヴォーリオ、君は<br>僕の為に、と言ってくれた。,벤볼리오. 너는 날 위해서라고 말해 줬지.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,王子として、王として……僕は<br>モンタギューの為に何も<br>できなかったと思っていたけれど……,"왕자로서, 왕으로서. 나는 몬타규를 위해 아무 것도 하지 못했다고 생각했지만..."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,君だけはそんな僕を、<br>ロミオ・モンタギューを<br>肯定してくれたんだ。,"너만은 그런 나를, 로미오 몬타규를 긍정해 주었다."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,過去は変えられない。<br>失われた日々は決して戻っては来ない。,과거는 바꿀 수 없어. 잃어버린 나날은 결코 돌아오지 않는다.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,けれど君のお陰で、僕は<br>後悔だけを抱えて進んでいかなくても<br>いいのだと思えたんだ。,하지만 네 덕분에 나는 후회만을 짊어지고 앞으로 나아갈 필요가 없다고 생각하게 됐다. 
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,ロミオ様、僕は……,"로미오님, 저는..."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,戻って来い、ベンヴォーリオ。<br>未来を紡いでいくのは──,"돌아와라, 벤볼리오. 미래를 이어나가는 것은..."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,국왕의 수호정령,<span class='scene-font-gray'>──……</span>,<span class='scene-font-gray'>──……</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,루리아,国王の守護精霊が！,국왕의 수호정령이!
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,비이,やったぜ！<br>消えた！,해냈어! 사라졌어!
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,はぁ……ベンヴォーリオ……,하아... 벤볼리오...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,う、ぅん……,"으, 으..."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,よかった……息があります。,다행이야... 숨을 쉬고 있어요.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,まだ目は覚まさないが、<br>もう大丈夫だな。,아직 눈을 뜨지는 못하지만 이제 괜찮을 거야.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,…………,…………
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,,<span class='scene-font-katari'>静かな吐息をもらすベンヴォーリオの</span><br><span class='scene-font-katari'>額に手をあて、ロミオは</span><br><span class='scene-font-katari'>ほっとしたように肩の力を抜いた。</span>,<span class='scene-font-katari'>조용히 숨을 내쉬는 벤볼리오의 이마에 손을 올린 로미오는 안도한 듯 어깨에서 힘을 풀었다.</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,파리스,……被害の確認をしなければ。,...피해 상황을 확인해야겠군.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,はい、そうですね。ロザリンドと<br>アントニーさんのお陰で、目につく<br>限り怪我人はいないようですが……,"네, 그래야겠네요. 로잘린드와 안토니 씨 덕분에 눈에 띄는 부상자는 없는 것 같지만요."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,파리스,建物に被害が出ています。<br>兵士を動かして、すぐに下敷きに<br>なった人がいないか確認させましょう。,건물이 피해를 입었습니다. 병사들을 풀어서 즉시 그 밑에 깔린 사람이 없는지 확인시키도록 하죠.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,ええ、お願いします。<br>私も一度城に戻り、<br>今後の為に準備をします。,"네, 부탁드립니다. 저도 일단 성에 돌아가 앞으로의 일을 준비하겠습니다."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,ベンヴォーリオもゆっくり休める<br>ところへ運ばなければ……,벤볼리오도 편히 쉴 수 있도록 어딘가에 옮겨야 할 텐데...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,루리아,それじゃあ、私達が！,그럼 저희가 할게요!
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,비이,ああ、オイラ達も手伝うぜ！<br>何でも言ってくれよ！,"응, 우리가 돕자! 뭐든지 말만 해!"
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,ありがとうございます。<br>お願いしますね。,감사합니다. 그럼 부탁드릴게요.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,それから……,그리고...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,,<span class='scene-font-katari'>ジュリエットは、戸惑うように</span><br><span class='scene-font-katari'>ちらりとロミオへと視線を投げた。</span>,<span class='scene-font-katari'>줄리엣은 망설이듯이 로미오 쪽을 향해 흘깃 시선을 보냈다.</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,……人が集まって来る前に<br>僕はもう行くよ。,...사람들이 몰려들기 전에 나는 이만 가보겠어.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,…………,…………
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,ありがとうございます、ロミオ。<br>貴方のお陰で、ベンヴォーリオを<br>失わずにすみました。,"감사합니다, 로미오. 당신 덕분에 벤볼리오를 잃지 않을 수 있었어요."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,いや……,아냐...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,,<span class='scene-font-katari'>ふたりは、暫し見つめ合う。</span>,<span class='scene-font-katari'>두 사람은 한동안 서로의 눈동자를 응시했다.</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,……ジュリエット、<br>僕はまだ、君に手を伸ばすことが<br>許されるだろうか。,...줄리엣. 나에게 아직도 네 손을 잡을 자격이 있을까?
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,君との未来を、僕は……,"너와의 미래를, 나는..."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,…………,…………
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,,<span class='scene-font-katari'>小さく肩を震わせた後、</span><br><span class='scene-font-katari'>ジュリエットは穏やかに微笑む。</span>,<span class='scene-font-katari'>줄리엣의 어깨가 가늘게 떨렸다. 이윽고 그녀는 온화하게 미소지었다.</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,ええ、きっと。<br>私、待っています。<br>いいえ……,"네, 그럼요. 기다리고 있을게요. 아니지..."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,줄리엣,待っていて下さい、ロミオ。,"기다리고 계세요, 로미오."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,,<span class='scene-font-katari'>しっかりとそう言ったジュリエットは</span><br><span class='scene-font-katari'>くるりとロミオに背を向ける。</span>,<span class='scene-font-katari'>확신에 찬 말투로 그렇게 말한 줄리엣은 로미오에게서 등을 돌렸다.</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,로미오,ああ……<br>待っているよ、ジュリエット。,"그래... 기다리고 있을게, 줄리엣."
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,,<span class='scene-font-katari'>そしてまたヴェローナに</span><br><span class='scene-font-katari'>いくつかの季節が訪れて、去った。</span>,<span class='scene-font-katari'>베로나에 몇 번인지도 모를 계절이 찾아왔다간 떠났을 즈음이었다.</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,안토니,戦いは終わった……<br>終わらせたのは君だ。,싸움은 끝났다... 그것을 끝낸 것은 너다.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,,<span class='scene-font-katari'>ローズ座では、サオウ待望の新作が</span><br><span class='scene-font-katari'>上演初日を迎えていた。</span>,<span class='scene-font-katari'>로즈 극장에서는 사오가 쓴 대망의 신작이 상연 첫날을 맞이하고 있었다.</span>
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,안토니,愚かな僕達が、<br>相手の全てを叩き壊してしまわずに<br>済んだのは……,어리석은 우리들이 상대방의 모든 것을 파괴하지 않은 채 끝낼 수 있었던 것은...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,안토니,この大地の全てが塵で覆われる前に<br>踏みとどまれたのは……,이 대지의 모든 것이 먼지로 변하기 전에 멈출 수 있었던 것은...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,안토니,君がいたからだ。,네가 있었던 덕분이다.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,안토니,お陰で、来年もまた<br>あの白い花が美しく咲くのを<br>見ることができるだろう。,그 덕에 내년에도 다시 그 하얀 꽃이 아름답게 피어나는 것을 볼 수 있겠지.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,안토니,ああ、我が友よ……<br>あとは君さえここにいてくれたら！,"아아, 내 벗이여... 만약 너만 이곳에 있었다면! "
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,？？？,そんなに涙を流していては、<br>争いの終わった美しい空が<br>見えないだろう？,그렇게 눈물을 흘리고 있으면 이제 다툼과 멀어진 아름다운 하늘이 보이지 않을 텐데?
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,안토니,ああ……その声は……,아아... 그 목소리는...
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,君が呼ぶから、<br>幽世から戻ってきてしまったよ。,네가 나를 불렀기에 유세에서 되돌아와 버렸어.
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,안토니,<span class='scene-font-4'>ああ、我が友！</span><br>もう一度君に会えるとは……！,"<span class='scene-font-4'>아아, 내 벗이여!</span> 다시 한 번 너를 만나게 되다니...!"
Japanese,"scene_evt200829_cp0_q2_s10,7569711",detail,벤볼리오,私も君に会いたかったよ、親友殿。<br>君と一緒に、あの白い花をまた見たい。,"나도 너를 만나고 싶었다, 친우여. 너와 함께 다시 그 하얀 꽃을 보고 싶어."
