Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt220228_cp0_q1_s10,synopsis,,グランサイファーでいつも通りの旅を続けていた[플레이어]達。しかし突如、仲間であるはずのゾーイが[플레이어]に武器を向けた。その理由を「[플레이어]が世界の敵だからだ」と告げ、ゾーイは容赦なく[플레이어]へ攻撃を放つ。ゾーイの目的は自分だけだと悟った[플레이어]は仲間達を遠ざけ、ゾーイの放った光に貫かれ命を落とすのだった。,"그랑사이퍼에서 평소대로 여행을 계속하고 있던 [플레이어] 일행. 그러나 갑자기 동료였던 조이가 [플레이어]에게 무기를 들이댔다. 그 이유를 「[플레이어]가 세계의 적이기 때문이다」 라고 말한 조이는 가차 없이 [플레이어]를 공격한다. 조이의 목적은 자신뿐임을 깨달은 [플레이어]는 동료 들과 거리를 두고, 조이가 쏜 빛에 관통당해 목숨을 잃는 것이었다."
Japanese,scene_evt220228_cp0_q1_s10,detail,？？？,世界の均衡が崩れる可能性が<br>生まれた時、<br>私は顕現する……,나는 세계의 균형이 무너질 가능성이 생겨났을 때 현현한다...
Japanese,scene_evt220228_cp0_q1_s10,detail,ビィ,おい……<br>これはどういうことなんだよ！？,아니... 이게 대체 어떻게 된 건데?
Japanese,scene_evt220228_cp0_q1_s10,detail,,<span class='scene-font-katari'>それは、いつも通りの</span><br><span class='scene-font-katari'>旅の一日のはずだった。</span>,<span class='scene-font-katari'>그날은 평소와 다름없는 하루였다.</span>
Japanese,scene_evt220228_cp0_q1_s10,detail,,<span class='scene-font-katari'>空はどこまでも蒼く、広く、</span><br><span class='scene-font-katari'>果てしなく。</span>,<span class='scene-font-katari'>하늘은 끝없이 푸르고 넓게 펼쳐져 있었고</span>
Japanese,scene_evt220228_cp0_q1_s10,detail,,<span class='scene-font-katari'>風は心地よい強さで、</span><br><span class='scene-font-katari'>グランサイファーの甲板を</span><br><span class='scene-font-katari'>駆け抜けていた。</span>,<span class='scene-font-katari'>기분 좋은 정도의 바람이 그랑사이퍼의 갑판을 스치고 있었다.</span>
Japanese,scene_evt220228_cp0_q1_s10,detail,,<span class='scene-font-katari'>けれど──</span>,<span class='scene-font-katari'>그러나...</span>
Japanese,scene_evt220228_cp0_q1_s10,detail,？？？,世界に仇なす傲慢、<br>我が蒼き意思をもって断罪する。,"세계를 적으로 돌린 그 오만, 나의 푸른 의지로 단죄하겠다."
Japanese,scene_evt220228_cp0_q1_s10,detail,ルリア,断罪って……待ってください！<br>どうしちゃったんですか！？<br>ゾーイちゃん！,"단죄라뇨... 조이쨩, 잠깐만요! 대체 어떻게 된 건가요!"
Japanese,scene_evt220228_cp0_q1_s10,detail,ゾーイ,…………,…………
