Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt210226_cp0_q1_s10,synopsis,,月の末裔と繋がりを持つ組織の兵が一行にもたらした、アイザックの通信記録。そこには脳を摘出されたカシウスと、アイザックの苦悩が映し出されていた。アイザックによれば、機神を使えば空から月まで辿り着けるという。一行はアイザックのメッセージを頼りに、カシウス達を救出すべく動き出すのだった。,"달의 후예를 알고있는 조직의 병사가 일행에게 가져다준 아이작의 통신기록. 거기에는 뇌가 적출된 카시우스와 아이작의 고뇌가 비춰지고 있었다. 아이작에 의하면, 기신을 사용하면 하늘에서 달까지 올 수 있다고 한다. 일행은 아이작의 메세지에 따라 카시우스들을 구출하기 위해 움직이기 시작하는 것이었다."
Japanese,scene_evt210226_cp0_q1_s10,detail,아이작,<span class='scene-font-gray'>あー……メーデー、メーデー</span><br><span class='scene-font-gray'>月の末裔のみんな、</span><br><span class='scene-font-gray'>誰か聞こえるかい？</span>,"<span class='scene-font-gray'>아... 메이데이. 메이데이. 달의 후손 여러분, 누구 듣고 있는 사람 없나?</span>"
Japanese,scene_evt210226_cp0_q1_s10,detail,아이작,<span class='scene-font-gray'>ああ、届いてればいいなあ。</span><br><span class='scene-font-gray'>これを聞いてる君。君に多少でいい、</span><br><span class='scene-font-gray'>親切心がある事を祈るよ。</span>,<span class='scene-font-gray'>하아... 전해진다면 좋겠는데. 이걸 듣고 있는 너. 네게 조금이라도 좋으니까 친절함이 남아 있기를.</span>
Japanese,scene_evt210226_cp0_q1_s10,detail,아이작,<span class='scene-font-gray'>[플레이어]、ゼタ、バザラガ、</span><br><span class='scene-font-gray'>ベアトリクス、ユーステス、イルザ……</span><br><span class='scene-font-gray'>もう、この際グレイスでもいい。</span>,"<span class='scene-font-gray'>[플레이어], 제타, 바자라가, 베아트릭스, 유스테스, 일자... 아니, 아예 그레이스한테라도 상관없어.</span>"
Japanese,scene_evt210226_cp0_q1_s10,detail,아이작,<span class='scene-font-gray'>こっちでもいろいろあってね。</span><br><span class='scene-font-gray'>これから話す事を、ある人に</span><br><span class='scene-font-gray'>伝えてほしいんだ。</span>,<span class='scene-font-gray'>이 쪽에서도 이런저런 일이 있었지. 지금부터 하는 말을 어떤 사람에게 전해 줬으면 좋겠어.</span>
Japanese,scene_evt210226_cp0_q1_s10,detail,아이작,<span class='scene-font-gray'>ご先祖様の念願かなって</span><br><span class='scene-font-gray'>僕達は月に辿り着いた。</span><br><span class='scene-font-gray'>……けれど。</span>,<span class='scene-font-gray'>선조님의 바람대로 우리는 달에 도착했어. ...하지만.</span>
Japanese,scene_evt210226_cp0_q1_s10,detail,아이작,<span class='scene-font-gray'>カシウスの脳は摘出された。</span><br><span class='scene-font-gray'>彼自身に起きた変化と、</span><br><span class='scene-font-gray'>蒼い髪の少女の情報を得るために。</span>,<span class='scene-font-gray'>카시우스는 뇌를 적출당했어. 그 자신에게 일어난 변화와 푸른 머리의 소녀에 대한 정보를 얻기 위해서.</span>
Japanese,scene_evt210226_cp0_q1_s10,detail,아이작,<span class='scene-font-gray'>カシウスは、空での生活が</span><br><span class='scene-font-gray'>月の民に与える影響を見るための</span><br><span class='scene-font-gray'>サンプルだったんだ。</span>,<span class='scene-font-gray'>카시우스는 하늘에서의 생활이 달의 주민에게 주는 영향을 보기 위한 샘플이었던 거지.</span>
Japanese,scene_evt210226_cp0_q1_s10,detail,아이작,<span class='scene-font-gray'>……あんまりだ。</span><br><span class='scene-font-gray'>耐えられない。</span><br><span class='scene-font-gray'>誰か、助けてくれ……</span>,<span class='scene-font-gray'>...너무해. 버티기가 힘들어. 누가 좀 도와줘...</span>
Japanese,scene_evt210226_cp0_q1_s10,detail,루리아・비,…………,…………
Japanese,scene_evt210226_cp0_q1_s10,detail,제타・바자라가,…………,…………
Japanese,scene_evt210226_cp0_q1_s10,detail,<span class='scene-font-1'>이루자・베아트릭스</span>,…………,…………
