Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt200128_cp0_q1_s10,synopsis,,<span class='scene-font-place'>アガスティア</span>の一角、暴走を始めた魔晶研究設備を前に苦い顔をするポンメルン達。そこへ、奇妙な機械レイベリィを連れた青年アイザックが現れる。自称エンジニアの彼は事態を解決してみせるという。言葉の通りに施設の暴走を止めて彼は帰宅、そして何者かに今日の事を報告する。やがて来た返答に仰天するアイザック。「カシウスを月に連れ戻せ」という命を受けたのだった。,"<span class='scene-font-place'>아가스티아</span>의 한 구석, 폭주를 시작한 마정연구설비를 앞에 두고 쓴 얼굴을 하는 폼메른 일행. 거기에 기묘한 기계 레이버리를 거느린 청년 아이작이 나타난다. 자칭 엔지니어인 그는 사태를 해결해 보이겠다고 한다. 말 한 대로 시설의 폭주를 멈추고 그는 귀가하여 누군가에게 오늘의 일을 보고한다. 그리고 돌아온 대답에 깜짝 놀라는 아이작. 카시우스를 달로 데려가라는 명을 받은 것이었다."
Japanese,scene_evt200128_cp0_q1_s10,detail,ポンメルン,…………,…………
Japanese,scene_evt200128_cp0_q1_s10,detail,,<span class='scene-font-place'>アガスティア</span><span class='scene-font-katari'>の一角にて、</span><br><span class='scene-font-katari'>ポンメルンは苦い表情を浮かべていた。</span>,<span class='scene-font-katari'>폼메른은 <span class='scene-font-place'>아가스티아</span> 섬 내 어떤 곳에서 표정을 찌푸리고 있었다.</span>
Japanese,scene_evt200128_cp0_q1_s10,detail,ポンメルン,……ずいぶん時間が経ちましたが、<br>作業に向かった者達は<br>まだ音沙汰がないんですかネェ？,"...시간이 꽤 지났는데, 작업에 나갔던 인원들은 아직 소식이 없는 거언가요?"
Japanese,scene_evt200128_cp0_q1_s10,detail,제국병1,はっ、定期連絡員も<br>戻ってきていない状況であります。,"예, 정기 연락병도 아직 돌아오지 않은 상태입니다."
Japanese,scene_evt200128_cp0_q1_s10,detail,ポンメルン,まったく……<br>急ぎすぎた軍拡が、とんだ負の遺産を<br>残してくれたものですヨォ……,정말이지... 너무 서둘러서 군비 확장을 하니 이런 말도 안되는 유산을 넘겨받게 되었단 말이죠오.
Japanese,scene_evt200128_cp0_q1_s10,detail,,<span class='scene-font-katari'>自嘲気味にポンメルンはつぶやく。</span>,<span class='scene-font-katari'>폼메른은 자조적인 말투로 중얼거렸다.</span>
Japanese,scene_evt200128_cp0_q1_s10,detail,,<span class='scene-font-katari'>その目の前にあるのは、</span><br><span class='scene-font-katari'>魔晶の生産性向上を</span><br><span class='scene-font-katari'>研究していた設備である。</span>,<span class='scene-font-katari'>그의 눈 앞에는 옛날 마정 생산성을 높이기 위해 연구하던 설비가 있었다.</span>
Japanese,scene_evt200128_cp0_q1_s10,detail,,<span class='scene-font-katari'>エルステ帝国時代、</span><br><span class='scene-font-katari'>軍備拡充のために乱立され、</span><br><span class='scene-font-katari'>そして放置されたもののひとつだった。</span>,<span class='scene-font-katari'>에르스테 제국 시절에 군비 확충을 위해 난립된 시설 중 하나였다.</span>
Japanese,scene_evt200128_cp0_q1_s10,detail,ポンメルン,魔晶の生成槽が<br>老朽化して暴走を始めるとは……<br>どうしたものですかネェ……,마정 생성용 탱크가 노화되어 폭주를 일으키다니... 이게 대체 무슨 일인지이.
