Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt200128_cp0_q5_s10,synopsis,,アイザック達の出発を見守り、島を発った[플레이어]達。後日、バザラガに誘われて一緒に食事をとる[플레이어]達。バザラガの脳裏には出発間際のレイベリィの言葉が浮かぶ。バザラガの戦い方は、強さと脆さの表れであるらしい。グロウノスの暴走や機神化は、バザラガの隠れた望みを聞き届けた結果かもしれないと。だが強く脆い物は強靭で柔らかな物と合わさり欠点を克服する。ゆえに捨てた物ではないのだとも。,"아이작 일행의 출발을 지켜보다 섬을 떠난 [플레이어] 일행. 훗날 바자라가에게 초대받아 함께 식사를 하는 사람들. 바자라가의 뇌리에는 출발 직전 레이베리의 말이 떠오른다. 바자라가 싸우는 방법은 강함과 약함의 표현인 것 같다고 한다. 그로우노스의 폭주와 기신화는, 바자라가의 숨겨진 바람을 들어준 결과일지도 모른다고. 하지만 강하고 질긴 것은 강인하고 부드러운 것과 만나 결점을 극복한다. 그러므로, 버린 물건은 아닌 것이다."
Japanese,scene_evt200128_cp0_q5_s10,detail,,<span class='scene-font-katari'>アイザック達を見送ったあと、</span><br><span class='scene-font-katari'>バザラガが[플레이어]の部屋を</span><br><span class='scene-font-katari'>訪れた。</span>,"<span class='scene-font-katari'>아이작 일행을 떠나보낸 후, 바자라가는 단장의 방을 방문했다.</span>"
Japanese,scene_evt200128_cp0_q5_s10,detail,바자라가,[플레이어]、少しいいだろうか？,"[플레이어], 잠깐 시간 있나?"
Japanese,scene_evt200128_cp0_q5_s10,detail,바자라가,急にすまない。<br>これから状況が大きく動きそうでな。,갑자기 미안하군. 앞으로는 상황이 급전개될 것 같다.
Japanese,scene_evt200128_cp0_q5_s10,detail,바자라가,今回の事で迷惑をかけた詫び……<br>というのもなんだが、<br>食事を奢らせてくれ。,"이번 일로 네게도 폐를 끼친 것에 대한 사죄... 라고 하긴 뭐하지만, 식사를 대접하고 싶군."
Japanese,scene_evt200128_cp0_q5_s10,detail,,<span class='scene-font-katari'>[플레이어]とルリア、ビィを連れ、</span><br><span class='scene-font-katari'>バザラガは街をゆく。</span>,"<span class='scene-font-katari'>그는 [플레이어]과 비이, 루리아를 데리고 길을 걸었다.</span>"
Japanese,scene_evt200128_cp0_q5_s10,detail,바자라가,なにか希望はあるか？,뭐 먹고 싶은 건 있나?
Japanese,scene_evt200128_cp0_q5_s10,sel1_txt,,<span class='scene-font-katari'>オムライス食べたい</span>,<span class='scene-font-katari'>오므라이스 먹고 싶어</span>
Japanese,scene_evt200128_cp0_q5_s10,sel2_txt,,<span class='scene-font-katari'>“映え”なスイーツ食べたい</span>,<span class='scene-font-katari'>개쩌는 디저트 먹고 싶어</span>
Japanese,scene_evt200128_cp0_q5_s10,detail,바자라가,……ああ。<br>カシウスと行った、あの店か。,"……그래. 카시우스와 갔던, 그 음식점인가."
