Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt200128_cp0_q2_s10,synopsis,,戦いの末、[플레이어]達の盾となって重傷を負うカシウス。その姿に誰もが苦い表情を浮かべる。どうにかその場を切り抜けようと立ち向かう契約者達の想いに応えるように、封印武器は強大な力をもって中枢に損傷を与える。危ういところでアイザックによるノインの修復が終わり、カシウスがノインを通じて中枢に停止命令を送る。戦いの後、カシウスを治療する手立てがない事をアイザックは告げた。,"전투의 끝, [플레이어]들의 방패가 되어 중상을 입는 카시우스. 그 모습에 모두가 씁쓸한 표정을 짓는다. 어떻게든 그 자리를 벗어나겠다고 맞서는 계약자들의 마음에 응하듯이, 봉인무기는 막강한 힘을 가지고 중추에 손상을 준다. 위험한 고비에서 아이작에 의한 노인의 복구가 끝나, 카시우스가 노인을 통해서 중추에 정지명령을 보낸다. 전투가 끝나고, 카시우스를 치료할 방법이 없다고 아이작은 고했다."
Japanese,scene_evt200128_cp0_q2_s10,detail,야치마,────……！！,────……！！
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>[플레이어]達の力を知るや、</span><br><span class='scene-font-katari'>紅い髪の少女は、内包していた</span><br><span class='scene-font-katari'>力の全てを解き放つ。</span>,"<span class='scene-font-katari'>[플레이어] 일행의 힘을 알게 되자마자, 붉은 머리의 소녀는 그녀 안에 내재되어 있던 힘을 전부 뿜어냈다.</span>"
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>草原が一瞬にして触手の海と化し、</span><br><span class='scene-font-katari'>[플레이어]達に襲いかかった。</span>,<span class='scene-font-katari'>초원이 순식간에 촉수의 바다로 변해 그들을 덮쳤다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,제타,ヤバ……！？,으엑...!?
Japanese,scene_evt200128_cp0_q2_s10,detail,바자라가,島ひとつぶんの質量がこれか……！,이게 섬 하나 분의 질량이라는 건가...!
Japanese,scene_evt200128_cp0_q2_s10,detail,비,うぎゃああっ！？<br>か、絡みついてきやがるぞ！,"으아아아! 사, 사방에 달라붙기 시작했어!"
Japanese,scene_evt200128_cp0_q2_s10,detail,루리아,……ユグドラシル！,...유그드라실!
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>立ち上がった石柱に切断された触手は、</span><br><span class='scene-font-katari'>瞬時に互いに繋がりあって</span><br><span class='scene-font-katari'>[플레이어]達へと迫った。</span>,<span class='scene-font-katari'>솟아나온 돌기둥에 의해 잘려나간 촉수는 순식간에 서로 얽히며 다시 단장 일행을 향해 달려들었다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,카시우스,…………！！,…………！！
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>アイザックが</span><br><span class='scene-font-katari'>工具で修理を試みるノインを握り、</span><br><span class='scene-font-katari'>歯がゆい様子のカシウス。</span>,<span class='scene-font-katari'>아이작이 공구로 수리중인 노인을 쥐고 있던 카시우스는 안타까움을 감추지 못했다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,카시우스,まだか……！,아직이냐...!
Japanese,scene_evt200128_cp0_q2_s10,detail,아이작,起動プロセスは途中まで進んでる！<br>もう少し待ってくれ！,기동 프로세스 도중까지는 진행됐어! 조금만 더 기다려!
Japanese,scene_evt200128_cp0_q2_s10,detail,카시우스,<span class='scene-font-4'>時間がない！</span>,<span class='scene-font-4'>시간이 없다!</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,카시우스,…………！？,…………！？
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>思わず声を荒らげた己に</span><br><span class='scene-font-katari'>カシウスは驚きを隠せない。</span>,<span class='scene-font-katari'>카시우스는 무심코 큰 소리를 질러버린 자기 자신에 대해 놀라움을 감추지 못했다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,아이작,ああ、ああ、わかってる。<br>落ち着いてくれ兄弟。,"그래, 그래, 이해한다고. 좀 진정해 형제."
Japanese,scene_evt200128_cp0_q2_s10,detail,아이작,君も、僕のご先祖様達みたいに<br>彼らの力になりたいんだよな……！,너도 내 조상님들처럼 그들의 힘이 되고 싶은 거지?
Japanese,scene_evt200128_cp0_q2_s10,detail,베아트릭스,くっそぉ！<br>なんだよこれ！<br>のたのた鬱陶しいなあっっ！,젠장! 이게 뭐야! 흐느적거리는게 짜증나아아아!
Japanese,scene_evt200128_cp0_q2_s10,detail,유스테스,下がれ！ 一掃する！,몸을 낮춰! 쓸어버리겠다!
Japanese,scene_evt200128_cp0_q2_s10,detail,베아트릭스,ひっ……！？,히익!?
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>触手と格闘していたベアトリクスは</span><br><span class='scene-font-katari'>慌ててユーステスの足元へと</span><br><span class='scene-font-katari'>転がり込む。</span>,<span class='scene-font-katari'>촉수와 격투중이던 베아트릭스는 급하게 유스테스의 발 밑으로 굴렀다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,베아트릭스,あ……危ないだろ！,"위, 위험하잖아!"
Japanese,scene_evt200128_cp0_q2_s10,detail,유스테스,……さすがに巻き込まれなかったか。,...아무리 그래도 이번에는 피한 모양이군.
Japanese,scene_evt200128_cp0_q2_s10,detail,베아트릭스,当たり前だろ！<br>私が捨て身で戦うのは<br>エムブラスクとって決めてるんだ！,당연하지! 내가 몸을 내던지면서 싸우는 건 엠브라스크하고 있을 때뿐이라고 정했단 말야!
Japanese,scene_evt200128_cp0_q2_s10,detail,카시우스,[플레이어]達の力にだと？,내가 [플레이어]의 힘이 되고 싶어한다고?
Japanese,scene_evt200128_cp0_q2_s10,detail,아이작,ああ。ノインを直していて思ったよ。<br>ご先祖様達も、今僕がやってるように<br>現場で武器の修理とかをしてたんだ。,그래. 노인을 고치면서 생각했어. 조상님들도 지금 내가 하고 있는 것처럼 현장에서 무기를 수리하거나 그랬겠지.
Japanese,scene_evt200128_cp0_q2_s10,detail,아이작,君みたいに、空の民に愛着を持った<br>エンジニアもいたはずだ。,너처럼 하늘의 민족에게 애착을 가진 엔지니어도 있었을 거야.
Japanese,scene_evt200128_cp0_q2_s10,detail,아이작,この空が、手を差し伸べてくれた人達が<br>いつか月に攻め込まれたらって思うと、<br>気が気じゃなかったろう。,"이 하늘의 세계가, 우리에게 손을 내밀어 준 사람들이 언젠가 달에 집어삼켜질 것이라고 생각하니 가만히 있기 힘들었을 거고."
Japanese,scene_evt200128_cp0_q2_s10,detail,카시우스,…………,…………
Japanese,scene_evt200128_cp0_q2_s10,detail,아이작,だから、機関から支給された封印武器に<br>イースターエッグを仕込んだんだ。<br>上にばれないよう、こっそりとね。,그래서 기관에서 지급된 봉인무기에 이스터 에그를 심어둔 거야. 위쪽에 들키지 않도록 몰래.
Japanese,scene_evt200128_cp0_q2_s10,detail,카시우스,……それが、あの者達が<br>封印武器を使いこなせる理由か。,...그게 저 자들이 봉인무기를 다룰 수 있는 이유인가?
Japanese,scene_evt200128_cp0_q2_s10,detail,아이작,きっとね。,분명 그럴 걸.
Japanese,scene_evt200128_cp0_q2_s10,detail,아이작,よし！ あとひと工程でノインは……,좋아! 이제 한 단계만 더 거치면 노인은...
Japanese,scene_evt200128_cp0_q2_s10,detail,카시우스,…………！？,…………！？
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>響き渡る轟音に、思わず顔を上げる</span><br><span class='scene-font-katari'>カシウスとアイザック。</span>,<span class='scene-font-katari'>카시우스와 아이작은 대지에 울려퍼지는 소리를 듣고 무심코 고개를 들었다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>気付けば、巨大な影が</span><br><span class='scene-font-katari'>陽を覆い隠していた。</span>,<span class='scene-font-katari'>어느 새 거대한 그림자가 태양을 가리고 있었다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,야치마,おおおお──────…………,오오오오──────…………
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>紅い髪の少女だったものの中から、</span><br><span class='scene-font-katari'>内包された機械細胞が溢れ出す。</span>,붉은 머리의 소녀였던 것의 안에 내재되어 있던 기계 세포들이 뿜어져나왔다.
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>様々な色が混ざり合い、</span><br><span class='scene-font-katari'>最後には真っ黒な柱となって</span><br><span class='scene-font-katari'>空へと伸びていく。</span>,<span class='scene-font-katari'>수많은 색이 휘감긴 끝에 결국 시커먼 기둥으로 변해버린 그것은 하늘을 향해 뻗어나갔다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,비,おいおい……<br>ど、どうすりゃいいんだ、<br>こんなデケェの……,"이, 이걸 어떻게 하라는 거야. 이렇게 큰데..."
Japanese,scene_evt200128_cp0_q2_s10,detail,루리아,[플레이어]、お願いです、<br>手を……繋いでください。,[플레이어]...부탁이에요. 제 손을 잡아 주세요.
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>ルリアと手を取り合い、</span><br><span class='scene-font-katari'>祈るように目を閉じる[플레이어]。</span>,[플레이어]는 루리아와 손을 잡고 기도하듯이 눈을 감았다.
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>島ひとつ滅ぼせるほどの力がなければ、</span><br><span class='scene-font-katari'>あの怪物を破壊しきれない。</span><br><span class='scene-font-katari'>ならばと思いついての事だった。</span>,"<span class='scene-font-katari'>섬 하나쯤은 멸망시킬 수 있을 정도의 힘이 아니고서야 저 괴물을 파괴할 수 없다고 했었다. 그렇다면, 하는 생각으로 취한 행동이었다.</span>"
Japanese,scene_evt200128_cp0_q2_s10,detail,루리아,バハムート、お願い……！,"바하무트, 부탁해...!"
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>その破壊の力をもってすれば、</span><br><span class='scene-font-katari'>結果はどうあれ損害を与えられる。</span>,<span class='scene-font-katari'>그 파괴의 힘을 사용한다면 결과야 어찌됐든 피해가 생길 것은 확실했다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>──そのはずだった。</span>,<span class='scene-font-katari'>──확실했을 것이다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,야치마,あああああああ────……！！,아아아아아아아────……！！
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>黒銀の竜が翼をはばたかせた瞬間、</span><br><span class='scene-font-katari'>黒き柱と化した少女は</span><br><span class='scene-font-katari'>戦慄したかのような声をあげた。</span>,"<span class='scene-font-katari'>흑은의 용의 날개가 펄럭인 순간, 검은 기둥으로 변한 소녀는 전율하는 듯한 소리를 질렀다.</span>"
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>そして、</span><br><span class='scene-font-katari'>その身からせり出た無数の棘を</span><br><span class='scene-font-katari'>[플레이어]とルリアに放った。</span>,<span class='scene-font-katari'>그리고 그 몸에서 튀어나온 수많은 가시가 단장과 루리아 쪽을 향했다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,루리아,…………！？,…………！？
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>棘は黒い雨のように降り注ぎ、</span><br><span class='scene-font-katari'>逃げ場はない。</span>,<span class='scene-font-katari'>검은 비처럼 쏟아지는 가시 앞에 그들이 피할 곳은 없었다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>ふたりは身動きがとれず</span><br><span class='scene-font-katari'>手を繋いだまま固まってしまう。</span>,<span class='scene-font-katari'>두 사람은 서로의 손을 잡고 그 자리에 굳어버리고 말았다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>無数の棘が肉に刺さる音は、</span><br><span class='scene-font-katari'>幌に雨がかかった音とよく似ていた。</span>,<span class='scene-font-katari'>수많은 가시가 몸을 찢는 소리는 천막 위에 비가 쏟아질 때와 비슷했다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,카시우스,ぐ……は……！,크.... 윽...!
Japanese,scene_evt200128_cp0_q2_s10,detail,루리아,か……,카...
Japanese,scene_evt200128_cp0_q2_s10,detail,루리아,<span class='scene-font-4'>カシウスさんっ！？</span>,<span class='scene-font-4'>카시우스 씨!?</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,베아트릭스,<span class='scene-font-4'>カシウスっ！？</span>,<span class='scene-font-4'>카시우스!</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>その身を[플레이어]とルリアの</span><br><span class='scene-font-katari'>盾としたのはカシウスだった。</span>,<span class='scene-font-katari'>그 몸을 던져 [플레이어]와 루리아의 방패가 된 것은 바로 카시우스였다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,바자라가,…………！,…………！
Japanese,scene_evt200128_cp0_q2_s10,detail,제타,っく……！,큭...!
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>歯をきしらせるゼタ。</span><br><span class='scene-font-katari'>槍を握ったその手が震える。</span>,<span class='scene-font-katari'>제타는 이를 갈았다. 창을 쥔 그녀의 손이 떨렸다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,제타,どいつも、こいつも……,이 자식이나 저 자식이나...
Japanese,scene_evt200128_cp0_q2_s10,detail,제타,どうして自分を大事にしないッッ！,왜 자기 자신을 소중히 하지 않는 거야!!!!
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>白炎を吹き出す穂先を</span><br><span class='scene-font-katari'>黒い柱に突き立てるゼタ。</span>,<span class='scene-font-katari'>제타는 백색 불꽃을 내뿜는 창 끝을 검은 기둥 쪽으로 들이밀었다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,바자라가,<span class='scene-font-4'>おおヲヲヲヲッ！</span>,<span class='scene-font-4'>오오오오오오!</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>我を忘れたバザラガもまた</span><br><span class='scene-font-katari'>柱へと斬りかかる。</span>,<span class='scene-font-katari'>바자라가 또한 자아를 잃은 듯이 기둥을 향해 달려들었다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,유스테스,…………！,…………！
Japanese,scene_evt200128_cp0_q2_s10,detail,,<span class='scene-font-katari'>静かに狙いを定めながら、</span><br><span class='scene-font-katari'>歯ぎしりするユーステス。</span>,<span class='scene-font-katari'>유스테스는 이를 갈며 조용히 총을 조준했다.</span>
Japanese,scene_evt200128_cp0_q2_s10,detail,야치마,あああああああ────……！！,아아아아아아────……！！
