Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt210329_cp1_q1_s10,synopsis,,[플레이어]達と港で分かれたアニラ、アンチラ、マキラ、ヴァジラ、クビラ、ビカラ、シャトラはスーパーリゾートアロハスでフライデーと再会する。施設には他の神将から欠席の連絡が届いており、会議は７人で行うことに。フライデーは十二神将に接客担当のホテルウーマン・ティアレをつけ、最高のおもてなしを約束するのだった。,"[플레이어]일행과 항구에서 헤어진 아니라, 안치라, 마키라, 바지라, 쿠비라, 비카라, 샤토라는 슈퍼리조트 알로하스에서 프라이데이와 재회한다. 시설에는 다른 신장으로부터 결석의 연락이 도착해 있었고, 회의는 7명이서 실시하기로.프라이데이는 십이신장에게 접객 담당으로 호텔리어 티아레를 붙여주며 최고의 대접을 약속하는 것이었다."
Japanese,scene_evt210329_cp1_q1_s10,detail,,<span class='scene-font-katari'>[플레이어]達と港で別れ、</span><br><span class='scene-font-katari'>手紙に記された場所へ向けて</span><br><span class='scene-font-katari'>十二神将は町外れへ向かう。</span>,"<span class='scene-font-katari'>[플레이어]일행과 헤어진후,</span><br><span class='scene-font-katari'>편지에 적힌 곳을 향해</span><br><span class='scene-font-katari'>십이신장은 마을 밖으로 향했다.</span>"
Japanese,scene_evt210329_cp1_q1_s10,detail,,<span class='scene-font-katari'>ほどなくして現れた巨大な施設に入ると</span><br><span class='scene-font-katari'>一行は満面の笑みのフライデーと</span><br><span class='scene-font-katari'>久しぶりの再会を果たすのだった。</span>,<span class='scene-font-katari'>얼마 안 있어 나타난 거대한 시설에 들어간 </span><br><span class='scene-font-katari'>일행은 웃음이 만연한 프라이데이와</span><br><span class='scene-font-katari'>오랜만에 상봉하게 되었다.</span>
Japanese,scene_evt210329_cp1_q1_s10,detail,,<span class='scene-font-katari'>しかし……</span>,<span class='scene-font-katari'>하지만……</span>
Japanese,scene_evt210329_cp1_q1_s10,detail,アニラ,まさか欠席とは……！！,설마 결석일 줄이야……！！
Japanese,scene_evt210329_cp1_q1_s10,detail,,<span class='scene-font-katari'>フライデーから渡されたのは</span><br><span class='scene-font-katari'>他の神将からそれぞれ届いた</span><br><span class='scene-font-katari'>欠席を申し出る手紙だった。</span>,<span class='scene-font-katari'>프라이데이로 부터 전달 받은 것은 각각의 신장으로부터 결석을 요청하는 내용의 편지였다.</span>
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,ここへ直接便りが届いたのよ。<br>勝手に封を開けるわけにはいかないし、<br>欠席の連絡だなんて知らなかったわ。,"여기로 직접 편지가 도착했어.<br>멋대로 개봉할 수는 없고,<br>결석했다는 연락인 줄 몰랐어."
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,こんなことなら光に透かしてでも、私が<br>先に中を読んでおくべきだったわね。<br>それなら連絡も間に合ったはず……,"이런 거라면 빛에 비춰서라도, 내가 먼저 안을 읽어뒀어야 했나봐.<br>그러면 연락도 늦지 않았을 텐데……"
Japanese,scene_evt210329_cp1_q1_s10,detail,ヴァジラ,いや、会議をする必要はあるからな。<br>どの道変わらなかったと思うぞ。,"아니, 회의를 할 필요는 있으니까.<br>어차피 다르지 않았을 거라 생각하네."
Japanese,scene_evt210329_cp1_q1_s10,detail,クビラ,まぁ仕方ないよ、アニラ。<br>それぞれ事情はあるみたいだし。<br>気を取り直してがんばろう？,뭐 어쩔 수 없지. 아니라.<br>각각의 사정은 있는 것 같고.<br>마음잡고 힘내자?
Japanese,scene_evt210329_cp1_q1_s10,detail,アニラ,そうじゃのう……<br>全員そろって会議をしたかったが……,그렇군……<br>전원 모여서 회의를 하고 싶었지만…….
Japanese,scene_evt210329_cp1_q1_s10,detail,ビカラ,それにしても久しぶりだね、<br>フライデー！<br>元気にしてたかい？,"그건 그렇고 오랜만이네,<br>프라이데이!<br>잘 지내고 있어?"
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,ええ！<br>あなた達も元気そうね！<br>[플레이어]さん達は最近どうかしら？,그렇지!<br>너희들도 건강해 보이네!<br>[플레이어]씨 들은 요즘 어떻게 지내니?
Japanese,scene_evt210329_cp1_q1_s10,detail,アンチラ,みんな変わりありませんよ！<br>フライデーさんに<br>よろしくと言ってました！,모두 변함이 없어요!<br>프라이데이 씨에게<br>안부를 전해 달라고 했어요!
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,まぁ！ それはよかったわ！,아하! 그거 다행이네!
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,[플레이어]さんにもアロハスを<br>見てもらいたかったのよねぇ……,[플레이어]씨에게도 알로하스를 봐주고 싶었어...
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,いきなり旅に出るなんて言って<br>心配かけちゃっているでしょうし……,갑자기 여행을 떠난다고 해서<br>걱정끼쳐 버렸을 테고...
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,アロハス自慢の、<br>あのプレミアムなモニュメントの感想も<br>是非是非いただきたかったわ……,"알로하스 자랑의,<br>리 프리미엄 기념물의 감상도<br>꼭 꼭 듣고 싶었어……"
Japanese,scene_evt210329_cp1_q1_s10,detail,,<span class='scene-font-katari'>フライデーの視線は</span><br><span class='scene-font-katari'>ロビーの中央にあるエビフライ型の</span><br><span class='scene-font-katari'>巨大なモニュメントにあった。</span>,<span class='scene-font-katari'> 프라이데이의 시선은 </span> <br> <span class='scene-font-katari'> 로비 중앙에 있는 새우튀김 모양의 </span> <br> <span class='scene-font-katari'> 로비 중앙에 있는 거대한 새우튀김상을 향해 있었다.
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,形は変えても、プレミアムフライデーの<br>精神は決して死んでいない。<br>あのモニュメントはその証なの！,모양은 바뀌어도 프리미엄 프라이데이의<br>정신은 결코 죽지 않았다.<br>이기념물은 그 증거야!
Japanese,scene_evt210329_cp1_q1_s10,detail,マキラ,そいえば……<br>シャトラ君はフライデー君と<br>初対面だよね？,그러고보니...<br>샤토라는 프라이데이와<br>초면이지?
Japanese,scene_evt210329_cp1_q1_s10,detail,シャトラ,うん。<br>はじめまして……<br>丑神宮の主、シャトラだよ……？,"응. 처음뵙겠습니다……<br>축신궁의 주인, 샤토라야……?"
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,はじめまして。フライデーよ！<br>皆の人生を豊かにするために<br>極上の休息を提供しているの！,처음 뵙겠습니다. 프라이데이야!<br>모두의 삶을 풍요롭게 하기 위해<br>최고의 휴식을 제공하고 있어!
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,今年の歳神様に会えるなんて光栄だわ！,올해의 간지 담당 신장을 만나게 되다니 영광이야!
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,[플레이어]さんには以前から<br>なにかとお世話になっているの。<br>彼は私の良き理解者ってところね！,[플레이어]씨에게는 이전부터 <br>여러모로 신세를 지고 있어. 그사람은 나의 좋은 이해자가 되어준 사람이야!
Japanese,scene_evt210329_cp1_q1_s10,detail,シャトラ,王子さまが……？,왕자님이……？
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,え？ 王子様？,응？ 왕자님？
Japanese,scene_evt210329_cp1_q1_s10,detail,マキラ,シャトラ君はずっと探していた<br>王子さまを見つけたんだよね。<br>それが[플레이어]君だと。,샤토라는 계속 찾아오고 있던 <br>왕자님을 발견했어. <br>그게 [플레이어]군 이라는군.
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,さすがは[플레이어]さん！<br>隅に置けない人ね！,과연[플레이어]씨！<br>그냥 둘수 없는 사람이구나!
Japanese,scene_evt210329_cp1_q1_s10,detail,シャトラ,あの、フライデーさん……<br>[플레이어]さまが良き理解者って、<br>どういう意味なの……？,"저, 프라이데이씨……<br>[플레이어]님이 좋은 이해자라니,<br>무슨 뜻이야……?"
Japanese,scene_evt210329_cp1_q1_s10,detail,シャトラ,もしかして……<br>恋のライバル、出現……？,"혹시……<br>사랑의 라이벌, 출현……?"
Japanese,scene_evt210329_cp1_q1_s10,detail,クビラ,あー……<br>そんなに深い意味はないはずだから、<br>気にしないでいいと思うよ。,"아-…<br>그렇게 깊은 의미는 없을 테니까,<br>신경 쓰지 않아도 된다고 생각해."
Japanese,scene_evt210329_cp1_q1_s10,detail,,<span class='scene-font-katari'>クビラがシャトラをなだめる一方、</span><br><span class='scene-font-katari'>アンチラは興味深げに</span><br><span class='scene-font-katari'>周囲をきょろきょろと見回していた。</span>,"<span class='scene-font-katari'>쿠비라가 샤토라를 달래는 한편,</span><br><span class='scene-font-katari'>안치라는 흥미롭게</span><br><span class='scene-font-katari'>주위를 둘러 보았다.</span>"
Japanese,scene_evt210329_cp1_q1_s10,detail,アンチラ,ここ……本当にでっかいですよね。<br>スーパーリゾート……えっと……,여기 ...... 정말 크구나! <br>슈퍼 리조트 ......그러니까...
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,スーパーリゾートアロハスよ！,슈퍼리조트 알로하스야!
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,プレミアムフライデーとはまたちがう、<br>人々の生活を豊かにするための、<br>もうひとつの答えというわけ！,"프리미엄 프라이데이와 또 다른, <br>사람들의 생활을 풍요롭게 하기 위한, <br>또 하나의 대답인 셈이지!"
Japanese,scene_evt210329_cp1_q1_s10,detail,ビカラ,すごいよ、フライデー！<br>こんな大きな建物まで造るなんて<br>びっくりしちゃった！,"대단해, 프라이데이!<br>이런 큰 건물까지 만들다니<br>깜짝 놀랐어!"
Japanese,scene_evt210329_cp1_q1_s10,detail,アニラ,なにを言っているのか<br>さっぱり理解できぬのう……,무슨 말을 하는 것 인지<br>전혀 이해할 수 없군……
Japanese,scene_evt210329_cp1_q1_s10,detail,マキラ,でもフライデー君は<br>いつもこんな感じだから。,그치만 프라이데이군은<br>항상 이런식이니까.
Japanese,scene_evt210329_cp1_q1_s10,detail,マキラ,それよりも私はこのおっきな施設を<br>どうやって管理しているのか<br>すごく気になるなぁ。,그보다도 나는 이 큰 시설을<br>어떻게 관리하고 있는지<br>굉장히 궁금하네.
Japanese,scene_evt210329_cp1_q1_s10,detail,,<span class='scene-font-katari'>十二神将とフライデーが</span><br><span class='scene-font-katari'>にぎやかに会話を楽しんでいると、</span><br><span class='scene-font-katari'>カウンターから女性が顔をのぞかせた。</span>,<span class='scene-font-katari'>십이신장과 프라이데이가</span><br><span class='scene-font-katari'>떠들썩하게 대화를 나누던 중에</span><br><span class='scene-font-katari'>카운터에서 여성이 얼굴을 내 비추었다。</span>
Japanese,scene_evt210329_cp1_q1_s10,detail,？？？,オーナー！<br>そちらが今日の団体さんですね？,오너！<br>그쪽이 오늘의 단체분이죠?
Japanese,scene_evt210329_cp1_q1_s10,detail,フライデー,ええ、紹介するわね！,"네, 소개할게요!"
