Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt210329_cp0_q2_s10,synopsis,,誘惑に抗った十二神将。十二神将の決意を知ったティアレは謝罪すると、落ち込んでその場を去る。翌日、ついに十二神将会議は開かれ──そしてあっと言う間に終わった。十二神将は力を合わせ過去最速で数々の議題を終わらせ、プールに現れる。さらにティアレに感謝を伝え、新たな友達として共に楽しく残りの滞在期間を過ごすのだった。,"유혹에 저항하는 십이신장12신장의 결의를 알게 된 티아레는 사과를 하고, 침울하게 그 자리를 떠난다.다음날, 드디어 12 신장 회의는 열리고--그리고 눈 깜짝할 사이에 끝났다.십이신장은 힘을 합쳐 역대 최고 속도로 수많은 의제를 끝내고 수영장에 나타난다. 게다가 티아레에게 감사를 전하고, 새로운 친구로서 함께 즐겁게 남은 체류기간을 보내는 것이었다."
Japanese,scene_evt210329_cp0_q2_s10,detail,,<span class='scene-font-katari'>十二神将はティアレの怒涛の勧誘に</span><br><span class='scene-font-katari'>なんとか抗うことができたようだ。</span>,<span class='scene-font-katari'>12신장은 티아레의 거센 권유에도 어떻게든 버틸수 있었다.</span>
Japanese,scene_evt210329_cp0_q2_s10,detail,,<span class='scene-font-katari'>そしてティアレ自身も</span><br><span class='scene-font-katari'>彼女達を説得しきれないことを</span><br><span class='scene-font-katari'>どうやら察したらしい。</span>,<span class='scene-font-katari'>그리고 티아레 자신도 그녀들을 설득할 수 없다는 걸 알아 차렸다.</span>
Japanese,scene_evt210329_cp0_q2_s10,detail,ティアレ,これだけ言っても<br>わかってくれないの……？<br>どうして……？,이렇게 까지 말 해도 알아주지 않는 거야...? 어째서……?
Japanese,scene_evt210329_cp0_q2_s10,detail,ティアレ,重たい責任なんて<br>背負わなくていいのに……,막중한 책임이라니 짊어지지 않아도 되는데……
Japanese,scene_evt210329_cp0_q2_s10,detail,アニラ,確かに十二神将の名は重い……<br>しかし、苦しいことばかりではない。,확실히 12신장의 이름은 무겁다……. 그러나 고통스러운 일만은 아니다.
Japanese,scene_evt210329_cp0_q2_s10,detail,クビラ,うん。<br>みんなと出会えたし、<br>[플레이어]と旅もできてるしね。,"응, 모두랑 만났고[플레이어]와 여행도 하고 있고."
Japanese,scene_evt210329_cp0_q2_s10,detail,ティアレ,…………,…………
Japanese,scene_evt210329_cp0_q2_s10,detail,,<span class='scene-font-katari'>十二神将の決意を知り、</span><br><span class='scene-font-katari'>ティアレはがっくりと肩を落とした。</span>,"<span class='scene-font-katari'>12신장의 결의를 알고, 티아레는 고개를 푹 떨구었다.</span>"
Japanese,scene_evt210329_cp0_q2_s10,detail,ティアレ,<span class='scene-font-4'>う……うぅ～……うあぁ……</span>,<span class='scene-font-4'>으으... 으아앙</span>
Japanese,scene_evt210329_cp0_q2_s10,detail,ヴァジラ,えっ！？,뭐!?
Japanese,scene_evt210329_cp0_q2_s10,detail,シャトラ,ティアレさん……？,티아레씨...?
Japanese,scene_evt210329_cp0_q2_s10,detail,ティアレ,あぁ……ひっ……あぁあ……<br>あああ……くぅ……あぁ～……,아...흑...아아아... 아아아...흑흑...아아아...
Japanese,scene_evt210329_cp0_q2_s10,detail,シャトラ,どうしたの……？,무슨 일이야……?
Japanese,scene_evt210329_cp0_q2_s10,detail,ティアレ,うっ……シャ、シャトラちゃん……<br>ケッタギアの……タイヤ……<br>パイナップルにしてごめんなさい……,"흑...샤, 샤토라짱... 케타기어의……타이어… 파인애플로 바꿔서 미안해요……"
