Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt211015_cp0_q1_s10,synopsis,,ある日、万事屋でいつものように他愛無い会話を繰り広げる銀時、新八、神楽。しかし唐突に、３人はジャンプの裏表紙に掲載されていたグランブルーファンタジーの広告に吸い込まれてしまう。３人が気が付くと、目の前にはジャンプの裏表紙と全く同じ光景が広がっていたのだった。,"어느 날, 해결사에서 여느 때처럼 허무맹랑한 대화를 펼치는 긴토키, 신파치, 카구라. 그러나 졸지에 세 사람은 점프 뒷면에 실린 그랑블루 판타지 광고에 빨려 들어간다. 이들이 정신을 차리고 보니 눈앞에는 점프 뒷표지와 똑같은 광경이 펼쳐져 있었다."
Japanese,scene_evt211015_cp0_q1_s10,detail,,<span class='scene-font-gray'>「侍の国」。</span><br><span class='scene-font-gray'>僕らの国がそう呼ばれていたのは、</span><br><span class='scene-font-gray'>今は昔の話。</span>,"<span class='scene-font-gray'>""사무라이의 나라"" 우리 나라가 그렇게 불렸던 것은 이미 옛날 이야기다.</span>"
Japanese,scene_evt211015_cp0_q1_s10,detail,,<span class='scene-font-gray'>かつて侍達が仰ぎ夢を馳せた</span><br><span class='scene-font-gray'>江戸の空には、今は異郷の船が</span><br><span class='scene-font-gray'>飛び交う。</span>,<span class='scene-font-gray'>예전에 사무라이들이 올려다보며 꿈을 키우던 에도의 하늘에는 지금 타향의 배가 날아다니고 있다.</span>
Japanese,scene_evt211015_cp0_q1_s10,detail,,<span class='scene-font-gray'>かつて侍達が肩で風を切り</span><br><span class='scene-font-gray'>歩いた街には、今は、異人が</span><br><span class='scene-font-gray'>ふんぞり返り歩く。</span>,<span class='scene-font-gray'>예전에 사무라이들이 당당히 바람을 가르며 오가던 거리에는 지금 타향 사람들이 의기양양히 돌아다닌다. </span>
Japanese,scene_evt211015_cp0_q1_s10,detail,,<span class='scene-font-gray'>変わってしまった国で僕、志村新八は</span><br><span class='scene-font-gray'>ひょんなことから銀さんこと坂田銀時が</span><br><span class='scene-font-gray'>経営する万事屋で働くことに。</span>,"<span class='scene-font-gray'>이 변해버린 나라에서 나, 시무라 신파치는 이런저런 일을 겪으며 긴상, 즉 사카타 긴토키가 경영하는 해결사 사무소에서 일하게 되었다.</span>"
Japanese,scene_evt211015_cp0_q1_s10,detail,,<span class='scene-font-gray'>夜兎族の神楽ちゃんと巨大な犬……</span><br><span class='scene-font-gray'>というか宇宙生物の定春もいつの間にか</span><br><span class='scene-font-gray'>仲間に加わり、賑やかに過ごしている。</span>,<span class='scene-font-gray'>야토족 카구라쨩과 거대한 개... 라기보단 우주 생물인 사다하루도 어느 새 우리 동료가 되어 떠들썩한 나날을 보냈다.</span>
Japanese,scene_evt211015_cp0_q1_s10,detail,,<span class='scene-font-gray'>あ、万事屋っていうのは</span><br><span class='scene-font-gray'>何でも屋のことで、ペット探しから</span><br><span class='scene-font-gray'>人探しまでいろんな仕事を──</span>,"<span class='scene-font-gray'>아, 해결사라는 건 뭐든지 한다는 뜻인데, 반려동물 찾기부터 실종자 탐색까지 다양한 일들을...</span>"
Japanese,scene_evt211015_cp0_q1_s10,detail,神楽,<span class='scene-font-4'>チェストォォォォ！</span>,<span class='scene-font-4'>체스트!!!</span>
Japanese,scene_evt211015_cp0_q1_s10,detail,志村新八,<span class='scene-font-4'>いったァァァァっ！？</span><br><span class='scene-font-4'>何すんの神楽ちゃんんんん！</span>,<span class='scene-font-4'>아야아아아! 뭐 하는 거야 카구라쨔아아앙!</span>
Japanese,scene_evt211015_cp0_q1_s10,detail,神楽,ブツブツブツブツ、ひとりでなんか<br>キモいナレーション始めたから<br>正気に戻してやったアル。,"중얼중얼중얼 혼자 기분나쁜 나레이션을 넣고 있길래 제정신 차리게 만들어 준 거다, 해. "
