Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_evt211015_cp1_q1_s10,synopsis,,グランブルーファンタジーの世界に来てしまったことを理解した万事屋の面々。コラボ先に選ばれたと知り、喜んだ３人はこれから繰り広げられるであろう空の旅に想いを馳せる。必殺技などの話に花を咲かせながら、ひとまず[플레이어]達の迎えを待つことにするのだった。,"그랑블루 판타지의 세계에 와버린 것을 이해한 해결사 일행. 콜라보레이션으로 선택되었다는 것을 알고, 기뻐한 세 사람은 지금부터 펼쳐질 하늘의 여행을 생각한다. 필살기 등의 이야기로 꽃을 피우면서 그저 [플레이어] 일행을 만나는 것을 기다리기로 하는 것이었다."
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,あ、あはは……<br>そうかこれは夢か……夢なんだ……,"아, 아하하... 그렇구나 이건 꿈이구나... 꿈이야... "
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,僕達が<br>グラブルの世界に来るはずなんて……,우리가 그랑블루 세계로 들어왔을 리가...
Japanese,scene_evt211015_cp1_q1_s10,detail,魔物,<span class='scene-font-4'>グオォォォォッ！</span>,<span class='scene-font-4'>그오오오오!</span>
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,ひィ！？<br>グラブルでよく見る謎の影の魔物ォ！？,히익! 그랑블루에서 자주 나오는 이상하게 생긴 마물!?
Japanese,scene_evt211015_cp1_q1_s10,detail,魔物,<span class='scene-font-4'>モグッ！</span>,<span class='scene-font-4'>우적!</span>
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,<span class='scene-font-4'>いやァァァァァァァ！！</span><br>ちょっと嚙まれたァ！<br>痛い痛い！ ちょ、助けてえええ！,<span class='scene-font-4'>싫어어어어어억!</span> 쬐끔 물렸어! 아파! 아프다고! 살려줘어어어!
Japanese,scene_evt211015_cp1_q1_s10,detail,神楽,<span class='scene-font-4'>うりゃァァァァァ！！</span>,<span class='scene-font-4'>으랴아아아앗!</span>
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,<span class='scene-font-4'>うらァ！</span>,<span class='scene-font-4'>으라앗!</span>
Japanese,scene_evt211015_cp1_q1_s10,detail,魔物,グオ……オオ……,그오오오...
Japanese,scene_evt211015_cp1_q1_s10,detail,神楽,こういうシルエットの奴は<br>決まって雑魚アル。<br>たいしたことないネ。,"이런 실루엣을 가진 녀석은 반드시 잡몹이다, 해. 별 거 없네."
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,落ち着いたか、新八。<br>夢だと思いたいのもわかるけどよ。<br>コイツは立派な現実のようだぜ。,진정했냐 신파치? 꿈이라고 생각하고 싶은 기분은 이해하지만 이거 완벽한 현실인 것 같다.
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,噛まれたとこ、痛ェだろ？<br>ついでににおいも嗅いでみろ。<br>魔物のツバがべっちょりついてるぜ。,방금 물린 데 아프지? 덤으로 냄새도 맡아 봐. 마물 침 제대로 묻었구만.
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,はい……本当に痛いし……<br>ツバも……,네... 진짜로 아파요. 침도... 
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,<span class='scene-font-4'>くっさ！！</span><br>このツバめっちゃくっさァァァ！,<span class='scene-font-4'>냄새!</span> 이 침 완전 냄새나네!
Japanese,scene_evt211015_cp1_q1_s10,detail,神楽,ここまでただよってくるアル……,"여기까지 풍긴다, 해..."
Japanese,scene_evt211015_cp1_q1_s10,detail,神楽,オエェ……臭いアル……<br>新八めっちゃ臭いアル……,"우웨엑... 냄새난다, 해. 신파치 엄청 냄새난다, 해..."
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,ツバの話だよね！？<br>僕じゃないよね！？,침 말하는 거지!? 내 얘기 아니지? 
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,てかもう、何なんですか一体！！<br>いきなりこんなところに来ちゃって、<br>魔物に噛まれて……,아니 그보다도... 여긴 뭔가요? 갑자기 이런 곳에 떨어져서 마물한테 물리질 않나...
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,ふたりとも何でそんなに<br>落ち着いてられるんですか！？,당신들 둘은 어떻게 그렇게 침착한 건데요!
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,僕達異世界に来ちゃったんですよ！？<br>しかもゲームの世界に！！,우리 지금 이세계에 떨어진 거란 말이에요! 심지어 게임 속 세계에!
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,落ち着けよ、新八。<br>これは俺達が選ばれたってことだ。,"진정해, 신파치. 이건 우리가 선택받았다는 뜻이야."
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,え、選ばれた……？<br>何に……？,"서, 선택받아요...? 뭘로...?"
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,<span class='scene-font-4'>決まってんだろ！</span><br><span class='scene-font-4'>コラボ先だよ、コラボ先！</span>,"<span class='scene-font-4'>뻔하잖냐! 콜라보 작품으로 말이야, 콜라보 작품!</span>"
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,ええ！？<br>僕達がですか？,엑!? 저희가요?
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,そうそう、<br>俺達が今回の主役ってこった。,그래 그래. 우리가 이번 이벤트 주역이라고.
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,これから空の旅へ<br>レッツゴーってわけだ。,지금부터 하늘 여행 렛츠 고! 하는 거다.
Japanese,scene_evt211015_cp1_q1_s10,detail,神楽,おお！ 空の旅アルか！<br>早く出発するネ！<br>どうすればいいアルか？,"오! 하늘 여행이냐, 해? 빨리 출발하자! 뭐부터 하면 되냐, 해?"
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,あー、大体こういうのは、<br>待ってれば向こうから<br>迎えに来てくれるもんだ。,음.... 대체로 이런 건 기다리고 있으면 상대편이 데리러 오는 거야. 
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,え、じゃあアレに<br>乗れちゃうんですか？,"어, 그럼 저 배에 탈 수 있는 거예요?"
Japanese,scene_evt211015_cp1_q1_s10,detail,神楽,ＣＭで見たことあるネ！<br>ごっさでっかい飛行船アル！,"광고에서 본 거다, 해! 대박 큰 비행선이다, 해!"
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,神楽ちゃん、<br>あれは飛行船じゃなくて<br><span class='scene-font-spword'>騎空艇</span>っていうらしいよ。,"카구라쨩, 저건 비행선이 아니라 기공정이라고 하는 모양이야."
Japanese,scene_evt211015_cp1_q1_s10,detail,神楽,なんでしってるアル。<br>将暉が教えてくれたアルか？,"왜 알고 있냐, 해. 마사키가 알려줬냐, 해?"
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,その話はもういいの！,그 얘긴 그만 하라니까!
Japanese,scene_evt211015_cp1_q1_s10,detail,神楽,でも、不思議な名前ネ。<br>定春もつれてきたかったアル。<br>一緒に乗りたかったネ。,"아무튼 신기한 이름이네. 사다하루도 데리고 오고 싶었다, 해. 같이 타고 싶었는데."
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,土産話でも持って帰ってやりゃいいさ。<br>あ、金目の物とかも<br>山ほどいただいて帰ろうぜ。,"돌아가서 재미있는 이야기 잔뜩 들려 주면 되잖아. 아, 돈 될 만한 것도 잔뜩 받아 가자."
Japanese,scene_evt211015_cp1_q1_s10,detail,神楽,ごはんも持って帰るネ！<br>冷蔵庫いっぱいにするアル！,"밥도 가져갈 거야! 냉장고 꽉 채울 거다, 해!"
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,<span class='scene-font-2'>うわー……</span><br><span class='scene-font-2'>欲望丸出しだよ……</span>,<span class='scene-font-2'>와... 욕망이 줄줄 흐르네...</span>
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,でもコラボか……そう考えると、<br>なんだかワクワクしてきましたね！<br>銀さん！,"그나저나 콜라보라. 그렇게 생각하니 뭔가 두근거리네요, 긴상!"
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,だろ？<br>ほら、今のうちに用意しとけって。<br>団に加入したら言うセリフみたいなの。,"그치? 자, 이 사이에 생각해 둬. 기공단 가입하면서 말할 대사 같은 거 말야."
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,あと、必殺技もな。,그리고 필살기도.
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,僕達に必殺技なんてありましたっけ。,저희한테 필살기같은 게 있었나요?
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,あるだろ。<br>ほら、あれだよ、アレ。,"있잖아. 그거, 그거라니까."
Japanese,scene_evt211015_cp1_q1_s10,detail,神楽,どれアルか？,"어떤 거냐, 해?"
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,<span class='scene-font-4'>かめ〇〇～～～！！</span>,<span class='scene-font-4'>에네〇〇~~!!!</span>
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,<span class='scene-font-4'>やめろォォォォォォ！</span>,<span class='scene-font-4'>멈춰어어어어어!</span>
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,んだよ……じゃあ<br>最近アツい、アレで行くか……,뭐야... 그럼 요새 잘 나가는 그걸로 할까...
Japanese,scene_evt211015_cp1_q1_s10,detail,坂田銀時,〇域展──,〇역 전ㄱ....
Japanese,scene_evt211015_cp1_q1_s10,detail,志村新八,<span class='scene-font-4'>それもダメだって！</span><br>他所から技パクるのやめましょうよ！,<span class='scene-font-4'>그것도 안 된다고!</span> 옆집 기술 슬쩍하지 말자고요!
