Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_tutorial08,detail,웰더,――こほん……<br>では、改めて……,"――크흠……<br>그럼, 다시한번……"
Japanese,scene_tutorial08,detail,비,いよっ！ 待ってましたっ！,자아! 기다리셨습니다!
Japanese,scene_tutorial08,detail,웰더,勇猛なる森の戦士ッ！<br>フォレストレンジャー、ウェルダーだ！,용맹한 숲의 전사!<br>포레스트 레인저 웰더다!
Japanese,scene_tutorial08,detail,웰더,これからこの騎空団の一員として、<br>尽力させてもらう！<br>よろしく頼むぞっ！！,앞으로 이 기공단의 일원으로서 <br>최선을 다하겠다!<br>잘 부탁한다!
Japanese,scene_tutorial08,detail,웰더,……フッ、決まった。,"……훗, 이 정도야."
Japanese,scene_tutorial08,detail,루리아,さすがウェルダーさん！<br>動きにキレがありますね！,역시 웰더씨!<br>동작에 절도가 있어요!
Japanese,scene_tutorial08,detail,웰더,フッ、当然だ！<br>朝昼晩と、<br>自主練習は欠かさないからな！,"훗, 당연하지!!<br>아침점심저녁,<br>자율연습은 빼먹지 않으니까!"
Japanese,scene_tutorial08,detail,카타리나,なぜだ……<br>なぜ、何度も見ていると、<br>不思議とカッコよく見えてくるのか……,"왜지....<br>왠지, 몇번씩 보고있으니, <br>이상하게도 멋있게 보이는지......."
Japanese,scene_tutorial08,detail,비,へへっ！<br>みんなすっかりウェルダーの虜だな！,헤헷!<br>모두 완전히 웰더의 포로가 되었군!
Japanese,scene_tutorial08,detail,카타리나,と、ともかく、<br>頼もしい仲間が増えてなによりだ。,"어, 어쨌든,<br>든든한 동료가 늘어서 다행이다."
Japanese,scene_tutorial08,detail,비,空には色んな奴がいるからな！<br>旅を続けてりゃ、<br>他にも仲間が増えることがあるだろうぜ。,"하늘에는 많은 녀석이 있으니까!<br>여행을 계속하면,<br>그외에도 동료가 늘어나는 일이 있을거야."
Japanese,scene_tutorial08,detail,카타리나,ああ、きっと彼らは<br>貴重な戦力になってくれる。,"아아, 분명 그들은<br> 귀중한 전력이 되어줄거야."
Japanese,scene_tutorial08,detail,카타리나,どんどん仲間を増やして、<br>賑やかな旅にしていこうじゃないか。,"점점 동료를 늘려,<br>활기찬 여행을 해나가자."
