Language,SceneCode,Type,Name,Origin,Korean
Japanese,scene_fate_chr272_ep1,synopsis,,違法な喧嘩賭博に参戦し、日々、闘争本能を研ぎ澄ます喧嘩屋アイル。兄貴分のボーマンと勝利を祝っていると、憲兵による一斉検挙が始まる。そこでアイルは[플레이어]と対峙し、その存在に興味を持つが、ひとまず適当な騎空艇に身を潜める。しかし、それは偶然にも[플레이어]達の乗るグランサイファーであり、アイルはなりゆきで旅に同行することになるのだった。
Japanese,scene_fate_chr272_ep1,detail,？？？,<span class='scene-font-kokoro'>犬、豚、猿。</span>,"<span class=""scene-font-kokoro"">개、돼지、원숭이.</span>"
Japanese,scene_fate_chr272_ep1,detail,？？？,<span class='scene-font-kokoro'>ハッ……</span><br><span class='scene-font-kokoro'>なんでもいいか、呼び方なんて。</span>,"<span class=""scene-font-kokoro"">핫……</span><br><span class=""scene-font-kokoro"">뭐라해도 좋은가、부르는 방법 같은 건.</span>"
Japanese,scene_fate_chr272_ep1,detail,？？？,<span class='scene-font-kokoro'>ようするにガキの頃のオレは、</span><br><span class='scene-font-kokoro'>飼い慣らされた畜生だったってことだ。</span>,"<span class=""scene-font-kokoro"">요컨대、어릴적 나는、</span><br><span class=""scene-font-kokoro"">잘 길들여진 짐승이었다는 거다.</span>"
Japanese,scene_fate_chr272_ep1,detail,？？？,<span class='scene-font-kokoro'>ルールを守って、空気を読んで、</span><br><span class='scene-font-kokoro'>毎日笑顔で平和な日々が幸せだってね。</span>,"<span class=""scene-font-kokoro"">룰을 지키고、분위기를 파악하며、</span><br><span class=""scene-font-kokoro"">항상 웃는 평화로운 날들이 행복했었다더라구.</span>"
Japanese,scene_fate_chr272_ep1,detail,？？？,<span class='scene-font-kokoro'>……でも、オレは気づいちまった。</span><br><span class='scene-font-kokoro'>そんな生ぬるい価値観をブッ壊す、</span><br><span class='scene-font-kokoro'>自分の知らない新しい世界ってヤツに。</span>,"<span class=""scene-font-kokoro"">……하지만、나는 알고말았다.</span><br><span class=""scene-font-kokoro"">그런 흐리멍텅한 가치관을 박살내는、</span><br><span class=""scene-font-kokoro"">내가 모르던 새로운 세상이란 녀석을.</span>"
Japanese,scene_fate_chr272_ep1,detail,？？？,<span class='scene-font-kokoro'>オレの「新世界」……</span><br><span class='scene-font-kokoro'>噎せ返る程の闘争に満ちた、最高の──</span>,"<span class=""scene-font-kokoro"">내 「신세계」……</span><br><span class=""scene-font-kokoro"">숨이 막힐 정도로 투쟁으로 가득찬、최고의──</span>"
Japanese,scene_fate_chr272_ep1,detail,,<span class='scene-font-katari'>とある島の地下闘技場……</span><br><span class='scene-font-katari'>至る所に血と汗が飛び散り、</span><br><span class='scene-font-katari'>荒々しい歓声と罵声が交錯していた。</span>,"<span class=""scene-font-katari"">어떤 섬、지하격투장……</span><br><span class=""scene-font-katari"">도처에 피와 땀이 튀고、</span><br><span class=""scene-font-katari"">거친 함성과 욕지거리가 뒤얽혀있었다.</span>"
Japanese,scene_fate_chr272_ep1,detail,観客１,頼むぜぇ、チャンピオン！<br>そのクソガキの脳ミソ飛び散らせろぉ！,부탁한다、챔피언!<br>그 애송이의 머리통을 깨부셔버려!
Japanese,scene_fate_chr272_ep1,detail,闘技者,ブッ潰してやるぜ……<br>喧嘩屋の王者は、この俺様だ！,박살내주지……<br>싸움꾼의 왕은、바로 이 몸이다!
