orig,kr

!기공단 UI
"<span class=""ico-people""></span>所属人数","<span class=""ico-people""></span>소속인원수"
平均Rank,평균 Rank
直近*時間のログイン人数,최근*시간 이내에 로그인한 인원 수
騎空艇,기공정
団員,단원
"<span class=""txt-guild-name"">				<span class=""txt-name"">				</span>			</span>からスカウトされています。","""<span class=""""txt-guild-name"""">                                <span class=""""txt-name"""">                                </span>                        </span>으로부터 스카우트 받았습니다"""
断る,거절한다
入団する,입단한다
他騎空団に申請するか、自分で騎空団を立ち上げると<br>スカウトは自動的に断ります。,"다른 기공단에 신청하거나, 스스로 기공단은 설립하면<br>스카우트는 자동으로 거절됩니다"
騎空団を探す,기공단을 찾는다
騎空団を結成する,기공단을 결성한다
[ <%= guildName %> ]<br>に入団申請を出しますか？<br>	<br />	募集条件<br>	<%= rank %><br>	<%= style %>,"""[ <%= guildName %> ]<br>에 입단신청을 할까요?<br>	<br />	모집조건<br>	<%= rank %><br>	<%= style %>"""
騎空団TOP,기공단 TOP
ドラブンスピリット号 Lv*,드레이븐 스피릿호 Lv*
再入団について,재입단에 대해
"騎空団に一度所属し、<br>なんらかの理由で退団すると、<br><span style=""color:#ffa***"">**時間</span><br>新たな騎空団へ所属できなくなります。","기공단에 한번 소속된 상태로、<br>어떠한 이유로든 퇴단하게되면、<br><span style=""color:#ffa***"">**시간</span><br>새로운 기공단에 가입할 수 없게 됩니다."
**時間,**시간
時間帯*,"<span style=""font-size: 90%"">시간대 *</span>"
※時間帯は団長、副団長のみ変更できます。,"※시간대는 단장, 부단장만 변경할 수 있습니다"
役職,직책
合計寄付ルピ,총 기부 루피
騎空団NEWS,기공단 NEWS

騎空艇TOPに戻る,기공정 TOP으로 돌아간다
アサルトタイムについて,어설트 타임에 대해서
グランサイファー,그랑사이퍼
累計カスタムpt：,누적 커스텀 pt：
自分たちの騎空艇を強化していこうぜぇ！<br>パーツ追加でサポート効果もいいかもな！,우리들의 기공정을 강화하자！<br>부품을 추가해서 서포트 효과도 받는게 좋을거야！











!기공정
騎空艇リスト,기공정 리스트
武器で強化,무기로 강화
パーツを購入,부품을 구입
騎空艇詳細,기공정 상세
騎空艇効果,기공정 효과
騎空艇Lv *,기공정 Lv *
習得済み,습득완료
未習得,미습득
火属性メンバーの攻撃力が*%アップ,화속성 멤버의 공격력 *% 증가
火属性メンバーの攻撃力が**%アップ,화속성 멤버의 공격력 **% 증가
水属性メンバーの攻撃力が*%アップ,수속성 멤버의 공격력 *% 증가
水属性メンバーの攻撃力が**%アップ,수속성 멤버의 공격력 **% 증가
土属性メンバーの攻撃力が*%アップ,토속성 멤버의 공격력이 *% 증가
土属性メンバーの攻撃力が**%アップ,토속성 멤버의 공격력이 **% 증가
風属性メンバーの攻撃力が*%アップ,풍속성 멤버의 공격력이 *% 증가
風属性メンバーの攻撃力が**%アップ,풍속성 멤버의 공격력이 **% 증가
光属性メンバーの攻撃力が*%アップ,광속성 멤버의 공격력이 *% 증가
光属性メンバーの攻撃力が**%アップ,광속성 멤버의 공격력이 **% 증가
闇属性メンバーの攻撃力が*%アップ,암속성 멤버의 공격력 *% 증가
闇属性メンバーの攻撃力が**%アップ,암속성 멤버의 공격력 **% 증가

!기공정 부품
騎空艇パーツ,기공정 부품
朱光の星晶炉,주광의 성정로
碧光の星晶炉,벽광의 성정로
橙光の星晶炉,등광의 성정로
翠光の星晶炉,취광의 성정로
輝光の星晶炉,휘광의 성정로
暗光の星晶炉,암광의 성정로
シーリングファン,실링팬
風属性強化スキルの獲得経験値UP<br>풍속성 강화시 획득 경험치 UP,풍속성 강화 스킬 획득 경험치 UP<br>風属性強化時の獲得経験値UP
金眼の風見鶏,금눈 풍향계

ポーションメーカー,포션 메이커

出陣の銅鑼がね,출진의 징

勉強机,책상

訓練用具,훈련 도구
獲得EXPUP,획득 EXP UP



フロンティア号 Lv*,프론티어호 Lv*

エンゼラ Lv*,엔젤라 Lv*



騎空団管理,기공단 관리
!고전장 설정
古戦場設定,고전장 설정
下記設定をONにすることで、古戦場本戦期間において、自騎空団員外のプレイヤーが発見したボスから獲得した貢献度の**％が、騎空団貢献度に反映されます。,"<span style=""font-size: 90%"">이하의 설정을 ON으로하면 고전장 본선기간에 자기 기공단원 이외의 플레이어가 발견한 보스에게 획득한 공헌도의 **%가 기공단 공헌도에 반영됩니다</span>"
騎空団貢献度に反映する,기공단 공헌도에 반영하다
※OFFの時は騎空団貢献度に反映されません,"<span style=""font-size: 90%"">※OFF일 때는 기공단 공헌도에 반영되지 않습니다</span>"

!기공단 서포트
騎空団サポート,기공단 서포트

他騎空団の検索,다른 기공단 검색
騎空団を退団し無所属状態になります<br>操作を取り消すことはできないためご注意ください,기공단을 탈퇴하고 무소속 상태가 됩니다<br>선택을 취소할 수 없으므로 주의하십시오
ヘルプへ,도움말로
騎空団 団員リスト,기공단 단원 리스트
騎空団TOPに戻る,기공단 TOP으로 돌아간다
入団待ち,입단 대기
スカウト中,스카우트 중
入団待ちの人はいません。,입단 대기중인 인원이 없습니다
スカウト中の人はいません。,스카우트 중인 인원이 없습니다
退団,탈퇴




!기공단 서포트 목록
発動中のサポート,발동중인 서포트
発動中の騎空団サポート,발동중인 기공단 서포트
クエスト開始からキュアポーション*個追加<br>						残り時間: **時間 **分,퀘스트 시작부터 큐어 포션 *개 추가<br>                                                남은시간 : **시간 **분
クエスト開始からキュアポーション*個追加<br>						残り時間: **時間 *分,퀘스트 시작부터 큐어 포션 *개 추가<br>                                                남은시간 : **시간 *분
クエスト開始からキュアポーション*個追加<br>						残り時間: *時間 **分,퀘스트 시작부터 큐어 포션 *개 추가<br>                                                남은시간 : *시간 **분
クエスト開始からキュアポーション*個追加<br>						残り時間: *時間 *分,퀘스트 시작부터 큐어 포션 *개 추가<br>                                                남은시간 : *시간 *분
