jp,kr
119736,CLAY COUNTY
448094,CLAY COUNTY
206893,CLAY COUNTY
333743,CLAY COUNTY
172534,CLAY COUNTY
785275,CLAY COUNTY
995932,CLAY COUNTY
223488,CLAY COUNTY
433512,CLAY COUNTY
142071,CLAY COUNTY
253816,CLAY COUNTY
894922,CLAY COUNTY
422834,CLAY COUNTY
582721,CLAY COUNTY
842700,CLAY COUNTY
874333,CLAY COUNTY
580146,CLAY COUNTY
456149,CLAY COUNTY
767862,CLAY COUNTY
353022,CLAY COUNTY
367814,CLAY COUNTY
671392,CLAY COUNTY
772887,CLAY COUNTY
983122,CLAY COUNTY
934215,CLAY COUNTY
385951,CLAY COUNTY
716332,CLAY COUNTY
751262,CLAY COUNTY
633663,CLAY COUNTY
105851,CLAY COUNTY
710400,CLAY COUNTY
703001,CLAY COUNTY
352792,CLAY COUNTY
717603,CLAY COUNTY
937659,SUWANNEE COUNTY
294022,SUWANNEE COUNTY
410500,SUWANNEE COUNTY
524433,SUWANNEE COUNTY
779298,SUWANNEE COUNTY
491831,SUWANNEE COUNTY
814637,SUWANNEE COUNTY
737515,SUWANNEE COUNTY
222653,SUWANNEE COUNTY
788543,SUWANNEE COUNTY
691681,SUWANNEE COUNTY
368807,SUWANNEE COUNTY
174002,SUWANNEE COUNTY
198760,SUWANNEE COUNTY
831395,SUWANNEE COUNTY
305698,SUWANNEE COUNTY
515722,SUWANNEE COUNTY
415582,SUWANNEE COUNTY
783533,SUWANNEE COUNTY
640802,SUWANNEE COUNTY
403866,SUWANNEE COUNTY
828788,SUWANNEE COUNTY
751490,SUWANNEE COUNTY
972562,SUWANNEE COUNTY
367541,SUWANNEE COUNTY
481360,SUWANNEE COUNTY
920232,NASSAU COUNTY
727659,NASSAU COUNTY
471817,NASSAU COUNTY
983043,NASSAU COUNTY
578286,NASSAU COUNTY
347276,NASSAU COUNTY
477786,NASSAU COUNTY
265907,NASSAU COUNTY
107560,NASSAU COUNTY
908183,NASSAU COUNTY
356024,NASSAU COUNTY
575299,NASSAU COUNTY
790478,NASSAU COUNTY
801776,NASSAU COUNTY
291781,NASSAU COUNTY
537286,NASSAU COUNTY
289305,COLUMBIA COUNTY
