Type,Name,Origin,Korean
condition_win,,勝利条件,승리 조건
condition_win,,？？？,？？？
condition_lose,,ルリアの悲痛な叫びは誰にも届かない……
text_jp,,どうして……<br>いったい何が……？
text_en,,What? Why didn't anything happen?
text_jp,,お願い……！　なんで……？<br>みんな、どうして……？
text_en,,Please! Why won't they help me?
text_jp,,私の声、<br>届かなくなっちゃったの……？
text_en,,Can they not hear me anymore?
text_jp,,どうしよう……！<br>そんな……<br>私、どうすれば……！？
text_en,,Oh no! What should I do?
condition_win,,ルリアは直接攻撃ができない……
text_jp,,痛めつけてやる！<br>覚悟しろ！,혼내 주겠다!<br>각오해라!
text_jp,,クソッ！やるしかねぇようだぜぇ！<br>オマエの剣術なら勝てる！,빌어먹을! 할 수 밖에 없는 것 같아!<br> 너의 검술이라면 이길 수 있어!
text_jp,,【攻撃】ボタンをタッチして<br>お見舞いしてやれぇ！！,【공격】버튼을 눌러서 <br> 병문안을 하러가자!!
text_jp,,効いてるぜ！この調子だぁ！,효과가 있다구! 이대로 가자구!
text_jp,,自分の攻撃が終わると、<br>次は敵の攻撃だ！気ィつけろぉ！,"너의 공격이 끝나면,<br>다음은 적의 공격이다! 조심해!"
text_jp,,敵の攻撃が終わればまた自分の番だ。よぉく憶えとけよぉ！<br>さぁ反撃だ！,"적의 공격이 끝나면 다시 자기 차례다. 잘 기억해 둬!<br>자, 반격이다!"
text_jp,,そうだ…属性ってのは知ってるよな？戦いを勝ち抜くには必須の知識だ！,"맞아, 속성이라는 건 알지? 싸움에서 이겨내려면 필수적인 지식이야!"
text_jp,,いまオマエは【<span class='attribute4'>風属性</span>】の武器を<br>装備しているな。と、なりゃぁ……,지금 너는 [<span class='attribute4'>바람속성</span>]의 무기를<br>장비하고 있구나
text_jp,,オマエの攻撃は【<span class='attribute3'>土属性</span>】の敵に<br>超！有利だぜぇ！,너의 공격은 [<span class='attribute3'>흙속성</span>]의 적에게<br>초! 유리해!
text_jp,,あの剣を持った兵士！<br>アイツは【<span class='attribute3'>土属性</span>】だ！<br>アイツをタッチしてみなぁ！,저 검을 든 병사!<br> 그녀석은 [<span class='attribute3'>흙속성</span>]이다!<br> 그 녀석을 터치해봐!
text_jp,,よぉし！<br>これでアイツを狙い撃ちできるぜ！<br>さぁ、【攻撃】だぁ！,"좋아!<br>이것으로 그 녀석을 저격할 수 있어!<br>자, [공격]이다!"
