orig,kr
!연결어 관련 시트는 너무 많이 추가되면 번역툴 퍼포먼스에 영향이 가서 수정권한을 빼둠.
で認証中,로 인증중


!퀘스트 텍스트
第*章　,제*화　
第**章　,제**화　
第***章　,제***화　
に挑戦します,에 도전합니다.
への挑戦,에게의 도전
トレジャーを消費して,트레저를 소비해서
と対決します。,와(과) 대결합니다.
Lv** ,Lv** 
Lv*** ,Lv*** 
 × ****, × ****
 × ***, × ***
 × **, × **
 × *, × *
効果：,효과: 
全体に,전체에게
最大HPの,최대HP의 
の報酬となります,의 보상입니다.
がパスした。, (이)가 패스했다.

!전투텍스트
がダブルアタック, (이)가 더블어택
がトリプルアタック, (이)가 트리플어택
は麻痺していて動けない！, 은(는) 마비되어 움직이지 않는다!
が発動！, (이)가 발동!
が真の力を解放した！, (이)가 진정한 힘을 해방시켰다!
が真の姿を現した！, (이)가 진정한 모습을 드러냈다!
残りHP*%で,남은 HP*%에서
が発動する状態,(이)가 발동하는 상태
総ダメージ： ,총 데미지: 
ダメージを与えた！,데미지를 가했다!














!아카룸
を*個獲得！,을(를) *개 획득!
を**個獲得！,을(를) **개 획득!
