orig,kr
!스토리 텍스트 전용 이름 모음. <span> 태그로 감싸져있으면 지우고 내부 원어만 좌측에 넣자
？？？,???
観客１,관객1
観客２,관객2
闘技者,싸움꾼
アイル,아일
ボーマン,보먼
観光客の男性,관광객 남성
観光客の男の子,관광객 남자아이
観光客の女性,관광객 여성
レッドラック,레드락
大会参加者の男性１,대회참가자 남성1
大会参加者の男性２,대회참가자 남성2
レオナ,레오나
荒々しい声,거친 목소리
セワスチアンの声,세바스찬의 목소리
セワスチアン,세바스찬
司会者,사회자
マッシュ,마슈
樹クラゲの集団,나무 해파리 집단
コルル・アーミラ,코루루・아미라
本戦参加者の男,본선 참가자 남자
本戦参加者の男の声,본선 참가자 남성의 목소리
魔物,마물
シェロカルテ,셰로카르테
シャルロッテ,샤를롯데
ルシオ,루시오
セワスチアン,세바스찬
レオナ,레오나
アーミラ,아미라
コルル,코루루
レッドラックの声,레드락의 목소리
女騎士,여기사
フュリアス,퓨리어스

本戦参加者の男,본선에 참가한 남자
イオ,이오
巨大樹クラゲ,거대 나무 해파리
観客の男性２,관객 남성2
観客の女性２,관객 여성2
ふたり,둘
マッシュのファン,마슈의 팬
カキフライ,카키후라이
アーミラの声,아미라의 목소리
司会者の声,사회자의 목소리
マッシュの声,마슈의 목소리

アオイドス,아오이도스
ラカム,라캄
バアル,바알
フェス運営者,페스운영자

ハールート,하루트
マールート,마루트
アズラエル,아즈라엘
イスラフィル,이스라필
マスター,마스터
サリエル,사리엘
美女,미녀
青年,청년
サンダルフォン,산달폰
ビィ・サンダルフォン,비이・산달폰
ルシオ,루시오
観光客の悲鳴,관광객의 비명
海洋学者,해양학자
船長,선장
ハールート・マールート,하루트・마루트
ショップ店員,샵 점원
サメハンター,상어 헌터
ルシオの古参ファン,루시오의 고참팬
ルシオのファン,루시오의 팬
ファン達,팬 일행
ブルース,브루스
区長,구장
繁華街の商人,식당가 상인
宿屋街の商人,여관가 상인
市民街の商人,잡화가 상인
サンダルフォンの声,산달폰의 목소리
ショップ店員,샵 점원
レストラン店員,레스토랑 점원
イルカ,돌고래
若い女性客,젊은 여성손님
サメ,상어
指教の天司達,지교의 천사들
サメ人間,상어인간

謎の少女,수수께끼의 소녀
男の声,남자의 목소리
帝国兵,제국병
カタリナ,카타리나
ルリア,루리아
ポンメルン,폼메른
バハムート,바하무트
ヒドラ,히드라
ロゼッタ,로제타

メグ,메구
船員,선원
まりっぺ,마릿페
まりっぺの彼氏,마릿페의 남친
ホテル支配人,호텔 지배인
青い髪の店員,푸른 머리의 점원
店員？,점원?
ナンパ男,헌팅남
アニラ,아니라
カツウォヌス,카츠워누스
商店街店主,상점가 점원
ヘルナル,헤르날
ウオノタユウ,우오노타유
ジン,진
通行人,지나가던 사람들
雑音,잡음
フェリ,페리
ベッポ,벳포
フージー,후지
ジジ,지지
老婆,노파
モモ,모모
まりっぺの新彼氏,마릿페의 새 남친
ふたり,두사람
アルベール,알베르
デンキンナギ,전기창어
ウルスラ,우르슬라
灼弩火罹,쏘라게
野良猫１,길고양이1
野良猫２,길고양이2
野良鮫,길상어
２匹,두마리
街の住民１,마을주민1
街の住民２,마을주민2
ビカラ,비카라
海から出てきた魔物,바다에서 나온 마물
ドーマウス,도 마우스
誰かの悲鳴,누군가의 비명
ビィとルリア,비이와 루리아
ちがう誰かの悲鳴,다른 사람의 비명
３人,세명
メグとまりっぺ,메구와 마릿페

楓,카에데
黒い翼の生物,검은 날개를 가진 생물
黒い翼の生物たち,검은 날개를 가진 생물들
未央,미오
凛,린
卯月,우즈키
ビィ,비이
エミリー,에밀리
ルリア,루리아
エルーンの青年,엘룬 청년
黒い翼の生物たち,검은 날개를 가진 생물들
ヒューマンの男,휴먼 남자
オスカー,오스카
ラグナ,라그나
ロザミア,로자미아
ジェシカ,제시카
黒い翼の生物のボス,검은 날개를 가진 생물 보스
白い翼の生物,하얀 날개를 가진 생물
비이,루리아와 비이
ぴにゃ,삐냐
楓と卯月と凛と未央,카에데와 우즈키와 린과 미오
緑色の生物,녹색 생물
エルーンの少女,엘룬 소녀
杏,안즈
きらり,키라리
傭兵,용병
傭兵たち,용병들
謎の声,수수께끼의 목소리
謎の生物たち,수수께끼의 생물들
骨の生物たち,뼈 생물들
骨の生物,뼈 생물
３本角の生物,세뿔 생물
青縞の生物,하늘색 생물
審判,심판
青縞の生物のキーパー,하늘색 생물 키퍼
青縞の生物のキャプテン,하늘색 생물 캡틴
シェロカルテ,셰로카르테
ラムレッダたち,라무렛다들
レダ美,레다미
ラム子とレダ美,라무코와 레다미
レム代,레무시로
ラム子,라무코
